None,ticker,date,close,adj_close
0,TROW,2018-03-27,106.1,106.1
1,TROW,2018-03-26,108.34,108.34
2,TROW,2018-03-23,104.65,104.65
3,TROW,2018-03-22,107.64,107.64
4,TROW,2018-03-21,112.58,112.58
5,TROW,2018-03-20,112.0,112.0
6,TROW,2018-03-19,113.36,113.36
7,TROW,2018-03-16,115.54,115.54
8,TROW,2018-03-15,115.41,115.41
9,TROW,2018-03-14,115.5,115.5
10,TROW,2018-03-13,116.97,116.97
11,TROW,2018-03-12,117.09,117.09
12,TROW,2018-03-09,117.6,117.6
13,TROW,2018-03-08,114.17,114.17
14,TROW,2018-03-07,113.09,113.09
15,TROW,2018-03-06,113.36,113.36
16,TROW,2018-03-05,111.85,111.85
17,TROW,2018-03-02,110.33,110.33
18,TROW,2018-03-01,110.08,110.08
19,TROW,2018-02-28,111.9,111.9
20,TROW,2018-02-27,112.39,112.39
21,TROW,2018-02-26,114.15,114.15
22,TROW,2018-02-23,112.3,112.3
23,TROW,2018-02-22,110.42,110.42
24,TROW,2018-02-21,109.95,109.95
25,TROW,2018-02-20,109.91,109.91
26,TROW,2018-02-16,110.49,110.49
27,TROW,2018-02-15,109.56,109.56
28,TROW,2018-02-14,108.32,108.32
29,TROW,2018-02-13,105.73,105.73
30,TROW,2018-02-12,104.93,104.93
31,TROW,2018-02-09,103.37,103.37
32,TROW,2018-02-08,101.94,101.94
33,TROW,2018-02-07,106.52,106.52
34,TROW,2018-02-06,106.97,106.97
35,TROW,2018-02-05,105.9,105.9
36,TROW,2018-02-02,109.82,109.82
37,TROW,2018-02-01,112.19,112.19
38,TROW,2018-01-31,111.74,111.74
39,TROW,2018-01-30,112.51,112.51
40,TROW,2018-01-29,117.55,117.55
41,TROW,2018-01-26,119.99,119.99
42,TROW,2018-01-25,117.35,117.35
43,TROW,2018-01-24,117.71,117.71
44,TROW,2018-01-23,118.08,118.08
45,TROW,2018-01-22,117.4,117.4
46,TROW,2018-01-19,117.35,117.35
47,TROW,2018-01-18,115.79,115.79
48,TROW,2018-01-17,116.38,116.38
49,TROW,2018-01-16,114.47,114.47
50,TROW,2018-01-12,115.35,115.35
51,TROW,2018-01-11,113.06,113.06
52,TROW,2018-01-10,112.27,112.27
53,TROW,2018-01-09,111.75,111.75
54,TROW,2018-01-08,109.88,109.88
55,TROW,2018-01-05,107.23,107.23
56,TROW,2018-01-04,105.31,105.31
57,TROW,2018-01-03,104.49,104.49
58,TROW,2018-01-02,103.08,103.08
59,TROW,2017-12-29,104.93,104.93
60,TROW,2017-12-28,105.34,105.34
61,TROW,2017-12-27,105.02,105.02
62,TROW,2017-12-26,105.36,105.36
63,TROW,2017-12-22,105.24,105.24
64,TROW,2017-12-21,104.6,104.6
65,TROW,2017-12-20,103.76,103.76
66,TROW,2017-12-19,103.14,103.14
67,TROW,2017-12-18,103.44,103.44
68,TROW,2017-12-15,102.57,102.57
