None,ticker,date,close,adj_close
0,TSN,2018-03-27,74.03,74.03
1,TSN,2018-03-26,73.94,73.94
2,TSN,2018-03-23,71.54,71.54
3,TSN,2018-03-22,72.7,72.7
4,TSN,2018-03-21,73.69,73.69
5,TSN,2018-03-20,74.02,74.02
6,TSN,2018-03-19,74.13,74.13
7,TSN,2018-03-16,74.27,74.27
8,TSN,2018-03-15,73.73,73.73
9,TSN,2018-03-14,75.38,75.38
10,TSN,2018-03-13,75.62,75.62
11,TSN,2018-03-12,75.27,75.27
12,TSN,2018-03-09,75.69,75.69
13,TSN,2018-03-08,74.97,74.97
14,TSN,2018-03-07,74.53,74.53
15,TSN,2018-03-06,74.05,74.05
16,TSN,2018-03-05,73.6,73.6
17,TSN,2018-03-02,73.65,73.65
18,TSN,2018-03-01,73.42,73.42
19,TSN,2018-02-28,74.38,74.38
20,TSN,2018-02-27,74.56,74.56
21,TSN,2018-02-26,75.71,75.71
22,TSN,2018-02-23,75.08,75.08
23,TSN,2018-02-22,74.69,74.69
24,TSN,2018-02-21,75.4,75.4
25,TSN,2018-02-20,76.13,76.13
26,TSN,2018-02-16,76.01,76.01
27,TSN,2018-02-15,75.88,75.88
28,TSN,2018-02-14,75.84,75.84
29,TSN,2018-02-13,74.73,74.73
30,TSN,2018-02-12,74.53,74.53
31,TSN,2018-02-09,74.87,74.87
32,TSN,2018-02-08,73.92,73.92
33,TSN,2018-02-07,73.38,73.38
34,TSN,2018-02-06,74.19,74.19
35,TSN,2018-02-05,73.23,73.23
36,TSN,2018-02-02,74.49,74.49
37,TSN,2018-02-01,75.76,75.76
38,TSN,2018-01-31,76.11,76.11
39,TSN,2018-01-30,78.89,78.89
40,TSN,2018-01-29,78.91,78.91
41,TSN,2018-01-26,80.17,80.17
42,TSN,2018-01-25,79.8,79.8
43,TSN,2018-01-24,79.78,79.78
44,TSN,2018-01-23,81.13,81.13
45,TSN,2018-01-22,80.89,80.89
46,TSN,2018-01-19,80.19,80.19
47,TSN,2018-01-18,78.88,78.88
48,TSN,2018-01-17,79.25,79.25
