None,ticker,date,close,adj_close
0,TSS,2018-03-27,85.59,85.59
1,TSS,2018-03-26,87.61,87.61
2,TSS,2018-03-23,85.38,85.38
3,TSS,2018-03-22,87.22,87.22
4,TSS,2018-03-21,89.17,89.17
5,TSS,2018-03-20,89.93,89.93
6,TSS,2018-03-19,89.18,89.18
7,TSS,2018-03-16,89.97,89.97
8,TSS,2018-03-15,89.76,89.76
9,TSS,2018-03-14,89.86,89.86
10,TSS,2018-03-13,89.51,89.51
11,TSS,2018-03-12,89.95,89.95
12,TSS,2018-03-09,90.74,90.74
13,TSS,2018-03-08,89.22,89.22
14,TSS,2018-03-07,89.39,89.39
15,TSS,2018-03-06,88.91,88.91
16,TSS,2018-03-05,88.47,88.47
17,TSS,2018-03-02,87.57,87.57
18,TSS,2018-03-01,87.22,87.22
19,TSS,2018-02-28,87.95,87.95
20,TSS,2018-02-27,87.99,87.99
21,TSS,2018-02-26,88.85,88.85
22,TSS,2018-02-23,88.82,88.82
23,TSS,2018-02-22,86.8,86.8
24,TSS,2018-02-21,86.56,86.56
25,TSS,2018-02-20,87.01,87.01
26,TSS,2018-02-16,87.08,87.08
27,TSS,2018-02-15,86.25,86.25
28,TSS,2018-02-14,84.62,84.62
29,TSS,2018-02-13,84.98,84.98
30,TSS,2018-02-12,84.04,84.04
31,TSS,2018-02-09,83.35,83.35
32,TSS,2018-02-08,81.17,81.17
33,TSS,2018-02-07,85.37,85.37
34,TSS,2018-02-06,85.12,85.12
35,TSS,2018-02-05,84.24,84.24
36,TSS,2018-02-02,86.83,86.83
37,TSS,2018-02-01,88.42,88.42
38,TSS,2018-01-31,88.86,88.86
39,TSS,2018-01-30,87.68,87.68
40,TSS,2018-01-29,87.43,87.43
41,TSS,2018-01-26,88.94,88.94
42,TSS,2018-01-25,88.28,88.28
43,TSS,2018-01-24,87.28,87.28
44,TSS,2018-01-23,83.92,83.92
45,TSS,2018-01-22,83.75,83.75
46,TSS,2018-01-19,83.25,83.25
47,TSS,2018-01-18,82.73,82.73
48,TSS,2018-01-17,82.94,82.94
49,TSS,2018-01-16,82.22,82.22
50,TSS,2018-01-12,82.0,82.0
51,TSS,2018-01-11,82.18,82.18
52,TSS,2018-01-10,81.49,81.49
53,TSS,2018-01-09,80.69,80.69
54,TSS,2018-01-08,81.14,81.14
55,TSS,2018-01-05,79.94,79.94
56,TSS,2018-01-04,79.42,79.42
57,TSS,2018-01-03,78.78,78.78
58,TSS,2018-01-02,78.48,78.48
59,TSS,2017-12-29,79.09,79.09
60,TSS,2017-12-28,79.7,79.7
61,TSS,2017-12-27,79.3,79.3
62,TSS,2017-12-26,79.11,79.11
63,TSS,2017-12-22,78.8,78.8
64,TSS,2017-12-21,78.56,78.56
65,TSS,2017-12-20,79.99,79.99
66,TSS,2017-12-19,79.67,79.67
67,TSS,2017-12-18,79.01,79.01
68,TSS,2017-12-15,77.81,77.81
69,TSS,2017-12-14,76.63,76.63
70,TSS,2017-12-13,76.5,76.5
71,TSS,2017-12-12,77.0,77.0
72,TSS,2017-12-11,76.62,76.62
73,TSS,2017-12-08,76.58,76.58
74,TSS,2017-12-07,75.93,75.93
75,TSS,2017-12-06,74.81,74.81
76,TSS,2017-12-05,74.02,74.02
77,TSS,2017-12-04,73.1,73.1
78,TSS,2017-12-01,73.88,73.88
79,TSS,2017-11-30,74.36,74.36
80,TSS,2017-11-29,72.33,72.33
