None,ticker,date,close,adj_close
0,TXN,2018-03-27,102.56,102.56
1,TXN,2018-03-26,106.6,106.6
2,TXN,2018-03-23,101.36,101.36
3,TXN,2018-03-22,103.9,103.9
4,TXN,2018-03-21,108.64,108.64
5,TXN,2018-03-20,109.46,109.46
6,TXN,2018-03-19,107.86,107.86
7,TXN,2018-03-16,109.97,109.97
8,TXN,2018-03-15,109.71,109.71
9,TXN,2018-03-14,109.97,109.97
10,TXN,2018-03-13,110.59,110.59
11,TXN,2018-03-12,111.63,111.63
12,TXN,2018-03-09,111.53,111.53
13,TXN,2018-03-08,109.49,109.49
14,TXN,2018-03-07,108.56,108.56
15,TXN,2018-03-06,109.69,109.69
16,TXN,2018-03-05,109.01,109.01
17,TXN,2018-03-02,108.22,108.22
18,TXN,2018-03-01,106.53,106.53
19,TXN,2018-02-28,108.35,108.35
20,TXN,2018-02-27,108.34,108.34
21,TXN,2018-02-26,109.63,109.63
22,TXN,2018-02-23,107.04,107.04
23,TXN,2018-02-22,103.93,103.93
24,TXN,2018-02-21,103.66,103.66
25,TXN,2018-02-20,105.29,105.29
26,TXN,2018-02-16,104.47,104.47
27,TXN,2018-02-15,104.57,104.57
28,TXN,2018-02-14,102.68,102.68
29,TXN,2018-02-13,101.0,101.0
30,TXN,2018-02-12,101.94,101.94
31,TXN,2018-02-09,100.41,100.41
32,TXN,2018-02-08,97.67,97.67
33,TXN,2018-02-07,101.92,101.92
34,TXN,2018-02-06,105.86,105.86
35,TXN,2018-02-05,104.98,104.98
36,TXN,2018-02-02,107.69,107.69
37,TXN,2018-02-01,110.08,110.08
38,TXN,2018-01-31,109.705,109.705
39,TXN,2018-01-30,109.89,109.89
40,TXN,2018-01-29,112.65,112.65
41,TXN,2018-01-26,113.69,113.69
42,TXN,2018-01-25,110.15,110.15
43,TXN,2018-01-24,109.7,109.7
44,TXN,2018-01-23,120.0,120.0
45,TXN,2018-01-22,119.44,119.44
46,TXN,2018-01-19,116.83,116.83
47,TXN,2018-01-18,116.41,116.41
48,TXN,2018-01-17,119.18,119.18
49,TXN,2018-01-16,112.92,112.92
50,TXN,2018-01-12,112.72,112.72
51,TXN,2018-01-11,110.67,110.67
52,TXN,2018-01-10,109.7,109.7
53,TXN,2018-01-09,110.39,110.39
54,TXN,2018-01-08,109.64,109.64
55,TXN,2018-01-05,109.12,109.12
56,TXN,2018-01-04,108.29,108.29
57,TXN,2018-01-03,108.43,108.43
58,TXN,2018-01-02,105.57,105.57
59,TXN,2017-12-29,104.44,104.44
60,TXN,2017-12-28,104.82,104.82
61,TXN,2017-12-27,104.53,104.53
62,TXN,2017-12-26,104.15,104.15
63,TXN,2017-12-22,104.13,104.13
64,TXN,2017-12-21,104.07,104.07
65,TXN,2017-12-20,104.8,104.8
66,TXN,2017-12-19,104.1,104.1
67,TXN,2017-12-18,103.27,103.27
68,TXN,2017-12-15,101.22,101.22
69,TXN,2017-12-14,100.25,100.25
70,TXN,2017-12-13,98.86,98.86
71,TXN,2017-12-12,98.43,98.43
72,TXN,2017-12-11,98.83,98.83
73,TXN,2017-12-08,98.02,98.02
74,TXN,2017-12-07,97.78,97.78
75,TXN,2017-12-06,97.02,97.02
76,TXN,2017-12-05,96.9,96.9
77,TXN,2017-12-04,95.97,95.97
78,TXN,2017-12-01,97.18,97.18
79,TXN,2017-11-30,97.29,97.29
80,TXN,2017-11-29,96.88,96.88
81,TXN,2017-11-28,99.48,99.48
82,TXN,2017-11-27,98.63,98.63
83,TXN,2017-11-24,99.3,99.3
84,TXN,2017-11-22,98.08,98.08
85,TXN,2017-11-21,99.19,99.19
86,TXN,2017-11-20,98.28,98.28
87,TXN,2017-11-17,97.74,97.74
88,TXN,2017-11-16,98.32,98.32
89,TXN,2017-11-15,96.77,96.77
90,TXN,2017-11-14,96.96,96.96
91,TXN,2017-11-13,97.03,97.03
92,TXN,2017-11-10,96.94,96.94
93,TXN,2017-11-09,97.05,97.05
94,TXN,2017-11-07,98.4,98.4
95,TXN,2017-11-06,98.54,98.54
96,TXN,2017-11-03,97.98,97.98
97,TXN,2017-11-02,96.79,96.79
98,TXN,2017-11-01,96.35,96.35
99,TXN,2017-10-31,96.69,96.69
100,TXN,2017-10-30,96.06,96.06
101,TXN,2017-10-27,97.5,96.874741414977
102,TXN,2017-10-26,96.17,95.553270583368
103,TXN,2017-10-25,95.82,95.205515101365
104,TXN,2017-10-24,96.44,95.821539098055
105,TXN,2017-10-23,96.21,95.593014067025
106,TXN,2017-10-20,95.18,94.569619362847
107,TXN,2017-10-19,93.45,92.850713694663
108,TXN,2017-10-18,93.43,92.830841952834
109,TXN,2017-10-17,94.27,93.66545510964
110,TXN,2017-10-16,94.23,93.625711625983
111,TXN,2017-10-13,93.59,92.989815887464
112,TXN,2017-10-12,92.62,92.026036408771
113,TXN,2017-10-11,92.87,92.27443318163
114,TXN,2017-10-10,92.38,91.787575506827
115,TXN,2017-10-09,91.57,90.982769962764
116,TXN,2017-10-06,91.35,90.764180802648
117,TXN,2017-10-05,91.14,90.555527513446
118,TXN,2017-10-04,90.49,89.909695904013
119,TXN,2017-10-03,89.94,89.363223003724
120,TXN,2017-10-02,89.65,89.075082747207
121,TXN,2017-09-29,89.64,89.065146876293
122,TXN,2017-09-28,89.65,89.075082747207
123,TXN,2017-09-27,88.81,88.240469590401
124,TXN,2017-09-26,87.7,87.137587918908
125,TXN,2017-09-25,87.5,86.938870500621
126,TXN,2017-09-22,88.27,87.703932561026
127,TXN,2017-09-21,86.05,85.498169218039
128,TXN,2017-09-20,85.83,85.279580057923
129,TXN,2017-09-19,86.81,86.25329540753
130,TXN,2017-09-18,86.14,85.587592056268
131,TXN,2017-09-15,84.84,84.295928837402
132,TXN,2017-09-14,83.29,82.755868845676
133,TXN,2017-09-13,82.7,82.169652461729
134,TXN,2017-09-12,82.89,82.358434009102
135,TXN,2017-09-11,82.22,81.69273065784
136,TXN,2017-09-08,81.38,80.858117501034
137,TXN,2017-09-07,82.0,81.474141497724
138,TXN,2017-09-06,82.07,81.543692594125
139,TXN,2017-09-05,81.85,81.325103434009
140,TXN,2017-09-01,82.54,82.0106785271
141,TXN,2017-08-31,82.82,82.288882912702
142,TXN,2017-08-30,82.31,81.78215349607
143,TXN,2017-08-29,81.03,80.510362019032
144,TXN,2017-08-28,80.76,80.242093504344
145,TXN,2017-08-25,80.98,80.46068266446
146,TXN,2017-08-24,81.25,80.728951179148
147,TXN,2017-08-23,80.89,80.371259826231
148,TXN,2017-08-22,80.75,80.23215763343
149,TXN,2017-08-21,79.89,79.377672734795
150,TXN,2017-08-18,79.97,79.45715970211
151,TXN,2017-08-17,80.15,79.636005378568
152,TXN,2017-08-16,82.46,81.931191559785
153,TXN,2017-08-15,81.95,81.424462143153
154,TXN,2017-08-14,82.05,81.523820852296
155,TXN,2017-08-11,80.89,80.371259826231
156,TXN,2017-08-10,80.36,79.84465866777
157,TXN,2017-08-09,82.28,81.752345883326
158,TXN,2017-08-08,82.45,81.921255688871
159,TXN,2017-08-07,82.17,81.643051303269
160,TXN,2017-08-04,81.43,80.907796855606
161,TXN,2017-08-03,81.36,80.838245759206
162,TXN,2017-08-02,81.31,80.788566404634
163,TXN,2017-08-01,81.71,81.186001241208
164,TXN,2017-07-31,81.38,80.858117501034
165,TXN,2017-07-28,80.71,80.192414149772
166,TXN,2017-07-27,80.97,80.450746793546
167,TXN,2017-07-26,82.55,81.517235151678
168,TXN,2017-07-25,81.39,80.371747655906
169,TXN,2017-07-24,80.92,79.907627722275
170,TXN,2017-07-21,81.7,80.677869314259
171,TXN,2017-07-20,82.69,81.655483642547
172,TXN,2017-07-19,82.16,81.132114355686
173,TXN,2017-07-18,82.16,81.132114355686
174,TXN,2017-07-17,81.66,80.638369745439
175,TXN,2017-07-14,82.0,80.974116080407
176,TXN,2017-07-13,80.54,79.532381818487
177,TXN,2017-07-12,80.52,79.512632034078
178,TXN,2017-07-11,79.04,78.051147987748
179,TXN,2017-07-10,78.78,77.79440079042
180,TXN,2017-07-07,78.48,77.498154024272
181,TXN,2017-07-06,76.86,75.898421487074
182,TXN,2017-07-05,76.91,75.947795948099
183,TXN,2017-07-03,76.41,75.454051337852
184,TXN,2017-06-30,76.93,75.967545732509
185,TXN,2017-06-29,76.9,75.937921055894
186,TXN,2017-06-28,78.06,77.083408551665
187,TXN,2017-06-27,76.95,75.987295516918
188,TXN,2017-06-26,78.31,77.330280856789
189,TXN,2017-06-23,79.58,78.584392166814
190,TXN,2017-06-22,79.05,78.061022879953
191,TXN,2017-06-21,79.67,78.673266196659
192,TXN,2017-06-20,79.57,78.574517274609
193,TXN,2017-06-19,81.42,80.401372332521
194,TXN,2017-06-16,79.7,78.702890873274
195,TXN,2017-06-15,80.08,79.078136777061
196,TXN,2017-06-14,80.16,79.1571359147
197,TXN,2017-06-13,80.98,79.966877075504
198,TXN,2017-06-12,81.05,80.036001320939
199,TXN,2017-06-09,80.9,79.887877937865
200,TXN,2017-06-08,84.34,83.28484085636
201,TXN,2017-06-07,82.89,81.852981486645
202,TXN,2017-06-06,82.22,81.191363708915
203,TXN,2017-06-05,81.885,80.86055482005
204,TXN,2017-06-02,81.63,80.608745068825
205,TXN,2017-06-01,81.49,80.470496577956
206,TXN,2017-05-31,82.49,81.457985798448
207,TXN,2017-05-30,81.97,80.944491403792
208,TXN,2017-05-26,81.12,80.105125566373
209,TXN,2017-05-25,80.79,79.779254123611
210,TXN,2017-05-24,80.05,79.048512100446
211,TXN,2017-05-23,79.69,78.693015981069
212,TXN,2017-05-22,80.37,79.364508651004
213,TXN,2017-05-19,80.3,79.295384405569
214,TXN,2017-05-18,79.23,78.238770939642
215,TXN,2017-05-17,78.68,77.695651868371
216,TXN,2017-05-16,82.27,81.24073816994
217,TXN,2017-05-15,81.55,80.529745931185
218,TXN,2017-05-12,80.69,79.680505201561
219,TXN,2017-05-11,80.4,79.394133327618
220,TXN,2017-05-10,80.49,79.483007357463
221,TXN,2017-05-09,79.45,78.45601856815
222,TXN,2017-05-08,79.46,78.465893460355
223,TXN,2017-05-05,79.63,78.633766627839
224,TXN,2017-05-04,79.3,78.307895185076
225,TXN,2017-05-03,79.77,78.772015118708
226,TXN,2017-05-02,79.25,78.258520724052
227,TXN,2017-05-01,79.29,78.298020292871
228,TXN,2017-04-28,79.19,78.199271370822
229,TXN,2017-04-27,80.8,79.789129015816
230,TXN,2017-04-26,81.11,79.602659956615
231,TXN,2017-04-25,82.37,80.839244243945
232,TXN,2017-04-24,81.08,79.573217473583
233,TXN,2017-04-21,79.81,78.326819025243
234,TXN,2017-04-20,80.76,79.259164321246
235,TXN,2017-04-19,79.37,77.894995940778
236,TXN,2017-04-18,79.61,78.130535805032
237,TXN,2017-04-17,78.72,77.257075475092
238,TXN,2017-04-13,77.84,76.393429306163
239,TXN,2017-04-12,78.48,77.021535610839
240,TXN,2017-04-11,79.41,77.934252584821
241,TXN,2017-04-10,80.13,78.640872177581
242,TXN,2017-04-07,80.53,79.033438618003
243,TXN,2017-04-06,80.1,78.611429694549
244,TXN,2017-04-05,80.08,78.591801372528
245,TXN,2017-04-04,80.6,79.102137745077
246,TXN,2017-04-03,80.36,78.866597880823
247,TXN,2017-03-31,80.56,79.062881101034
248,TXN,2017-03-30,81.04,79.533960829541
249,TXN,2017-03-29,80.49,78.994181973961
250,TXN,2017-03-28,80.61,79.111951906087
251,TXN,2017-03-27,80.53,79.033438618003
252,TXN,2017-03-24,80.59,79.092323584066
253,TXN,2017-03-23,80.67,79.170836872151
254,TXN,2017-03-22,80.69,79.190465194172
255,TXN,2017-03-21,79.75,78.267934059179
256,TXN,2017-03-20,81.59,80.073739685122
257,TXN,2017-03-17,82.2,80.672403506766
258,TXN,2017-03-16,81.71,80.191509617248
259,TXN,2017-03-15,81.82,80.299465388364
260,TXN,2017-03-14,81.09,79.583031634594
261,TXN,2017-03-13,81.02,79.51433250752
262,TXN,2017-03-10,80.33,78.837155397792
263,TXN,2017-03-09,79.13,77.659456076525
264,TXN,2017-03-08,79.34,77.865553457747
265,TXN,2017-03-07,79.12,77.649641915514
266,TXN,2017-03-06,78.31,76.854694873659
267,TXN,2017-03-03,77.86,76.413057628185
268,TXN,2017-03-02,78.08,76.628969170417
269,TXN,2017-03-01,78.15,76.697668297491
270,TXN,2017-02-28,76.62,75.196101662876
271,TXN,2017-02-27,77.19,75.755508840477
272,TXN,2017-02-24,77.24,75.80457964553
273,TXN,2017-02-23,77.14,75.706438035425
274,TXN,2017-02-22,77.23,75.79476548452
275,TXN,2017-02-21,77.08,75.647553069361
276,TXN,2017-02-17,76.44,75.019446764686
277,TXN,2017-02-16,76.25,74.832977705485
278,TXN,2017-02-15,75.67,74.263756366873
279,TXN,2017-02-14,75.64,74.234313883841
280,TXN,2017-02-13,75.52,74.116543951715
281,TXN,2017-02-10,75.16,73.763234155335
282,TXN,2017-02-09,75.3,73.900632409482
283,TXN,2017-02-08,75.95,74.538552875168
284,TXN,2017-02-07,76.18,74.764278578411
285,TXN,2017-02-06,76.22,74.803535222453
286,TXN,2017-02-03,76.5,75.078331730749
287,TXN,2017-02-02,75.89,74.479667909105
288,TXN,2017-02-01,76.27,74.852606027506
289,TXN,2017-01-31,75.54,74.136172273736
290,TXN,2017-01-30,77.9,76.452314272227
291,TXN,2017-01-27,78.03,76.579898365364
292,TXN,2017-01-26,79.26,77.291770590077
293,TXN,2017-01-25,78.58,76.62865673692
294,TXN,2017-01-24,77.08,75.165905590249
295,TXN,2017-01-23,75.73,73.849429558245
296,TXN,2017-01-20,74.75,72.893765475754
297,TXN,2017-01-19,73.88,72.045369810685
298,TXN,2017-01-18,74.38,72.532953526242
299,TXN,2017-01-17,74.49,72.640221943664
300,TXN,2017-01-13,75.0,73.137557333532
301,TXN,2017-01-12,74.85,72.991282218865
302,TXN,2017-01-11,75.2,73.332590819755
303,TXN,2017-01-10,74.6,72.747490361087
304,TXN,2017-01-09,74.34,72.493946828997
305,TXN,2017-01-06,74.15,72.308665017086
306,TXN,2017-01-05,72.92,71.109209076816
307,TXN,2017-01-04,73.49,71.665054512551
308,TXN,2017-01-03,73.58,71.752819581351
