None,ticker,date,close,adj_close
0,UA,2018-03-27,14.32,14.32
1,UA,2018-03-26,14.46,14.46
2,UA,2018-03-23,13.72,13.72
3,UA,2018-03-22,13.71,13.71
4,UA,2018-03-21,14.07,14.07
5,UA,2018-03-20,14.01,14.01
6,UA,2018-03-19,14.07,14.07
7,UA,2018-03-16,14.08,14.08
8,UA,2018-03-15,13.83,13.83
9,UA,2018-03-14,14.02,14.02
10,UA,2018-03-13,14.58,14.58
11,UA,2018-03-12,15.24,15.24
12,UA,2018-03-09,15.18,15.18
13,UA,2018-03-08,15.29,15.29
14,UA,2018-03-07,15.5,15.5
15,UA,2018-03-06,15.73,15.73
16,UA,2018-03-05,15.56,15.56
17,UA,2018-03-02,15.23,15.23
18,UA,2018-03-01,14.39,14.39
19,UA,2018-02-28,15.05,15.05
20,UA,2018-02-27,15.09,15.09
21,UA,2018-02-26,15.42,15.42
22,UA,2018-02-23,15.3,15.3
23,UA,2018-02-22,14.97,14.97
24,UA,2018-02-21,15.32,15.32
25,UA,2018-02-20,15.41,15.41
26,UA,2018-02-16,15.78,15.78
27,UA,2018-02-15,16.54,16.54
28,UA,2018-02-14,16.14,16.14
29,UA,2018-02-13,15.29,15.29
30,UA,2018-02-12,13.18,13.18
31,UA,2018-02-09,12.46,12.46
32,UA,2018-02-08,11.95,11.95
33,UA,2018-02-07,12.15,12.15
34,UA,2018-02-06,12.05,12.05
35,UA,2018-02-05,11.87,11.87
36,UA,2018-02-02,12.41,12.41
37,UA,2018-02-01,12.7,12.7
38,UA,2018-01-31,12.85,12.85
39,UA,2018-01-30,12.99,12.99
40,UA,2018-01-29,13.18,13.18
41,UA,2018-01-26,13.27,13.27
42,UA,2018-01-25,13.31,13.31
43,UA,2018-01-24,13.61,13.61
44,UA,2018-01-23,13.59,13.59
45,UA,2018-01-22,13.28,13.28
46,UA,2018-01-19,12.85,12.85
47,UA,2018-01-18,12.37,12.37
48,UA,2018-01-17,12.39,12.39
49,UA,2018-01-16,12.48,12.48
50,UA,2018-01-12,14.14,14.14
51,UA,2018-01-11,14.13,14.13
52,UA,2018-01-10,13.94,13.94
53,UA,2018-01-09,14.1,14.1
54,UA,2018-01-08,14.78,14.78
55,UA,2018-01-05,14.73,14.73
56,UA,2018-01-04,14.75,14.75
57,UA,2018-01-03,14.4,14.4
58,UA,2018-01-02,13.97,13.97
59,UA,2017-12-29,13.32,13.32
60,UA,2017-12-28,14.14,14.14
61,UA,2017-12-27,14.23,14.23
62,UA,2017-12-26,14.07,14.07
63,UA,2017-12-22,13.8,13.8
64,UA,2017-12-21,13.95,13.95
65,UA,2017-12-20,13.72,13.72
66,UA,2017-12-19,14.1,14.1
67,UA,2017-12-18,14.24,14.24
68,UA,2017-12-15,13.62,13.62
69,UA,2017-12-14,12.45,12.45
70,UA,2017-12-13,12.36,12.36
71,UA,2017-12-12,12.38,12.38
72,UA,2017-12-11,12.18,12.18
73,UA,2017-12-08,12.19,12.19
74,UA,2017-12-07,11.93,11.93
75,UA,2017-12-06,11.55,11.55
76,UA,2017-12-05,11.72,11.72
77,UA,2017-12-04,11.98,11.98
78,UA,2017-12-01,11.73,11.73
79,UA,2017-11-30,11.93,11.93
80,UA,2017-11-29,12.18,12.18
81,UA,2017-11-28,11.51,11.51
82,UA,2017-11-27,11.35,11.35
83,UA,2017-11-24,11.59,11.59
84,UA,2017-11-22,11.67,11.67
85,UA,2017-11-21,11.36,11.36
86,UA,2017-11-20,12.07,12.07
87,UA,2017-11-17,11.73,11.73
88,UA,2017-11-16,11.28,11.28
89,UA,2017-11-15,11.11,11.11
90,UA,2017-11-14,10.92,10.92
91,UA,2017-11-13,10.95,10.95
92,UA,2017-11-10,11.37,11.37
93,UA,2017-11-09,10.99,10.99
94,UA,2017-11-07,10.74,10.74
95,UA,2017-11-06,10.97,10.97
96,UA,2017-11-03,10.59,10.59
97,UA,2017-11-02,10.84,10.84
98,UA,2017-11-01,11.29,11.29
99,UA,2017-10-31,11.53,11.53
100,UA,2017-10-30,14.74,14.74
101,UA,2017-10-27,14.4,14.4
102,UA,2017-10-26,14.65,14.65
103,UA,2017-10-25,14.65,14.65
104,UA,2017-10-24,14.83,14.83
105,UA,2017-10-23,15.22,15.22
106,UA,2017-10-20,15.91,15.91
107,UA,2017-10-19,15.02,15.02
108,UA,2017-10-18,14.98,14.98
109,UA,2017-10-17,15.11,15.11
110,UA,2017-10-16,14.98,14.98
111,UA,2017-10-13,14.95,14.95
112,UA,2017-10-12,15.22,15.22
113,UA,2017-10-11,15.15,15.15
114,UA,2017-10-10,15.51,15.51
115,UA,2017-10-09,15.3,15.3
116,UA,2017-10-06,15.46,15.46
117,UA,2017-10-05,15.03,15.03
118,UA,2017-10-04,15.03,15.03
119,UA,2017-10-03,15.26,15.26
120,UA,2017-10-02,15.08,15.08
121,UA,2017-09-29,15.02,15.02
122,UA,2017-09-28,15.07,15.07
123,UA,2017-09-27,15.06,15.06
124,UA,2017-09-26,15.14,15.14
125,UA,2017-09-25,15.39,15.39
126,UA,2017-09-22,15.04,15.04
