None,ticker,date,close,adj_close
0,UAA,2018-03-27,16.44,16.44
1,UAA,2018-03-26,16.67,16.67
2,UAA,2018-03-23,15.78,15.78
3,UAA,2018-03-22,15.73,15.73
4,UAA,2018-03-21,15.95,15.95
5,UAA,2018-03-20,16.0,16.0
6,UAA,2018-03-19,16.15,16.15
7,UAA,2018-03-16,16.19,16.19
8,UAA,2018-03-15,15.9,15.9
9,UAA,2018-03-14,16.08,16.08
10,UAA,2018-03-13,16.56,16.56
11,UAA,2018-03-12,17.18,17.18
12,UAA,2018-03-09,17.05,17.05
13,UAA,2018-03-08,17.16,17.16
14,UAA,2018-03-07,17.38,17.38
15,UAA,2018-03-06,17.62,17.62
16,UAA,2018-03-05,17.42,17.42
17,UAA,2018-03-02,17.02,17.02
18,UAA,2018-03-01,16.14,16.14
19,UAA,2018-02-28,16.58,16.58
20,UAA,2018-02-27,16.75,16.75
21,UAA,2018-02-26,17.25,17.25
22,UAA,2018-02-23,17.02,17.02
23,UAA,2018-02-22,16.62,16.62
24,UAA,2018-02-21,17.03,17.03
25,UAA,2018-02-20,17.14,17.14
26,UAA,2018-02-16,17.36,17.36
27,UAA,2018-02-15,18.41,18.41
28,UAA,2018-02-14,17.76,17.76
29,UAA,2018-02-13,16.7,16.7
30,UAA,2018-02-12,14.23,14.23
31,UAA,2018-02-09,13.75,13.75
32,UAA,2018-02-08,13.14,13.14
33,UAA,2018-02-07,13.26,13.26
34,UAA,2018-02-06,13.1,13.1
35,UAA,2018-02-05,12.92,12.92
36,UAA,2018-02-02,13.65,13.65
37,UAA,2018-02-01,13.95,13.95
38,UAA,2018-01-31,13.86,13.86
39,UAA,2018-01-30,14.11,14.11
40,UAA,2018-01-29,14.53,14.53
41,UAA,2018-01-26,14.62,14.62
42,UAA,2018-01-25,14.57,14.57
43,UAA,2018-01-24,14.93,14.93
44,UAA,2018-01-23,14.99,14.99
45,UAA,2018-01-22,14.55,14.55
46,UAA,2018-01-19,14.21,14.21
47,UAA,2018-01-18,13.7,13.7
48,UAA,2018-01-17,13.83,13.83
49,UAA,2018-01-16,13.81,13.81
50,UAA,2018-01-12,15.12,15.12
51,UAA,2018-01-11,15.3,15.3
52,UAA,2018-01-10,15.06,15.06
53,UAA,2018-01-09,15.11,15.11
54,UAA,2018-01-08,15.98,15.98
55,UAA,2018-01-05,15.87,15.87
56,UAA,2018-01-04,15.92,15.92
57,UAA,2018-01-03,15.72,15.72
58,UAA,2018-01-02,15.03,15.03
59,UAA,2017-12-29,14.43,14.43
60,UAA,2017-12-28,15.52,15.52
61,UAA,2017-12-27,15.73,15.73
62,UAA,2017-12-26,15.66,15.66
63,UAA,2017-12-22,15.5,15.5
64,UAA,2017-12-21,15.51,15.51
65,UAA,2017-12-20,15.17,15.17
66,UAA,2017-12-19,15.43,15.43
67,UAA,2017-12-18,15.65,15.65
68,UAA,2017-12-15,15.17,15.17
69,UAA,2017-12-14,13.82,13.82
70,UAA,2017-12-13,13.62,13.62
71,UAA,2017-12-12,13.59,13.59
72,UAA,2017-12-11,13.5,13.5
73,UAA,2017-12-08,13.63,13.63
74,UAA,2017-12-07,13.28,13.28
75,UAA,2017-12-06,12.89,12.89
76,UAA,2017-12-05,13.01,13.01
77,UAA,2017-12-04,13.35,13.35
78,UAA,2017-12-01,13.15,13.15
79,UAA,2017-11-30,13.29,13.29
80,UAA,2017-11-29,13.57,13.57
81,UAA,2017-11-28,12.88,12.88
82,UAA,2017-11-27,12.68,12.68
83,UAA,2017-11-24,12.99,12.99
84,UAA,2017-11-22,13.09,13.09
85,UAA,2017-11-21,12.85,12.85
86,UAA,2017-11-20,13.44,13.44
87,UAA,2017-11-17,13.08,13.08
88,UAA,2017-11-16,12.76,12.76
89,UAA,2017-11-15,12.41,12.41
90,UAA,2017-11-14,12.15,12.15
91,UAA,2017-11-13,12.17,12.17
92,UAA,2017-11-10,12.52,12.52
93,UAA,2017-11-09,12.01,12.01
94,UAA,2017-11-07,11.88,11.88
95,UAA,2017-11-06,12.02,12.02
96,UAA,2017-11-03,11.61,11.61
97,UAA,2017-11-02,11.78,11.78
98,UAA,2017-11-01,12.05,12.05
99,UAA,2017-10-31,12.52,12.52
100,UAA,2017-10-30,16.41,16.41
101,UAA,2017-10-27,16.04,16.04
102,UAA,2017-10-26,16.38,16.38
103,UAA,2017-10-25,15.99,15.99
104,UAA,2017-10-24,16.3,16.3
105,UAA,2017-10-23,16.85,16.85
106,UAA,2017-10-20,17.48,17.48
107,UAA,2017-10-19,16.45,16.45
108,UAA,2017-10-18,16.33,16.33
109,UAA,2017-10-17,16.31,16.31
110,UAA,2017-10-16,16.25,16.25
111,UAA,2017-10-13,16.19,16.19
112,UAA,2017-10-12,16.55,16.55
113,UAA,2017-10-11,16.52,16.52
114,UAA,2017-10-10,16.84,16.84
115,UAA,2017-10-09,16.65,16.65
116,UAA,2017-10-06,17.02,17.02
117,UAA,2017-10-05,16.53,16.53
118,UAA,2017-10-04,16.47,16.47
119,UAA,2017-10-03,16.71,16.71
120,UAA,2017-10-02,16.6,16.6
121,UAA,2017-09-29,16.48,16.48
122,UAA,2017-09-28,16.46,16.46
123,UAA,2017-09-27,16.42,16.42
124,UAA,2017-09-26,16.54,16.54
125,UAA,2017-09-25,16.74,16.74
126,UAA,2017-09-22,16.41,16.41
127,UAA,2017-09-21,16.49,16.49
128,UAA,2017-09-20,16.54,16.54
129,UAA,2017-09-19,16.81,16.81
130,UAA,2017-09-18,17.37,17.37
131,UAA,2017-09-15,17.79,17.79
132,UAA,2017-09-14,17.95,17.95
133,UAA,2017-09-13,18.12,18.12
134,UAA,2017-09-12,17.54,17.54
135,UAA,2017-09-11,17.42,17.42
136,UAA,2017-09-08,17.42,17.42
137,UAA,2017-09-07,17.33,17.33
138,UAA,2017-09-06,17.03,17.03
139,UAA,2017-09-05,16.76,16.76
140,UAA,2017-09-01,16.37,16.37
141,UAA,2017-08-31,16.15,16.15
142,UAA,2017-08-30,16.23,16.23
143,UAA,2017-08-29,16.43,16.43
144,UAA,2017-08-28,16.93,16.93
145,UAA,2017-08-25,17.18,17.18
146,UAA,2017-08-24,17.05,17.05
147,UAA,2017-08-23,16.99,16.99
148,UAA,2017-08-22,16.78,16.78
149,UAA,2017-08-21,16.59,16.59
150,UAA,2017-08-18,17.12,17.12
151,UAA,2017-08-17,17.81,17.81
152,UAA,2017-08-16,18.18,18.18
153,UAA,2017-08-15,18.22,18.22
154,UAA,2017-08-14,18.83,18.83
155,UAA,2017-08-11,18.55,18.55
156,UAA,2017-08-10,18.71,18.71
157,UAA,2017-08-09,19.1,19.1
158,UAA,2017-08-08,19.25,19.25
159,UAA,2017-08-07,18.56,18.56
160,UAA,2017-08-04,18.39,18.39
161,UAA,2017-08-03,18.31,18.31
162,UAA,2017-08-02,18.56,18.56
163,UAA,2017-08-01,18.3,18.3
164,UAA,2017-07-31,20.02,20.02
165,UAA,2017-07-28,19.44,19.44
166,UAA,2017-07-27,19.42,19.42
167,UAA,2017-07-26,19.65,19.65
168,UAA,2017-07-25,20.11,20.11
169,UAA,2017-07-24,20.27,20.27
170,UAA,2017-07-21,20.64,20.64
171,UAA,2017-07-20,20.64,20.64
172,UAA,2017-07-19,20.49,20.49
173,UAA,2017-07-18,20.22,20.22
174,UAA,2017-07-17,20.45,20.45
175,UAA,2017-07-14,20.39,20.39
176,UAA,2017-07-13,19.93,19.93
177,UAA,2017-07-12,19.96,19.96
178,UAA,2017-07-11,20.25,20.25
179,UAA,2017-07-10,20.6,20.6
180,UAA,2017-07-07,20.64,20.64
181,UAA,2017-07-06,20.65,20.65
182,UAA,2017-07-05,22.14,22.14
183,UAA,2017-07-03,22.28,22.28
184,UAA,2017-06-30,21.76,21.76
185,UAA,2017-06-29,21.31,21.31
186,UAA,2017-06-28,21.63,21.63
187,UAA,2017-06-27,21.77,21.77
188,UAA,2017-06-26,21.56,21.56
189,UAA,2017-06-23,21.2,21.2
190,UAA,2017-06-22,20.65,20.65
191,UAA,2017-06-21,20.31,20.31
192,UAA,2017-06-20,20.48,20.48
193,UAA,2017-06-19,21.02,21.02
194,UAA,2017-06-16,20.99,20.99
195,UAA,2017-06-15,21.71,21.71
196,UAA,2017-06-14,22.7,22.7
197,UAA,2017-06-13,22.95,22.95
198,UAA,2017-06-12,23.14,23.14
199,UAA,2017-06-09,21.88,21.88
200,UAA,2017-06-08,21.16,21.16
201,UAA,2017-06-07,20.54,20.54
202,UAA,2017-06-06,20.22,20.22
203,UAA,2017-06-05,20.28,20.28
204,UAA,2017-06-02,20.11,20.11
205,UAA,2017-06-01,19.72,19.72
206,UAA,2017-05-31,19.16,19.16
207,UAA,2017-05-30,19.56,19.56
208,UAA,2017-05-26,19.69,19.69
209,UAA,2017-05-25,19.49,19.49
210,UAA,2017-05-24,19.56,19.56
211,UAA,2017-05-23,19.49,19.49
212,UAA,2017-05-22,19.28,19.28
213,UAA,2017-05-19,19.1,19.1
214,UAA,2017-05-18,18.89,18.89
215,UAA,2017-05-17,18.94,18.94
216,UAA,2017-05-16,19.48,19.48
217,UAA,2017-05-15,20.29,20.29
218,UAA,2017-05-12,20.58,20.58
219,UAA,2017-05-11,20.99,20.99
220,UAA,2017-05-10,21.18,21.18
221,UAA,2017-05-09,21.39,21.39
222,UAA,2017-05-08,20.53,20.53
223,UAA,2017-05-05,20.59,20.59
224,UAA,2017-05-04,20.42,20.42
225,UAA,2017-05-03,20.34,20.34
226,UAA,2017-05-02,21.05,21.05
227,UAA,2017-05-01,21.17,21.17
228,UAA,2017-04-28,21.49,21.49
229,UAA,2017-04-27,21.67,21.67
230,UAA,2017-04-26,19.71,19.71
231,UAA,2017-04-25,19.52,19.52
232,UAA,2017-04-24,19.44,19.44
233,UAA,2017-04-21,18.99,18.99
234,UAA,2017-04-20,19.39,19.39
235,UAA,2017-04-19,19.19,19.19
236,UAA,2017-04-18,19.1,19.1
237,UAA,2017-04-17,19.21,19.21
238,UAA,2017-04-13,19.26,19.26
239,UAA,2017-04-12,19.28,19.28
240,UAA,2017-04-11,19.42,19.42
241,UAA,2017-04-10,19.73,19.73
242,UAA,2017-04-07,19.86,19.86
243,UAA,2017-04-06,20.27,20.27
244,UAA,2017-04-05,19.62,19.62
245,UAA,2017-04-04,19.31,19.31
246,UAA,2017-04-03,19.65,19.65
247,UAA,2017-03-31,19.78,19.78
