None,ticker,date,close,adj_close
0,UAL,2018-03-27,68.18,68.18
1,UAL,2018-03-26,68.48,68.48
2,UAL,2018-03-23,67.39,67.39
3,UAL,2018-03-22,68.45,68.45
4,UAL,2018-03-21,69.94,69.94
5,UAL,2018-03-20,70.48,70.48
6,UAL,2018-03-19,70.13,70.13
7,UAL,2018-03-16,70.88,70.88
8,UAL,2018-03-15,70.14,70.14
9,UAL,2018-03-14,70.74,70.74
10,UAL,2018-03-13,72.6,72.6
11,UAL,2018-03-12,72.0,72.0
12,UAL,2018-03-09,71.55,71.55
13,UAL,2018-03-08,69.87,69.87
14,UAL,2018-03-07,67.81,67.81
15,UAL,2018-03-06,67.52,67.52
16,UAL,2018-03-05,67.21,67.21
17,UAL,2018-03-02,67.51,67.51
18,UAL,2018-03-01,67.54,67.54
19,UAL,2018-02-28,67.79,67.79
20,UAL,2018-02-27,67.86,67.86
21,UAL,2018-02-26,69.26,69.26
22,UAL,2018-02-23,67.57,67.57
23,UAL,2018-02-22,66.7,66.7
24,UAL,2018-02-21,67.0,67.0
25,UAL,2018-02-20,66.59,66.59
26,UAL,2018-02-16,66.52,66.52
27,UAL,2018-02-15,66.74,66.74
28,UAL,2018-02-14,65.68,65.68
29,UAL,2018-02-13,65.7,65.7
30,UAL,2018-02-12,64.14,64.14
31,UAL,2018-02-09,62.98,62.98
32,UAL,2018-02-08,63.37,63.37
33,UAL,2018-02-07,65.36,65.36
34,UAL,2018-02-06,63.95,63.95
35,UAL,2018-02-05,63.4,63.4
36,UAL,2018-02-02,65.68,65.68
37,UAL,2018-02-01,67.15,67.15
38,UAL,2018-01-31,67.82,67.82
39,UAL,2018-01-30,67.01,67.01
40,UAL,2018-01-29,65.78,65.78
41,UAL,2018-01-26,66.56,66.56
42,UAL,2018-01-25,66.08,66.08
43,UAL,2018-01-24,69.05,69.05
44,UAL,2018-01-23,77.97,77.97
45,UAL,2018-01-22,76.87,76.87
46,UAL,2018-01-19,76.5,76.5
47,UAL,2018-01-18,76.3,76.3
48,UAL,2018-01-17,76.58,76.58
49,UAL,2018-01-16,77.49,77.49
50,UAL,2018-01-12,78.4,78.4
51,UAL,2018-01-11,76.45,76.45
52,UAL,2018-01-10,73.08,73.08
53,UAL,2018-01-09,68.48,68.48
54,UAL,2018-01-08,68.51,68.51
55,UAL,2018-01-05,69.36,69.36
56,UAL,2018-01-04,69.26,69.26
57,UAL,2018-01-03,68.49,68.49
58,UAL,2018-01-02,68.94,68.94
59,UAL,2017-12-29,67.4,67.4
60,UAL,2017-12-28,67.54,67.54
61,UAL,2017-12-27,67.12,67.12
62,UAL,2017-12-26,67.35,67.35
63,UAL,2017-12-22,67.25,67.25
64,UAL,2017-12-21,67.28,67.28
65,UAL,2017-12-20,65.9,65.9
66,UAL,2017-12-19,64.43,64.43
67,UAL,2017-12-18,64.56,64.56
68,UAL,2017-12-15,63.76,63.76
69,UAL,2017-12-14,63.13,63.13
70,UAL,2017-12-13,63.03,63.03
71,UAL,2017-12-12,63.36,63.36
72,UAL,2017-12-11,64.24,64.24
73,UAL,2017-12-08,63.55,63.55
74,UAL,2017-12-07,63.53,63.53
75,UAL,2017-12-06,62.19,62.19
76,UAL,2017-12-05,62.2,62.2
77,UAL,2017-12-04,62.59,62.59
78,UAL,2017-12-01,62.57,62.57
79,UAL,2017-11-30,63.32,63.32
80,UAL,2017-11-29,62.09,62.09
81,UAL,2017-11-28,60.19,60.19
82,UAL,2017-11-27,59.09,59.09
83,UAL,2017-11-24,59.43,59.43
84,UAL,2017-11-22,59.69,59.69
85,UAL,2017-11-21,59.71,59.71
86,UAL,2017-11-20,58.76,58.76
87,UAL,2017-11-17,58.2,58.2
88,UAL,2017-11-16,58.68,58.68
89,UAL,2017-11-15,57.49,57.49
90,UAL,2017-11-14,57.2,57.2
91,UAL,2017-11-13,57.81,57.81
92,UAL,2017-11-10,58.52,58.52
93,UAL,2017-11-09,58.39,58.39
94,UAL,2017-11-07,58.71,58.71
95,UAL,2017-11-06,59.92,59.92
96,UAL,2017-11-03,59.65,59.65
97,UAL,2017-11-02,58.27,58.27
98,UAL,2017-11-01,58.64,58.64
99,UAL,2017-10-31,58.48,58.48
100,UAL,2017-10-30,59.04,59.04
101,UAL,2017-10-27,60.25,60.25
102,UAL,2017-10-26,59.95,59.95
103,UAL,2017-10-25,59.935,59.935
104,UAL,2017-10-24,59.91,59.91
105,UAL,2017-10-23,59.1,59.1
106,UAL,2017-10-20,59.9,59.9
107,UAL,2017-10-19,59.78,59.78
108,UAL,2017-10-18,67.99,67.99
109,UAL,2017-10-17,67.51,67.51
110,UAL,2017-10-16,66.95,66.95
