None,ticker,date,close,adj_close
0,UHS,2018-03-27,120.44,120.44
1,UHS,2018-03-26,120.23,120.23
2,UHS,2018-03-23,121.17,121.17
3,UHS,2018-03-22,123.03,123.03
4,UHS,2018-03-21,124.22,124.22
5,UHS,2018-03-20,122.9,122.9
6,UHS,2018-03-19,123.07,123.07
7,UHS,2018-03-16,123.51,123.51
8,UHS,2018-03-15,123.83,123.83
9,UHS,2018-03-14,123.26,123.26
10,UHS,2018-03-13,123.89,123.89
11,UHS,2018-03-12,126.28,126.28
12,UHS,2018-03-09,126.66,126.66
13,UHS,2018-03-08,127.27,127.27
14,UHS,2018-03-07,126.2,126.2
15,UHS,2018-03-06,124.95,124.95
16,UHS,2018-03-05,123.85,123.85
17,UHS,2018-03-02,123.84,123.84
18,UHS,2018-03-01,116.02,116.02
19,UHS,2018-02-28,114.2,114.2
20,UHS,2018-02-27,117.6,117.6
21,UHS,2018-02-26,116.72,116.72
22,UHS,2018-02-23,116.41,116.41
23,UHS,2018-02-22,116.71,116.71
24,UHS,2018-02-21,115.47,115.47
25,UHS,2018-02-20,117.18,117.18
26,UHS,2018-02-16,117.9,117.9
27,UHS,2018-02-15,118.5,118.5
28,UHS,2018-02-14,116.85,116.85
29,UHS,2018-02-13,116.2,116.2
30,UHS,2018-02-12,115.61,115.61
31,UHS,2018-02-09,115.28,115.28
32,UHS,2018-02-08,114.87,114.87
33,UHS,2018-02-07,117.12,117.12
34,UHS,2018-02-06,116.86,116.86
35,UHS,2018-02-05,113.54,113.54
36,UHS,2018-02-02,119.3,119.3
37,UHS,2018-02-01,121.29,121.29
38,UHS,2018-01-31,121.5,121.5
39,UHS,2018-01-30,122.53,122.53
40,UHS,2018-01-29,120.27,120.27
41,UHS,2018-01-26,121.23,121.23
42,UHS,2018-01-25,119.13,119.13
43,UHS,2018-01-24,117.99,117.99
44,UHS,2018-01-23,117.25,117.25
45,UHS,2018-01-22,117.81,117.81
46,UHS,2018-01-19,118.09,118.09
47,UHS,2018-01-18,117.32,117.32
48,UHS,2018-01-17,116.05,116.05
49,UHS,2018-01-16,116.42,116.42
50,UHS,2018-01-12,116.65,116.65
51,UHS,2018-01-11,114.93,114.93
52,UHS,2018-01-10,110.36,110.36
53,UHS,2018-01-09,110.79,110.79
54,UHS,2018-01-08,110.15,110.15
55,UHS,2018-01-05,111.97,111.97
56,UHS,2018-01-04,112.79,112.79
57,UHS,2018-01-03,113.39,113.39
58,UHS,2018-01-02,115.6,115.6
59,UHS,2017-12-29,113.35,113.35
60,UHS,2017-12-28,114.37,114.37
61,UHS,2017-12-27,114.16,114.16
62,UHS,2017-12-26,114.38,114.38
63,UHS,2017-12-22,115.06,115.06
64,UHS,2017-12-21,114.77,114.77
65,UHS,2017-12-20,112.78,112.78
66,UHS,2017-12-19,113.04,113.04
67,UHS,2017-12-18,113.12,113.12
68,UHS,2017-12-15,113.44,113.44
69,UHS,2017-12-14,112.93,112.93
70,UHS,2017-12-13,113.88,113.88
71,UHS,2017-12-12,112.44,112.44
72,UHS,2017-12-11,110.98,110.98
73,UHS,2017-12-08,111.56,111.56
74,UHS,2017-12-07,110.34,110.34
75,UHS,2017-12-06,107.66,107.66
76,UHS,2017-12-05,105.95,105.95
77,UHS,2017-12-04,106.26,106.26
78,UHS,2017-12-01,108.06,108.06
79,UHS,2017-11-30,108.35,108.35
80,UHS,2017-11-29,107.47,107.47
81,UHS,2017-11-28,102.33,102.33
82,UHS,2017-11-27,100.74,100.74
83,UHS,2017-11-24,100.48,100.48
84,UHS,2017-11-22,100.58,100.58
85,UHS,2017-11-21,98.77,98.77
86,UHS,2017-11-20,96.88,96.88
87,UHS,2017-11-17,97.22,97.22
88,UHS,2017-11-16,98.38,98.38
89,UHS,2017-11-15,95.77,95.77
90,UHS,2017-11-14,97.0,97.0
91,UHS,2017-11-13,97.76,97.76
92,UHS,2017-11-10,97.71,97.71
93,UHS,2017-11-09,99.79,99.79
94,UHS,2017-11-07,101.05,101.05
95,UHS,2017-11-06,101.75,101.75
96,UHS,2017-11-03,101.61,101.61
97,UHS,2017-11-02,102.4,102.4
98,UHS,2017-11-01,102.12,102.12
99,UHS,2017-10-31,102.7,102.7
100,UHS,2017-10-30,102.28,102.28
101,UHS,2017-10-27,103.49,103.49
102,UHS,2017-10-26,103.86,103.86
103,UHS,2017-10-25,110.5,110.5
104,UHS,2017-10-24,111.5,111.5
