None,ticker,date,close,adj_close
0,ULTA,2018-03-27,204.92,204.92
1,ULTA,2018-03-26,207.9,207.9
2,ULTA,2018-03-23,202.29,202.29
3,ULTA,2018-03-22,207.36,207.36
4,ULTA,2018-03-21,213.0,213.0
5,ULTA,2018-03-20,215.63,215.63
6,ULTA,2018-03-19,215.6,215.6
7,ULTA,2018-03-16,221.88,221.88
8,ULTA,2018-03-15,206.14,206.14
9,ULTA,2018-03-14,201.99,201.99
10,ULTA,2018-03-13,208.4,208.4
11,ULTA,2018-03-12,207.62,207.62
12,ULTA,2018-03-09,205.92,205.92
13,ULTA,2018-03-08,206.54,206.54
14,ULTA,2018-03-07,201.07,201.07
15,ULTA,2018-03-06,200.22,200.22
16,ULTA,2018-03-05,197.88,197.88
17,ULTA,2018-03-02,194.0,194.0
18,ULTA,2018-03-01,200.71,200.71
19,ULTA,2018-02-28,203.35,203.35
20,ULTA,2018-02-27,203.06,203.06
21,ULTA,2018-02-26,198.93,198.93
22,ULTA,2018-02-23,207.11,207.11
23,ULTA,2018-02-22,204.05,204.05
24,ULTA,2018-02-21,201.24,201.24
25,ULTA,2018-02-20,201.13,201.13
26,ULTA,2018-02-16,203.15,203.15
27,ULTA,2018-02-15,204.0,204.0
28,ULTA,2018-02-14,206.76,206.76
29,ULTA,2018-02-13,206.79,206.79
30,ULTA,2018-02-12,209.48,209.48
31,ULTA,2018-02-09,218.48,218.48
32,ULTA,2018-02-08,209.05,209.05
33,ULTA,2018-02-07,218.06,218.06
34,ULTA,2018-02-06,218.59,218.59
35,ULTA,2018-02-05,213.7101,213.7101
36,ULTA,2018-02-02,219.495,219.495
37,ULTA,2018-02-01,219.4,219.4
38,ULTA,2018-01-31,222.1,222.1
39,ULTA,2018-01-30,226.05,226.05
40,ULTA,2018-01-29,229.15,229.15
41,ULTA,2018-01-26,227.69,227.69
42,ULTA,2018-01-25,227.29,227.29
43,ULTA,2018-01-24,224.31,224.31
44,ULTA,2018-01-23,228.79,228.79
45,ULTA,2018-01-22,235.01,235.01
46,ULTA,2018-01-19,244.13,244.13
47,ULTA,2018-01-18,243.15,243.15
48,ULTA,2018-01-17,238.69,238.69
49,ULTA,2018-01-16,237.18,237.18
50,ULTA,2018-01-12,237.351,237.351
51,ULTA,2018-01-11,233.15,233.15
52,ULTA,2018-01-10,230.45,230.45
53,ULTA,2018-01-09,232.92,232.92
54,ULTA,2018-01-08,231.14,231.14
55,ULTA,2018-01-05,237.96,237.96
56,ULTA,2018-01-04,244.88,244.88
57,ULTA,2018-01-03,245.12,245.12
58,ULTA,2018-01-02,229.63,229.63
59,ULTA,2017-12-29,223.66,223.66
60,ULTA,2017-12-28,225.33,225.33
61,ULTA,2017-12-27,225.65,225.65
62,ULTA,2017-12-26,226.68,226.68
63,ULTA,2017-12-22,226.27,226.27
64,ULTA,2017-12-21,228.57,228.57
65,ULTA,2017-12-20,226.0,226.0
66,ULTA,2017-12-19,227.47,227.47
67,ULTA,2017-12-18,222.66,222.66
68,ULTA,2017-12-15,218.25,218.25
69,ULTA,2017-12-14,217.17,217.17
70,ULTA,2017-12-13,215.03,215.03
71,ULTA,2017-12-12,214.87,214.87
72,ULTA,2017-12-11,216.14,216.14
73,ULTA,2017-12-08,224.54,224.54
74,ULTA,2017-12-07,221.59,221.59
75,ULTA,2017-12-06,223.14,223.14
76,ULTA,2017-12-05,223.97,223.97
77,ULTA,2017-12-04,221.64,221.64
78,ULTA,2017-12-01,212.58,212.58
79,ULTA,2017-11-30,221.71,221.71
80,ULTA,2017-11-29,223.1,223.1
81,ULTA,2017-11-28,217.07,217.07
82,ULTA,2017-11-27,206.69,206.69
83,ULTA,2017-11-24,210.37,210.37
84,ULTA,2017-11-22,212.3,212.3
85,ULTA,2017-11-21,209.96,209.96
86,ULTA,2017-11-20,209.16,209.16
87,ULTA,2017-11-17,215.1,215.1
88,ULTA,2017-11-16,205.96,205.96
89,ULTA,2017-11-15,199.99,199.99
90,ULTA,2017-11-14,199.05,199.05
91,ULTA,2017-11-13,198.03,198.03
92,ULTA,2017-11-10,200.76,200.76
93,ULTA,2017-11-09,199.19,199.19
94,ULTA,2017-11-07,197.99,197.99
95,ULTA,2017-11-06,201.33,201.33
96,ULTA,2017-11-03,202.05,202.05
97,ULTA,2017-11-02,202.9,202.9
98,ULTA,2017-11-01,204.83,204.83
99,ULTA,2017-10-31,201.79,201.79
100,ULTA,2017-10-30,201.69,201.69
101,ULTA,2017-10-27,198.93,198.93
102,ULTA,2017-10-26,200.51,200.51
103,ULTA,2017-10-25,201.29,201.29
104,ULTA,2017-10-24,203.31,203.31
105,ULTA,2017-10-23,202.36,202.36
106,ULTA,2017-10-20,204.84,204.84
107,ULTA,2017-10-19,204.62,204.62
108,ULTA,2017-10-18,198.37,198.37
109,ULTA,2017-10-17,202.28,202.28
110,ULTA,2017-10-16,193.7,193.7
111,ULTA,2017-10-13,198.58,198.58
112,ULTA,2017-10-12,190.16,190.16
113,ULTA,2017-10-11,207.89,207.89
114,ULTA,2017-10-10,212.69,212.69
115,ULTA,2017-10-09,217.34,217.34
116,ULTA,2017-10-06,219.91,219.91
117,ULTA,2017-10-05,220.63,220.63
118,ULTA,2017-10-04,223.52,223.52
119,ULTA,2017-10-03,227.62,227.62
120,ULTA,2017-10-02,223.8,223.8
121,ULTA,2017-09-29,226.06,226.06
122,ULTA,2017-09-28,226.89,226.89
123,ULTA,2017-09-27,227.66,227.66
124,ULTA,2017-09-26,218.99,218.99
125,ULTA,2017-09-25,218.89,218.89
126,ULTA,2017-09-22,219.17,219.17
127,ULTA,2017-09-21,219.74,219.74
128,ULTA,2017-09-20,223.84,223.84
129,ULTA,2017-09-19,224.45,224.45
130,ULTA,2017-09-18,227.08,227.08
131,ULTA,2017-09-15,224.67,224.67
132,ULTA,2017-09-14,223.93,223.93
133,ULTA,2017-09-13,226.41,226.41
