None,ticker,date,close,adj_close
0,UNM,2018-03-27,47.47,47.47
1,UNM,2018-03-26,48.24,48.24
2,UNM,2018-03-23,46.98,46.98
3,UNM,2018-03-22,48.62,48.62
4,UNM,2018-03-21,50.63,50.63
5,UNM,2018-03-20,50.27,50.27
6,UNM,2018-03-19,49.87,49.87
7,UNM,2018-03-16,50.28,50.28
8,UNM,2018-03-15,49.81,49.81
9,UNM,2018-03-14,49.51,49.51
10,UNM,2018-03-13,50.32,50.32
11,UNM,2018-03-12,50.69,50.69
12,UNM,2018-03-09,51.19,51.19
13,UNM,2018-03-08,49.63,49.63
14,UNM,2018-03-07,49.94,49.94
15,UNM,2018-03-06,49.96,49.96
16,UNM,2018-03-05,49.96,49.96
17,UNM,2018-03-02,49.15,49.15
18,UNM,2018-03-01,49.31,49.31
19,UNM,2018-02-28,50.96,50.96
20,UNM,2018-02-27,51.94,51.94
21,UNM,2018-02-26,52.41,52.41
22,UNM,2018-02-23,51.73,51.73
23,UNM,2018-02-22,51.26,51.26
24,UNM,2018-02-21,51.98,51.98
25,UNM,2018-02-20,52.34,52.34
26,UNM,2018-02-16,52.45,52.45
27,UNM,2018-02-15,52.15,52.15
28,UNM,2018-02-14,52.45,52.45
29,UNM,2018-02-13,50.82,50.82
30,UNM,2018-02-12,50.48,50.48
31,UNM,2018-02-09,49.21,49.21
32,UNM,2018-02-08,47.87,47.87
33,UNM,2018-02-07,50.58,50.58
34,UNM,2018-02-06,50.64,50.64
35,UNM,2018-02-05,50.43,50.43
36,UNM,2018-02-02,52.71,52.71
37,UNM,2018-02-01,53.28,53.28
38,UNM,2018-01-31,53.19,53.19
39,UNM,2018-01-30,53.67,53.67
40,UNM,2018-01-29,55.26,55.26
41,UNM,2018-01-26,55.74,55.74
42,UNM,2018-01-25,55.03,55.03
43,UNM,2018-01-24,55.96,55.96
44,UNM,2018-01-23,56.2,56.2
45,UNM,2018-01-22,56.1,56.1
46,UNM,2018-01-19,55.99,55.99
47,UNM,2018-01-18,56.14,56.14
48,UNM,2018-01-17,56.35,56.35
49,UNM,2018-01-16,55.54,55.54
50,UNM,2018-01-12,58.59,58.59
51,UNM,2018-01-11,58.22,58.22
52,UNM,2018-01-10,57.52,57.52
53,UNM,2018-01-09,56.96,56.96
54,UNM,2018-01-08,56.47,56.47
55,UNM,2018-01-05,55.99,55.99
56,UNM,2018-01-04,55.75,55.75
57,UNM,2018-01-03,55.26,55.26
58,UNM,2018-01-02,54.86,54.86
59,UNM,2017-12-29,54.89,54.89
60,UNM,2017-12-28,55.14,55.14
61,UNM,2017-12-27,54.75,54.75
62,UNM,2017-12-26,54.75,54.75
63,UNM,2017-12-22,54.79,54.79
64,UNM,2017-12-21,54.83,54.83
65,UNM,2017-12-20,54.8,54.8
66,UNM,2017-12-19,54.21,54.21
67,UNM,2017-12-18,53.95,53.95
68,UNM,2017-12-15,54.03,54.03
69,UNM,2017-12-14,54.26,54.26
70,UNM,2017-12-13,54.94,54.94
71,UNM,2017-12-12,56.4,56.4
72,UNM,2017-12-11,56.65,56.65
73,UNM,2017-12-08,57.49,57.49
74,UNM,2017-12-07,56.79,56.79
75,UNM,2017-12-06,56.34,56.34
76,UNM,2017-12-05,56.52,56.52
77,UNM,2017-12-04,57.02,57.02
78,UNM,2017-12-01,56.48,56.48
79,UNM,2017-11-30,56.62,56.62
80,UNM,2017-11-29,56.42,56.42
81,UNM,2017-11-28,55.23,55.23
82,UNM,2017-11-27,53.94,53.94
83,UNM,2017-11-24,54.09,54.09
84,UNM,2017-11-22,53.9,53.9
85,UNM,2017-11-21,53.87,53.87
86,UNM,2017-11-20,53.88,53.88
87,UNM,2017-11-17,53.46,53.46
88,UNM,2017-11-16,53.25,53.25
89,UNM,2017-11-15,52.89,52.89
90,UNM,2017-11-14,52.81,52.81
91,UNM,2017-11-13,52.82,52.82
92,UNM,2017-11-10,52.42,52.42
93,UNM,2017-11-09,52.53,52.53
94,UNM,2017-11-07,52.7,52.7
95,UNM,2017-11-06,53.07,53.07
96,UNM,2017-11-03,52.46,52.46
97,UNM,2017-11-02,52.91,52.91
98,UNM,2017-11-01,52.0,52.0
99,UNM,2017-10-31,52.04,52.04
100,UNM,2017-10-30,52.4,52.4
101,UNM,2017-10-27,52.45,52.45
102,UNM,2017-10-26,52.93,52.698908504176
103,UNM,2017-10-25,52.215,51.987030182232
104,UNM,2017-10-24,52.82,52.589388762339
105,UNM,2017-10-23,52.36,52.131397114655
106,UNM,2017-10-20,52.29,52.061702733485
107,UNM,2017-10-19,52.28,52.051746393318
108,UNM,2017-10-18,52.19,51.962139331815
109,UNM,2017-10-17,52.0,51.772968868641
110,UNM,2017-10-16,52.42,52.191135155657
111,UNM,2017-10-13,51.97,51.74309984814
112,UNM,2017-10-12,52.01,51.782925208808
113,UNM,2017-10-11,52.23,52.001964692483
114,UNM,2017-10-10,52.43,52.201091495824
115,UNM,2017-10-09,52.29,52.061702733485
116,UNM,2017-10-06,52.54,52.310611237661
117,UNM,2017-10-05,52.3,52.071659073652
118,UNM,2017-10-04,51.64,51.414540622627
119,UNM,2017-10-03,51.53,51.30502088079
120,UNM,2017-10-02,51.61,51.384671602126
121,UNM,2017-09-29,51.13,50.906767274108
122,UNM,2017-09-28,51.09,50.86694191344
123,UNM,2017-09-27,51.33,51.105894077449
124,UNM,2017-09-26,50.52,50.299430523918
125,UNM,2017-09-25,50.39,50.169998101746
126,UNM,2017-09-22,50.12,49.901176917236
127,UNM,2017-09-21,50.03,49.811569855733
128,UNM,2017-09-20,49.68,49.463097949886
129,UNM,2017-09-19,49.26,49.04493166287
130,UNM,2017-09-18,48.97,48.756197798026
131,UNM,2017-09-15,48.43,48.218555429005
132,UNM,2017-09-14,48.06,47.850170842825
133,UNM,2017-09-13,48.47,48.258380789674
134,UNM,2017-09-12,48.53,48.318118830676
135,UNM,2017-09-11,48.04,47.830258162491
136,UNM,2017-09-08,47.11,46.904318526955
137,UNM,2017-09-07,46.43,46.227287395596
138,UNM,2017-09-06,47.77,47.56143697798
139,UNM,2017-09-05,47.58,47.372266514806
140,UNM,2017-09-01,48.6,48.387813211845
141,UNM,2017-08-31,48.18,47.969646924829
142,UNM,2017-08-30,48.15,47.939777904328
143,UNM,2017-08-29,47.93,47.720738420653
144,UNM,2017-08-28,48.27,48.059253986333
145,UNM,2017-08-25,48.55,48.33803151101
146,UNM,2017-08-24,48.38,48.16877372817
147,UNM,2017-08-23,47.94,47.73069476082
148,UNM,2017-08-22,47.84,47.63113135915
149,UNM,2017-08-21,47.33,47.12335801063
150,UNM,2017-08-18,47.93,47.720738420653
151,UNM,2017-08-17,48.16,47.949734244495
152,UNM,2017-08-16,49.5,49.283883826879
153,UNM,2017-08-15,50.06,49.841438876234
154,UNM,2017-08-14,49.86,49.642312072893
155,UNM,2017-08-11,49.7,49.48301063022
156,UNM,2017-08-10,49.94,49.721962794229
157,UNM,2017-08-09,50.76,50.538382687927
158,UNM,2017-08-08,50.75,50.52842634776
159,UNM,2017-08-07,50.6,50.379081245254
160,UNM,2017-08-04,50.8,50.578208048595
161,UNM,2017-08-03,50.18,49.960914958238
162,UNM,2017-08-02,50.23,50.010696659074
163,UNM,2017-08-01,50.32,50.100303720577
164,UNM,2017-07-31,50.13,49.911133257403
165,UNM,2017-07-28,49.8,49.582574031891
166,UNM,2017-07-27,48.44,48.228511769172
167,UNM,2017-07-26,48.23,47.792503033228
168,UNM,2017-07-25,48.66,48.218602479719
169,UNM,2017-07-24,48.16,47.723138007054
170,UNM,2017-07-21,47.8,47.366403586736
171,UNM,2017-07-20,47.74,47.306947850016
172,UNM,2017-07-19,48.14,47.703319428148
173,UNM,2017-07-18,47.66,47.22767353439
