None,ticker,date,close,adj_close
0,UNP,2018-03-27,131.3,131.3
1,UNP,2018-03-26,133.0,133.0
2,UNP,2018-03-23,131.94,131.94
3,UNP,2018-03-22,134.87,134.87
4,UNP,2018-03-21,138.56,138.56
5,UNP,2018-03-20,137.77,137.77
6,UNP,2018-03-19,136.98,136.98
7,UNP,2018-03-16,137.16,137.16
8,UNP,2018-03-15,136.26,136.26
9,UNP,2018-03-14,134.83,134.83
10,UNP,2018-03-13,136.83,136.83
11,UNP,2018-03-12,136.66,136.66
12,UNP,2018-03-09,137.28,137.28
13,UNP,2018-03-08,132.28,132.28
14,UNP,2018-03-07,131.11,131.11
15,UNP,2018-03-06,131.29,131.29
16,UNP,2018-03-05,130.32,130.32
17,UNP,2018-03-02,128.5,128.5
18,UNP,2018-03-01,128.41,128.41
19,UNP,2018-02-28,130.25,130.25
20,UNP,2018-02-27,133.74,133.74
21,UNP,2018-02-26,138.79,138.79
22,UNP,2018-02-23,134.97,134.97
23,UNP,2018-02-22,133.6,133.6
24,UNP,2018-02-21,132.5,132.5
25,UNP,2018-02-20,130.23,130.23
26,UNP,2018-02-16,134.27,134.27
27,UNP,2018-02-15,133.89,133.89
28,UNP,2018-02-14,133.19,133.19
29,UNP,2018-02-13,128.3,128.3
30,UNP,2018-02-12,128.64,128.64
31,UNP,2018-02-09,127.28,127.28
32,UNP,2018-02-08,124.86,124.86
33,UNP,2018-02-07,128.96,128.96
34,UNP,2018-02-06,131.15,131.15
35,UNP,2018-02-05,124.14,124.14
36,UNP,2018-02-02,129.36,129.36
37,UNP,2018-02-01,132.38,132.38
38,UNP,2018-01-31,133.5,133.5
39,UNP,2018-01-30,135.36,135.36
40,UNP,2018-01-29,136.05,136.05
41,UNP,2018-01-26,134.23,134.23
42,UNP,2018-01-25,133.6,133.6
43,UNP,2018-01-24,141.19,141.19
44,UNP,2018-01-23,141.36,141.36
45,UNP,2018-01-22,141.97,141.97
46,UNP,2018-01-19,141.25,141.25
47,UNP,2018-01-18,140.43,140.43
48,UNP,2018-01-17,140.46,140.46
49,UNP,2018-01-16,140.31,140.31
50,UNP,2018-01-12,141.17,141.17
51,UNP,2018-01-11,140.35,140.35
52,UNP,2018-01-10,139.7,139.7
53,UNP,2018-01-09,141.0,141.0
54,UNP,2018-01-08,139.44,139.44
55,UNP,2018-01-05,137.53,137.53
56,UNP,2018-01-04,135.8,135.8
57,UNP,2018-01-03,136.54,136.54
58,UNP,2018-01-02,135.78,135.78
59,UNP,2017-12-29,134.1,134.1
60,UNP,2017-12-28,135.12,135.12
