None,ticker,date,close,adj_close
0,UPS,2018-03-27,102.17,102.17
1,UPS,2018-03-26,103.7,103.7
2,UPS,2018-03-23,101.66,101.66
3,UPS,2018-03-22,104.45,104.45
4,UPS,2018-03-21,107.65,107.65
5,UPS,2018-03-20,108.03,108.03
6,UPS,2018-03-19,108.46,108.46
7,UPS,2018-03-16,110.91,110.91
8,UPS,2018-03-15,109.72,109.72
9,UPS,2018-03-14,108.76,108.76
10,UPS,2018-03-13,109.33,109.33
11,UPS,2018-03-12,108.91,108.91
12,UPS,2018-03-09,110.38,110.38
13,UPS,2018-03-08,108.8,108.8
14,UPS,2018-03-07,109.21,109.21
15,UPS,2018-03-06,109.8,109.8
16,UPS,2018-03-05,105.81,105.81
17,UPS,2018-03-02,105.37,105.37
18,UPS,2018-03-01,106.43,106.43
19,UPS,2018-02-28,104.41,104.41
20,UPS,2018-02-27,105.69,105.69
21,UPS,2018-02-26,108.07,108.07
22,UPS,2018-02-23,105.61,105.61
23,UPS,2018-02-22,105.08,105.08
24,UPS,2018-02-21,104.7,104.7
25,UPS,2018-02-20,104.71,104.71
26,UPS,2018-02-16,106.4,106.4
27,UPS,2018-02-15,108.31,108.31
28,UPS,2018-02-14,106.6,106.6
29,UPS,2018-02-13,107.56,107.56
30,UPS,2018-02-12,106.31,106.31
31,UPS,2018-02-09,106.39,106.39
32,UPS,2018-02-08,109.28,109.28
33,UPS,2018-02-07,111.91,111.91
34,UPS,2018-02-06,112.71,112.71
35,UPS,2018-02-05,113.3,113.3
36,UPS,2018-02-02,116.47,116.47
37,UPS,2018-02-01,119.51,119.51
38,UPS,2018-01-31,127.32,127.32
39,UPS,2018-01-30,128.11,128.11
40,UPS,2018-01-29,130.64,130.64
41,UPS,2018-01-26,132.72,132.72
42,UPS,2018-01-25,131.29,131.29
43,UPS,2018-01-24,131.69,131.69
44,UPS,2018-01-23,132.07,132.07
45,UPS,2018-01-22,132.86,132.86
46,UPS,2018-01-19,133.08,133.08
47,UPS,2018-01-18,133.59,133.59
48,UPS,2018-01-17,134.01,134.01
49,UPS,2018-01-16,132.88,132.88
50,UPS,2018-01-12,134.09,134.09
51,UPS,2018-01-11,133.46,133.46
52,UPS,2018-01-10,129.79,129.79
53,UPS,2018-01-09,129.11,129.11
54,UPS,2018-01-08,129.17,129.17
55,UPS,2018-01-05,127.62,127.62
56,UPS,2018-01-04,127.23,127.23
57,UPS,2018-01-03,126.41,126.41
58,UPS,2018-01-02,123.67,123.67
59,UPS,2017-12-29,119.15,119.15
60,UPS,2017-12-28,119.05,119.05
61,UPS,2017-12-27,119.08,119.08
62,UPS,2017-12-26,118.26,118.26
63,UPS,2017-12-22,118.64,118.64
64,UPS,2017-12-21,118.58,118.58
65,UPS,2017-12-20,118.33,118.33
66,UPS,2017-12-19,119.0,119.0
67,UPS,2017-12-18,118.81,118.81
68,UPS,2017-12-15,118.0,118.0
69,UPS,2017-12-14,116.84,116.84
70,UPS,2017-12-13,118.4,118.4
71,UPS,2017-12-12,118.16,118.16
72,UPS,2017-12-11,118.05,118.05
73,UPS,2017-12-08,119.56,119.56
74,UPS,2017-12-07,119.73,119.73
75,UPS,2017-12-06,118.29,118.29
76,UPS,2017-12-05,120.37,120.37
77,UPS,2017-12-04,123.72,123.72
78,UPS,2017-12-01,120.31,120.31
79,UPS,2017-11-30,121.45,121.45
80,UPS,2017-11-29,119.04,119.04
81,UPS,2017-11-28,115.19,115.19
82,UPS,2017-11-27,114.54,114.54
83,UPS,2017-11-24,113.14,113.14
84,UPS,2017-11-22,113.77,113.77
85,UPS,2017-11-21,113.92,113.92
86,UPS,2017-11-20,113.2,113.2
87,UPS,2017-11-17,112.94,112.94
88,UPS,2017-11-16,113.7,113.7
89,UPS,2017-11-15,112.89,112.89
90,UPS,2017-11-14,114.07,114.07
91,UPS,2017-11-13,114.81,114.81
92,UPS,2017-11-10,113.23,113.23
93,UPS,2017-11-09,112.55,112.55
94,UPS,2017-11-07,113.95,113.95
95,UPS,2017-11-06,113.92,113.92
96,UPS,2017-11-03,115.46,115.46
97,UPS,2017-11-02,116.87,116.87
98,UPS,2017-11-01,117.46,117.46
99,UPS,2017-10-31,117.53,117.53
100,UPS,2017-10-30,118.09,118.09
