None,ticker,date,close,adj_close
0,URI,2018-03-27,177.15,177.15
1,URI,2018-03-26,180.57,180.57
2,URI,2018-03-23,174.18,174.18
3,URI,2018-03-22,180.26,180.26
4,URI,2018-03-21,187.27,187.27
5,URI,2018-03-20,185.16,185.16
6,URI,2018-03-19,185.4,185.4
7,URI,2018-03-16,186.29,186.29
8,URI,2018-03-15,182.91,182.91
9,URI,2018-03-14,184.82,184.82
10,URI,2018-03-13,186.65,186.65
11,URI,2018-03-12,186.63,186.63
12,URI,2018-03-09,189.4,189.4
13,URI,2018-03-08,183.36,183.36
14,URI,2018-03-07,181.35,181.35
15,URI,2018-03-06,184.99,184.99
16,URI,2018-03-05,180.71,180.71
17,URI,2018-03-02,176.6,176.6
18,URI,2018-03-01,173.24,173.24
19,URI,2018-02-28,175.09,175.09
20,URI,2018-02-27,178.42,178.42
21,URI,2018-02-26,180.63,180.63
22,URI,2018-02-23,179.09,179.09
23,URI,2018-02-22,175.16,175.16
24,URI,2018-02-21,171.9,171.9
25,URI,2018-02-20,172.25,172.25
26,URI,2018-02-16,168.02,168.02
27,URI,2018-02-15,167.24,167.24
28,URI,2018-02-14,167.04,167.04
29,URI,2018-02-13,166.33,166.33
30,URI,2018-02-12,166.06,166.06
31,URI,2018-02-09,164.26,164.26
32,URI,2018-02-08,161.99,161.99
33,URI,2018-02-07,173.58,173.58
34,URI,2018-02-06,171.34,171.34
35,URI,2018-02-05,166.71,166.71
36,URI,2018-02-02,173.3,173.3
37,URI,2018-02-01,179.65,179.65
38,URI,2018-01-31,181.11,181.11
39,URI,2018-01-30,182.14,182.14
40,URI,2018-01-29,180.47,180.47
41,URI,2018-01-26,185.37,185.37
42,URI,2018-01-25,181.91,181.91
43,URI,2018-01-24,185.52,185.52
44,URI,2018-01-23,185.87,185.87
45,URI,2018-01-22,187.12,187.12
46,URI,2018-01-19,183.67,183.67
47,URI,2018-01-18,181.24,181.24
48,URI,2018-01-17,180.17,180.17
49,URI,2018-01-16,178.97,178.97
50,URI,2018-01-12,180.89,180.89
51,URI,2018-01-11,179.99,179.99
52,URI,2018-01-10,173.2,173.2
53,URI,2018-01-09,172.43,172.43
54,URI,2018-01-08,172.45,172.45
55,URI,2018-01-05,171.38,171.38
56,URI,2018-01-04,172.0,172.0
57,URI,2018-01-03,175.19,175.19
58,URI,2018-01-02,173.58,173.58
59,URI,2017-12-29,171.91,171.91
60,URI,2017-12-28,173.33,173.33
61,URI,2017-12-27,171.47,171.47
62,URI,2017-12-26,170.61,170.61
63,URI,2017-12-22,169.49,169.49
64,URI,2017-12-21,170.47,170.47
65,URI,2017-12-20,168.3,168.3
66,URI,2017-12-19,166.38,166.38
67,URI,2017-12-18,168.57,168.57
68,URI,2017-12-15,164.29,164.29
69,URI,2017-12-14,161.17,161.17
70,URI,2017-12-13,163.81,163.81
71,URI,2017-12-12,163.65,163.65
72,URI,2017-12-11,163.82,163.82
73,URI,2017-12-08,164.0,164.0
74,URI,2017-12-07,162.38,162.38
75,URI,2017-12-06,158.28,158.28
76,URI,2017-12-05,159.19,159.19
77,URI,2017-12-04,159.75,159.75
78,URI,2017-12-01,157.09,157.09
79,URI,2017-11-30,159.48,159.48
80,URI,2017-11-29,157.84,157.84
81,URI,2017-11-28,156.6,156.6
82,URI,2017-11-27,153.36,153.36
83,URI,2017-11-24,153.16,153.16
84,URI,2017-11-22,153.27,153.27
85,URI,2017-11-21,153.69,153.69
86,URI,2017-11-20,151.5,151.5
87,URI,2017-11-17,150.09,150.09
88,URI,2017-11-16,148.36,148.36
89,URI,2017-11-15,143.38,143.38
90,URI,2017-11-14,144.87,144.87
91,URI,2017-11-13,144.61,144.61
92,URI,2017-11-10,146.31,146.31
93,URI,2017-11-09,145.09,145.09
94,URI,2017-11-07,147.55,147.55
95,URI,2017-11-06,148.4,148.4
96,URI,2017-11-03,144.71,144.71
97,URI,2017-11-02,145.58,145.58
98,URI,2017-11-01,143.67,143.67
99,URI,2017-10-31,141.48,141.48
100,URI,2017-10-30,143.59,143.59
101,URI,2017-10-27,145.94,145.94
102,URI,2017-10-26,141.24,141.24
103,URI,2017-10-25,138.9,138.9
104,URI,2017-10-24,143.94,143.94
105,URI,2017-10-23,141.48,141.48
106,URI,2017-10-20,144.4,144.4
107,URI,2017-10-19,144.4,144.4
108,URI,2017-10-18,144.32,144.32
109,URI,2017-10-17,143.34,143.34
110,URI,2017-10-16,145.79,145.79
111,URI,2017-10-13,144.21,144.21
112,URI,2017-10-12,144.01,144.01
113,URI,2017-10-11,142.16,142.16
114,URI,2017-10-10,141.55,141.55
115,URI,2017-10-09,142.49,142.49
116,URI,2017-10-06,142.24,142.24
117,URI,2017-10-05,141.98,141.98
118,URI,2017-10-04,140.75,140.75
119,URI,2017-10-03,142.71,142.71
120,URI,2017-10-02,139.2,139.2
121,URI,2017-09-29,138.74,138.74
122,URI,2017-09-28,137.97,137.97
123,URI,2017-09-27,135.69,135.69
124,URI,2017-09-26,133.94,133.94
125,URI,2017-09-25,132.21,132.21
126,URI,2017-09-22,132.31,132.31
127,URI,2017-09-21,130.12,130.12
128,URI,2017-09-20,130.74,130.74
129,URI,2017-09-19,129.89,129.89
130,URI,2017-09-18,129.43,129.43
131,URI,2017-09-15,128.1,128.1
132,URI,2017-09-14,127.36,127.36
133,URI,2017-09-13,128.82,128.82
134,URI,2017-09-12,127.69,127.69
135,URI,2017-09-11,125.03,125.03
136,URI,2017-09-08,126.69,126.69
137,URI,2017-09-07,123.09,123.09
138,URI,2017-09-06,121.16,121.16
139,URI,2017-09-05,119.09,119.09
140,URI,2017-09-01,120.56,120.56
141,URI,2017-08-31,118.06,118.06
142,URI,2017-08-30,119.19,119.19
143,URI,2017-08-29,114.94,114.94
144,URI,2017-08-28,110.71,110.71
145,URI,2017-08-25,107.26,107.26
146,URI,2017-08-24,107.61,107.61
147,URI,2017-08-23,108.69,108.69
148,URI,2017-08-22,112.44,112.44
149,URI,2017-08-21,108.4,108.4
150,URI,2017-08-18,111.86,111.86
151,URI,2017-08-17,111.82,111.82
152,URI,2017-08-16,111.97,111.97
153,URI,2017-08-15,111.99,111.99
154,URI,2017-08-14,112.2,112.2
155,URI,2017-08-11,111.54,111.54
156,URI,2017-08-10,111.62,111.62
157,URI,2017-08-09,115.31,115.31
158,URI,2017-08-08,117.38,117.38
159,URI,2017-08-07,118.1,118.1
160,URI,2017-08-04,118.37,118.37
161,URI,2017-08-03,116.31,116.31
162,URI,2017-08-02,115.03,115.03
163,URI,2017-08-01,116.56,116.56
164,URI,2017-07-31,118.96,118.96
165,URI,2017-07-28,119.73,119.73
166,URI,2017-07-27,120.77,120.77
167,URI,2017-07-26,120.17,120.17
168,URI,2017-07-25,121.18,121.18
169,URI,2017-07-24,118.39,118.39
170,URI,2017-07-21,119.31,119.31
171,URI,2017-07-20,122.54,122.54
172,URI,2017-07-19,118.7,118.7
173,URI,2017-07-18,117.48,117.48
174,URI,2017-07-17,117.79,117.79
175,URI,2017-07-14,117.21,117.21
176,URI,2017-07-13,114.74,114.74
177,URI,2017-07-12,114.26,114.26
178,URI,2017-07-11,113.69,113.69
179,URI,2017-07-10,113.54,113.54
180,URI,2017-07-07,112.55,112.55
181,URI,2017-07-06,112.35,112.35
182,URI,2017-07-05,114.27,114.27
183,URI,2017-07-03,113.21,113.21
184,URI,2017-06-30,112.71,112.71
185,URI,2017-06-29,109.7,109.7
186,URI,2017-06-28,108.49,108.49
187,URI,2017-06-27,105.78,105.78
188,URI,2017-06-26,106.11,106.11
189,URI,2017-06-23,104.85,104.85
190,URI,2017-06-22,103.82,103.82
191,URI,2017-06-21,101.62,101.62
192,URI,2017-06-20,103.91,103.91
193,URI,2017-06-19,106.95,106.95
194,URI,2017-06-16,105.2,105.2
195,URI,2017-06-15,103.49,103.49
196,URI,2017-06-14,104.81,104.81
197,URI,2017-06-13,111.66,111.66
