None,ticker,date,close,adj_close
0,USB,2018-03-27,49.86,49.86
1,USB,2018-03-26,51.29,51.29
2,USB,2018-03-23,49.25,49.25
3,USB,2018-03-22,50.65,50.65
4,USB,2018-03-21,52.55,52.55
5,USB,2018-03-20,52.6,52.6
6,USB,2018-03-19,52.8,52.8
7,USB,2018-03-16,53.26,53.26
8,USB,2018-03-15,53.36,53.36
9,USB,2018-03-14,53.27,53.27
10,USB,2018-03-13,54.15,54.15
11,USB,2018-03-12,55.01,55.01
12,USB,2018-03-09,55.28,55.28
13,USB,2018-03-08,53.94,53.94
14,USB,2018-03-07,53.66,53.66
15,USB,2018-03-06,54.17,54.17
16,USB,2018-03-05,53.97,53.97
17,USB,2018-03-02,53.41,53.41
18,USB,2018-03-01,53.17,53.17
19,USB,2018-02-28,54.36,54.36
20,USB,2018-02-27,55.01,55.01
21,USB,2018-02-26,55.84,55.84
22,USB,2018-02-23,55.49,55.49
23,USB,2018-02-22,54.27,54.27
24,USB,2018-02-21,55.1,55.1
25,USB,2018-02-20,54.91,54.91
26,USB,2018-02-16,55.61,55.61
27,USB,2018-02-15,55.1,55.1
28,USB,2018-02-14,55.31,55.31
29,USB,2018-02-13,54.14,54.14
30,USB,2018-02-12,53.97,53.97
31,USB,2018-02-09,53.75,53.75
32,USB,2018-02-08,52.65,52.65
33,USB,2018-02-07,54.8,54.8
34,USB,2018-02-06,54.62,54.62
35,USB,2018-02-05,54.62,54.62
36,USB,2018-02-02,56.9,56.9
37,USB,2018-02-01,57.46,57.46
38,USB,2018-01-31,57.14,57.14
39,USB,2018-01-30,57.4,57.4
40,USB,2018-01-29,57.99,57.99
41,USB,2018-01-26,58.11,58.11
42,USB,2018-01-25,57.98,57.98
43,USB,2018-01-24,57.75,57.75
44,USB,2018-01-23,57.18,57.18
45,USB,2018-01-22,57.26,57.26
46,USB,2018-01-19,56.46,56.46
47,USB,2018-01-18,56.15,56.15
48,USB,2018-01-17,56.34,56.34
49,USB,2018-01-16,57.17,57.17
50,USB,2018-01-12,56.98,56.98
51,USB,2018-01-11,56.68,56.68
52,USB,2018-01-10,56.2,56.2
53,USB,2018-01-09,55.78,55.78
54,USB,2018-01-08,55.4,55.4
55,USB,2018-01-05,55.32,55.32
56,USB,2018-01-04,54.98,54.98
57,USB,2018-01-03,54.56,54.56
58,USB,2018-01-02,54.03,54.03
59,USB,2017-12-29,53.58,53.58
60,USB,2017-12-28,53.95,53.95
61,USB,2017-12-27,54.07,54.07
62,USB,2017-12-26,54.01,54.01
63,USB,2017-12-22,54.46,54.46
64,USB,2017-12-21,54.53,54.53
65,USB,2017-12-20,54.26,54.26
66,USB,2017-12-19,54.56,54.56
67,USB,2017-12-18,54.78,54.78
68,USB,2017-12-15,54.5,54.5
69,USB,2017-12-14,54.15,54.15
70,USB,2017-12-13,54.6,54.6
71,USB,2017-12-12,55.5,55.5
72,USB,2017-12-11,55.27,55.27
73,USB,2017-12-08,55.36,55.36
74,USB,2017-12-07,54.9,54.9
75,USB,2017-12-06,54.59,54.59
76,USB,2017-12-05,54.82,54.82
77,USB,2017-12-04,55.63,55.63
78,USB,2017-12-01,54.9,54.9
79,USB,2017-11-30,55.15,55.15
80,USB,2017-11-29,54.76,54.76
81,USB,2017-11-28,53.02,53.02
82,USB,2017-11-27,51.72,51.72
83,USB,2017-11-24,51.83,51.83
84,USB,2017-11-22,51.91,51.91
85,USB,2017-11-21,51.89,51.89
86,USB,2017-11-20,51.93,51.93
87,USB,2017-11-17,51.88,51.88
88,USB,2017-11-16,51.81,51.81
89,USB,2017-11-15,52.01,52.01
90,USB,2017-11-14,51.83,51.83
91,USB,2017-11-13,51.68,51.68
92,USB,2017-11-10,51.61,51.61
93,USB,2017-11-09,52.11,52.11
94,USB,2017-11-07,53.45,53.45
95,USB,2017-11-06,54.85,54.85
96,USB,2017-11-03,54.65,54.65
97,USB,2017-11-02,54.88,54.88
98,USB,2017-11-01,54.48,54.48
99,USB,2017-10-31,54.38,54.38
100,USB,2017-10-30,54.26,54.26
101,USB,2017-10-27,54.44,54.44
102,USB,2017-10-26,54.3,54.3
103,USB,2017-10-25,54.155,54.155
104,USB,2017-10-24,54.21,54.21
105,USB,2017-10-23,54.13,54.13
106,USB,2017-10-20,54.09,54.09
107,USB,2017-10-19,53.59,53.59
108,USB,2017-10-18,53.27,53.27
109,USB,2017-10-17,53.88,53.88
110,USB,2017-10-16,54.26,54.26
