None,ticker,date,close,adj_close
0,V,2018-03-27,117.4,117.4
1,V,2018-03-26,120.64,120.64
2,V,2018-03-23,117.0,117.0
3,V,2018-03-22,119.99,119.99
4,V,2018-03-21,123.22,123.22
5,V,2018-03-20,124.91,124.91
6,V,2018-03-19,123.21,123.21
7,V,2018-03-16,124.53,124.53
8,V,2018-03-15,123.41,123.41
9,V,2018-03-14,122.58,122.58
10,V,2018-03-13,123.2,123.2
11,V,2018-03-12,124.24,124.24
12,V,2018-03-09,124.51,124.51
13,V,2018-03-08,122.22,122.22
14,V,2018-03-07,121.85,121.85
15,V,2018-03-06,121.06,121.06
16,V,2018-03-05,121.88,121.88
17,V,2018-03-02,120.77,120.77
18,V,2018-03-01,120.4,120.4
19,V,2018-02-28,122.94,122.94
20,V,2018-02-27,123.37,123.37
21,V,2018-02-26,124.59,124.59
22,V,2018-02-23,122.93,122.93
23,V,2018-02-22,120.38,120.38
24,V,2018-02-21,120.43,120.43
25,V,2018-02-20,122.01,122.01
26,V,2018-02-16,121.85,121.85
27,V,2018-02-15,122.28,122.28
28,V,2018-02-14,120.83,120.83
29,V,2018-02-13,118.35,118.35
30,V,2018-02-12,118.47,118.47
31,V,2018-02-09,116.32,116.32
32,V,2018-02-08,113.86,113.86
33,V,2018-02-07,119.65,119.65
34,V,2018-02-06,119.97,119.97
35,V,2018-02-05,116.27,116.27
36,V,2018-02-02,120.91,120.91
37,V,2018-02-01,125.72,125.72
38,V,2018-01-31,124.23,124.23
39,V,2018-01-30,123.55,123.55
40,V,2018-01-29,124.84,124.84
41,V,2018-01-26,126.32,126.32
42,V,2018-01-25,125.22,125.22
43,V,2018-01-24,124.55,124.55
44,V,2018-01-23,124.65,124.65
45,V,2018-01-22,124.33,124.33
46,V,2018-01-19,122.7,122.7
47,V,2018-01-18,123.11,123.11
48,V,2018-01-17,121.98,121.98
49,V,2018-01-16,120.39,120.39
50,V,2018-01-12,120.09,120.09
51,V,2018-01-11,119.84,119.84
52,V,2018-01-10,118.98,118.98
53,V,2018-01-09,119.11,119.11
54,V,2018-01-08,119.34,119.34
55,V,2018-01-05,118.86,118.86
56,V,2018-01-04,116.08,116.08
57,V,2018-01-03,115.65,115.65
58,V,2018-01-02,114.51,114.51
59,V,2017-12-29,114.02,114.02
60,V,2017-12-28,114.35,114.35
61,V,2017-12-27,114.02,114.02
62,V,2017-12-26,112.99,112.99
63,V,2017-12-22,112.69,112.69
