None,ticker,date,close,adj_close
0,VAR,2018-03-27,121.84,121.84
1,VAR,2018-03-26,123.31,123.31
2,VAR,2018-03-23,119.45,119.45
3,VAR,2018-03-22,121.09,121.09
4,VAR,2018-03-21,123.41,123.41
5,VAR,2018-03-20,124.22,124.22
6,VAR,2018-03-19,123.87,123.87
7,VAR,2018-03-16,124.84,124.84
8,VAR,2018-03-15,125.38,125.38
9,VAR,2018-03-14,125.74,125.74
10,VAR,2018-03-13,125.49,125.49
11,VAR,2018-03-12,126.55,126.55
12,VAR,2018-03-09,126.55,126.55
13,VAR,2018-03-08,123.51,123.51
14,VAR,2018-03-07,123.7,123.7
15,VAR,2018-03-06,123.44,123.44
16,VAR,2018-03-05,122.66,122.66
17,VAR,2018-03-02,120.49,120.49
18,VAR,2018-03-01,117.39,117.39
19,VAR,2018-02-28,119.34,119.34
20,VAR,2018-02-27,121.61,121.61
21,VAR,2018-02-26,122.39,122.39
22,VAR,2018-02-23,121.17,121.17
23,VAR,2018-02-22,119.84,119.84
24,VAR,2018-02-21,120.13,120.13
25,VAR,2018-02-20,120.17,120.17
26,VAR,2018-02-16,121.26,121.26
27,VAR,2018-02-15,121.87,121.87
28,VAR,2018-02-14,119.53,119.53
29,VAR,2018-02-13,116.24,116.24
30,VAR,2018-02-12,116.7,116.7
31,VAR,2018-02-09,114.5,114.5
32,VAR,2018-02-08,112.82,112.82
33,VAR,2018-02-07,116.92,116.92
34,VAR,2018-02-06,118.58,118.58
35,VAR,2018-02-05,119.62,119.62
36,VAR,2018-02-02,124.86,124.86
37,VAR,2018-02-01,127.32,127.32
38,VAR,2018-01-31,127.5,127.5
39,VAR,2018-01-30,127.74,127.74
40,VAR,2018-01-29,128.57,128.57
41,VAR,2018-01-26,129.46,129.46
42,VAR,2018-01-25,127.01,127.01
43,VAR,2018-01-24,113.05,113.05
44,VAR,2018-01-23,110.81,110.81
45,VAR,2018-01-22,110.02,110.02
46,VAR,2018-01-19,110.32,110.32
47,VAR,2018-01-18,109.57,109.57
48,VAR,2018-01-17,109.32,109.32
49,VAR,2018-01-16,108.08,108.08
50,VAR,2018-01-12,108.49,108.49
51,VAR,2018-01-11,111.53,111.53
52,VAR,2018-01-10,111.68,111.68
53,VAR,2018-01-09,112.93,112.93
54,VAR,2018-01-08,111.4,111.4
55,VAR,2018-01-05,110.87,110.87
56,VAR,2018-01-04,109.86,109.86
57,VAR,2018-01-03,111.31,111.31
58,VAR,2018-01-02,110.98,110.98
59,VAR,2017-12-29,111.15,111.15
60,VAR,2017-12-28,112.29,112.29
61,VAR,2017-12-27,111.1,111.1
62,VAR,2017-12-26,110.82,110.82
63,VAR,2017-12-22,110.91,110.91
64,VAR,2017-12-21,110.71,110.71
65,VAR,2017-12-20,110.79,110.79
66,VAR,2017-12-19,110.7,110.7
67,VAR,2017-12-18,110.78,110.78
68,VAR,2017-12-15,111.87,111.87
69,VAR,2017-12-14,109.77,109.77
70,VAR,2017-12-13,112.42,112.42
71,VAR,2017-12-12,111.45,111.45
72,VAR,2017-12-11,111.18,111.18
73,VAR,2017-12-08,111.98,111.98
74,VAR,2017-12-07,111.96,111.96
75,VAR,2017-12-06,111.04,111.04
76,VAR,2017-12-05,109.26,109.26
77,VAR,2017-12-04,109.56,109.56
78,VAR,2017-12-01,112.41,112.41
79,VAR,2017-11-30,111.75,111.75
80,VAR,2017-11-29,111.22,111.22
81,VAR,2017-11-28,109.53,109.53
82,VAR,2017-11-27,109.46,109.46
83,VAR,2017-11-24,108.87,108.87
84,VAR,2017-11-22,108.79,108.79
85,VAR,2017-11-21,108.4,108.4
86,VAR,2017-11-20,109.24,109.24
87,VAR,2017-11-17,109.03,109.03
88,VAR,2017-11-16,109.22,109.22
89,VAR,2017-11-15,107.89,107.89
90,VAR,2017-11-14,109.34,109.34
91,VAR,2017-11-13,108.24,108.24
92,VAR,2017-11-10,107.55,107.55
93,VAR,2017-11-09,107.69,107.69
94,VAR,2017-11-07,106.47,106.47
95,VAR,2017-11-06,106.18,106.18
96,VAR,2017-11-03,106.09,106.09
97,VAR,2017-11-02,104.67,104.67
98,VAR,2017-11-01,104.22,104.22
99,VAR,2017-10-31,104.19,104.19
100,VAR,2017-10-30,103.52,103.52
101,VAR,2017-10-27,106.35,106.35
102,VAR,2017-10-26,104.41,104.41
103,VAR,2017-10-25,108.26,108.26
104,VAR,2017-10-24,107.36,107.36
105,VAR,2017-10-23,107.37,107.37
106,VAR,2017-10-20,106.69,106.69
107,VAR,2017-10-19,105.6,105.6
108,VAR,2017-10-18,104.4,104.4
109,VAR,2017-10-17,104.2,104.2
110,VAR,2017-10-16,102.83,102.83
111,VAR,2017-10-13,102.7,102.7
112,VAR,2017-10-12,102.27,102.27
113,VAR,2017-10-11,100.91,100.91
114,VAR,2017-10-10,100.4,100.4
115,VAR,2017-10-09,100.37,100.37
116,VAR,2017-10-06,102.39,102.39
117,VAR,2017-10-05,102.49,102.49
118,VAR,2017-10-04,101.96,101.96
119,VAR,2017-10-03,100.13,100.13
120,VAR,2017-10-02,100.1,100.1
121,VAR,2017-09-29,100.06,100.06
122,VAR,2017-09-28,99.73,99.73
123,VAR,2017-09-27,101.6,101.6
124,VAR,2017-09-26,103.48,103.48
125,VAR,2017-09-25,103.99,103.99
126,VAR,2017-09-22,105.19,105.19
127,VAR,2017-09-21,104.63,104.63
128,VAR,2017-09-20,106.98,106.98
129,VAR,2017-09-19,106.18,106.18
130,VAR,2017-09-18,106.84,106.84
131,VAR,2017-09-15,106.33,106.33
132,VAR,2017-09-14,107.87,107.87
133,VAR,2017-09-13,107.68,107.68
134,VAR,2017-09-12,107.8,107.8
135,VAR,2017-09-11,107.19,107.19
136,VAR,2017-09-08,106.42,106.42
137,VAR,2017-09-07,105.3,105.3
138,VAR,2017-09-06,106.73,106.73
139,VAR,2017-09-05,106.08,106.08
140,VAR,2017-09-01,105.31,105.31
141,VAR,2017-08-31,106.25,106.25
142,VAR,2017-08-30,103.86,103.86
143,VAR,2017-08-29,102.89,102.89
144,VAR,2017-08-28,102.89,102.89
145,VAR,2017-08-25,101.99,101.99
146,VAR,2017-08-24,101.27,101.27
147,VAR,2017-08-23,100.91,100.91
148,VAR,2017-08-22,102.57,102.57
149,VAR,2017-08-21,101.22,101.22
150,VAR,2017-08-18,100.5,100.5
151,VAR,2017-08-17,99.26,99.26
152,VAR,2017-08-16,99.71,99.71
153,VAR,2017-08-15,99.22,99.22
154,VAR,2017-08-14,98.4,98.4
155,VAR,2017-08-11,97.74,97.74
156,VAR,2017-08-10,96.65,96.65
157,VAR,2017-08-09,96.2,96.2
158,VAR,2017-08-08,95.88,95.88
159,VAR,2017-08-07,96.48,96.48
160,VAR,2017-08-04,96.61,96.61
161,VAR,2017-08-03,97.14,97.14
162,VAR,2017-08-02,98.21,98.21
163,VAR,2017-08-01,97.9,97.9
164,VAR,2017-07-31,97.12,97.12
165,VAR,2017-07-28,97.5,97.5
166,VAR,2017-07-27,100.19,100.19
167,VAR,2017-07-26,102.59,102.59
168,VAR,2017-07-25,103.77,103.77
169,VAR,2017-07-24,104.46,104.46
170,VAR,2017-07-21,103.88,103.88
171,VAR,2017-07-20,104.35,104.35
172,VAR,2017-07-19,105.42,105.42
173,VAR,2017-07-18,105.4,105.4
174,VAR,2017-07-17,106.01,106.01
175,VAR,2017-07-14,106.2,106.2
176,VAR,2017-07-13,104.74,104.74
177,VAR,2017-07-12,104.84,104.84
178,VAR,2017-07-11,103.74,103.74
179,VAR,2017-07-10,103.06,103.06
180,VAR,2017-07-07,103.64,103.64
181,VAR,2017-07-06,103.13,103.13
182,VAR,2017-07-05,103.72,103.72
183,VAR,2017-07-03,102.9,102.9
184,VAR,2017-06-30,103.19,103.19
185,VAR,2017-06-29,102.68,102.68
186,VAR,2017-06-28,102.25,102.25
187,VAR,2017-06-27,102.65,102.65
188,VAR,2017-06-26,104.18,104.18
189,VAR,2017-06-23,105.03,105.03
190,VAR,2017-06-22,104.58,104.58
191,VAR,2017-06-21,104.35,104.35
192,VAR,2017-06-20,104.07,104.07
193,VAR,2017-06-19,104.61,104.61
194,VAR,2017-06-16,102.96,102.96
195,VAR,2017-06-15,102.67,102.67
196,VAR,2017-06-14,102.48,102.48
197,VAR,2017-06-13,102.01,102.01
198,VAR,2017-06-12,102.05,102.05
199,VAR,2017-06-09,102.27,102.27
200,VAR,2017-06-08,103.22,103.22
201,VAR,2017-06-07,103.16,103.16
202,VAR,2017-06-06,101.91,101.91
203,VAR,2017-06-05,101.86,101.86
204,VAR,2017-06-02,101.53,101.53
