None,ticker,date,close,adj_close
0,VFC,2018-03-27,73.73,73.73
1,VFC,2018-03-26,74.63,74.63
2,VFC,2018-03-23,72.41,72.41
3,VFC,2018-03-22,72.39,72.39
4,VFC,2018-03-21,74.62,74.62
5,VFC,2018-03-20,74.96,74.96
6,VFC,2018-03-19,74.13,74.13
7,VFC,2018-03-16,75.46,75.46
8,VFC,2018-03-15,74.72,74.72
9,VFC,2018-03-14,74.75,74.75
10,VFC,2018-03-13,73.47,73.47
11,VFC,2018-03-12,73.21,73.21
12,VFC,2018-03-09,73.59,73.59
13,VFC,2018-03-08,72.8,72.8
14,VFC,2018-03-07,73.5,73.0384930385
15,VFC,2018-03-06,73.43,72.9689325689
16,VFC,2018-03-05,73.57,73.1080535081
17,VFC,2018-03-02,73.52,73.0583674584
18,VFC,2018-03-01,73.7,73.2372372372
19,VFC,2018-02-28,74.57,74.57
20,VFC,2018-02-27,74.9,74.9
21,VFC,2018-02-26,76.05,76.05
22,VFC,2018-02-23,75.75,75.75
23,VFC,2018-02-22,75.21,75.21
24,VFC,2018-02-21,74.5,74.5
25,VFC,2018-02-20,73.57,73.57
26,VFC,2018-02-16,74.64,74.64
27,VFC,2018-02-15,83.94,83.94
28,VFC,2018-02-14,83.69,83.69
29,VFC,2018-02-13,82.11,82.11
30,VFC,2018-02-12,80.7,80.7
31,VFC,2018-02-09,79.32,79.32
32,VFC,2018-02-08,78.75,78.75
33,VFC,2018-02-07,80.47,80.47
34,VFC,2018-02-06,79.36,79.36
35,VFC,2018-02-05,78.63,78.63
36,VFC,2018-02-02,79.89,79.89
37,VFC,2018-02-01,80.62,80.62
38,VFC,2018-01-31,81.14,81.14
39,VFC,2018-01-30,81.97,81.97
40,VFC,2018-01-29,82.55,82.55
41,VFC,2018-01-26,81.57,81.57
42,VFC,2018-01-25,80.94,80.94
43,VFC,2018-01-24,80.97,80.97
44,VFC,2018-01-23,80.87,80.87
45,VFC,2018-01-22,80.42,80.42
46,VFC,2018-01-19,79.79,79.79
47,VFC,2018-01-18,78.43,78.43
48,VFC,2018-01-17,78.14,78.14
49,VFC,2018-01-16,76.68,76.68
50,VFC,2018-01-12,77.8,77.8
51,VFC,2018-01-11,77.19,77.19
52,VFC,2018-01-10,76.12,76.12
53,VFC,2018-01-09,76.13,76.13
54,VFC,2018-01-08,77.36,77.36
55,VFC,2018-01-05,75.7,75.7
56,VFC,2018-01-04,75.46,75.46
57,VFC,2018-01-03,73.78,73.78
58,VFC,2018-01-02,74.42,74.42
59,VFC,2017-12-29,74.0,74.0
60,VFC,2017-12-28,74.29,74.29
61,VFC,2017-12-27,74.52,74.52
62,VFC,2017-12-26,74.61,74.61
63,VFC,2017-12-22,73.87,73.87
64,VFC,2017-12-21,74.23,74.23
65,VFC,2017-12-20,74.4,74.4
66,VFC,2017-12-19,73.85,73.85
67,VFC,2017-12-18,74.14,74.14
68,VFC,2017-12-15,74.41,74.41
69,VFC,2017-12-14,73.35,73.35
70,VFC,2017-12-13,73.06,73.06
71,VFC,2017-12-12,72.53,72.53
72,VFC,2017-12-11,72.6,72.6
73,VFC,2017-12-08,73.35,73.35
74,VFC,2017-12-07,71.91,71.91
75,VFC,2017-12-06,71.68,71.68
76,VFC,2017-12-05,70.39,70.39
77,VFC,2017-12-04,71.22,71.22
78,VFC,2017-12-01,71.79,71.79
79,VFC,2017-11-30,72.96,72.96
80,VFC,2017-11-29,74.13,74.13
81,VFC,2017-11-28,74.02,74.02
82,VFC,2017-11-27,73.44,73.44
83,VFC,2017-11-24,73.89,73.89
84,VFC,2017-11-22,73.35,73.35
85,VFC,2017-11-21,72.59,72.59
86,VFC,2017-11-20,71.95,71.95
87,VFC,2017-11-17,70.81,70.81
88,VFC,2017-11-16,70.08,70.08
89,VFC,2017-11-15,69.63,69.63
90,VFC,2017-11-14,69.92,69.92
91,VFC,2017-11-13,69.67,69.67
92,VFC,2017-11-10,69.63,69.63
93,VFC,2017-11-09,69.36,69.36
94,VFC,2017-11-07,68.68,68.68
95,VFC,2017-11-06,69.07,69.07
96,VFC,2017-11-03,69.47,69.47
97,VFC,2017-11-02,69.91,69.91
