None,ticker,date,close,adj_close
0,VIAB,2018-03-27,30.73,30.73
1,VIAB,2018-03-26,30.09,30.09
2,VIAB,2018-03-23,30.14,30.14
3,VIAB,2018-03-22,30.63,30.63
4,VIAB,2018-03-21,31.3,31.3
5,VIAB,2018-03-20,30.99,30.99
6,VIAB,2018-03-19,31.36,31.36
7,VIAB,2018-03-16,31.65,31.65
8,VIAB,2018-03-15,32.83,32.83
9,VIAB,2018-03-14,32.64,32.64
10,VIAB,2018-03-13,32.8,32.8
11,VIAB,2018-03-12,32.82,32.82
12,VIAB,2018-03-09,32.72,32.72
13,VIAB,2018-03-08,32.85,32.85
14,VIAB,2018-03-07,33.65,33.65
15,VIAB,2018-03-06,34.21,34.21
16,VIAB,2018-03-05,34.28,34.28
17,VIAB,2018-03-02,34.09,34.09
18,VIAB,2018-03-01,33.13,33.13
19,VIAB,2018-02-28,33.34,33.34
20,VIAB,2018-02-27,33.21,33.21
21,VIAB,2018-02-26,33.88,33.88
22,VIAB,2018-02-23,33.74,33.74
23,VIAB,2018-02-22,32.93,32.93
24,VIAB,2018-02-21,33.02,33.02
25,VIAB,2018-02-20,33.98,33.98
26,VIAB,2018-02-16,33.5,33.5
27,VIAB,2018-02-15,33.93,33.93
28,VIAB,2018-02-14,33.93,33.93
29,VIAB,2018-02-13,33.1,33.1
30,VIAB,2018-02-12,32.88,32.88
31,VIAB,2018-02-09,32.86,32.86
32,VIAB,2018-02-08,32.72,32.72
33,VIAB,2018-02-07,30.505,30.505
34,VIAB,2018-02-06,31.25,31.25
35,VIAB,2018-02-05,31.23,31.23
36,VIAB,2018-02-02,32.215,32.215
37,VIAB,2018-02-01,33.21,33.21
38,VIAB,2018-01-31,33.42,33.42
39,VIAB,2018-01-30,32.94,32.94
40,VIAB,2018-01-29,33.71,33.71
41,VIAB,2018-01-26,34.09,34.09
42,VIAB,2018-01-25,33.61,33.61
43,VIAB,2018-01-24,33.13,33.13
44,VIAB,2018-01-23,33.39,33.39
45,VIAB,2018-01-22,33.94,33.94
46,VIAB,2018-01-19,33.36,33.36
47,VIAB,2018-01-18,33.95,33.95
48,VIAB,2018-01-17,31.96,31.96
49,VIAB,2018-01-16,31.38,31.38
50,VIAB,2018-01-12,33.76,33.76
51,VIAB,2018-01-11,30.81,30.81
52,VIAB,2018-01-10,29.16,29.16
53,VIAB,2018-01-09,29.04,29.04
54,VIAB,2018-01-08,29.175,29.175
55,VIAB,2018-01-05,29.1,29.1
56,VIAB,2018-01-04,29.56,29.56
57,VIAB,2018-01-03,29.95,29.95
58,VIAB,2018-01-02,31.19,31.19
59,VIAB,2017-12-29,30.81,30.81
60,VIAB,2017-12-28,30.81,30.81
61,VIAB,2017-12-27,30.98,30.98
62,VIAB,2017-12-26,31.87,31.87
63,VIAB,2017-12-22,32.23,32.23
64,VIAB,2017-12-21,31.76,31.76
65,VIAB,2017-12-20,31.19,31.19
66,VIAB,2017-12-19,30.93,30.93
67,VIAB,2017-12-18,30.66,30.66
68,VIAB,2017-12-15,30.24,30.24
69,VIAB,2017-12-14,29.71,29.71
70,VIAB,2017-12-13,29.52,29.52
71,VIAB,2017-12-12,29.59,29.59
72,VIAB,2017-12-11,29.46,29.46
73,VIAB,2017-12-08,29.29,29.29
74,VIAB,2017-12-07,29.64,29.64
75,VIAB,2017-12-06,28.94,28.94
76,VIAB,2017-12-05,28.94,28.94
77,VIAB,2017-12-04,29.18,29.18
78,VIAB,2017-12-01,28.4,28.4
79,VIAB,2017-11-30,28.32,28.32
80,VIAB,2017-11-29,28.42,28.42
81,VIAB,2017-11-28,27.03,27.03
82,VIAB,2017-11-27,26.54,26.54
83,VIAB,2017-11-24,26.29,26.29
84,VIAB,2017-11-22,26.68,26.68
85,VIAB,2017-11-21,27.26,27.26
86,VIAB,2017-11-20,26.17,26.17
87,VIAB,2017-11-17,26.15,26.15
88,VIAB,2017-11-16,23.69,23.69
89,VIAB,2017-11-15,24.61,24.61
90,VIAB,2017-11-14,24.54,24.54
91,VIAB,2017-11-13,24.72,24.72
92,VIAB,2017-11-10,24.89,24.89
93,VIAB,2017-11-09,24.78,24.78
94,VIAB,2017-11-07,24.78,24.78
95,VIAB,2017-11-06,24.18,24.18
96,VIAB,2017-11-03,23.27,23.27
97,VIAB,2017-11-02,23.4,23.4
98,VIAB,2017-11-01,24.78,24.78
99,VIAB,2017-10-31,24.03,24.03
100,VIAB,2017-10-30,24.23,24.23
101,VIAB,2017-10-27,24.66,24.66
102,VIAB,2017-10-26,25.3,25.3
103,VIAB,2017-10-25,25.48,25.48
104,VIAB,2017-10-24,25.65,25.65
105,VIAB,2017-10-23,26.31,26.31
106,VIAB,2017-10-20,26.7,26.7
107,VIAB,2017-10-19,26.53,26.53
108,VIAB,2017-10-18,25.82,25.82
109,VIAB,2017-10-17,26.57,26.57
110,VIAB,2017-10-16,26.26,26.26
111,VIAB,2017-10-13,26.0,26.0
112,VIAB,2017-10-12,24.57,24.57
113,VIAB,2017-10-11,25.21,25.21
114,VIAB,2017-10-10,25.56,25.56
115,VIAB,2017-10-09,25.42,25.42
116,VIAB,2017-10-06,27.15,27.15
117,VIAB,2017-10-05,27.3,27.3
118,VIAB,2017-10-04,28.14,28.14
119,VIAB,2017-10-03,27.55,27.55
120,VIAB,2017-10-02,27.41,27.41
121,VIAB,2017-09-29,27.84,27.84
122,VIAB,2017-09-28,27.85,27.85
123,VIAB,2017-09-27,27.93,27.93
124,VIAB,2017-09-26,27.59,27.59
125,VIAB,2017-09-25,27.9,27.9
126,VIAB,2017-09-22,27.64,27.64
127,VIAB,2017-09-21,27.4,27.4
128,VIAB,2017-09-20,27.72,27.72
129,VIAB,2017-09-19,27.14,27.14
130,VIAB,2017-09-18,27.32,27.32
131,VIAB,2017-09-15,27.67,27.67
132,VIAB,2017-09-14,27.36,27.36
133,VIAB,2017-09-13,27.91,27.707460087083
134,VIAB,2017-09-12,27.11,26.913265602322
135,VIAB,2017-09-11,27.19,26.992685050798
136,VIAB,2017-09-08,27.27,27.072104499274
137,VIAB,2017-09-07,27.2,27.002612481858
138,VIAB,2017-09-06,28.22,28.015210449927
139,VIAB,2017-09-05,27.43,27.230943396226
140,VIAB,2017-09-01,28.52,28.313033381713
141,VIAB,2017-08-31,28.6,28.392452830189
142,VIAB,2017-08-30,29.13,28.918606676343
143,VIAB,2017-08-29,29.28,29.067518142235
144,VIAB,2017-08-28,29.43,29.216429608128
145,VIAB,2017-08-25,29.19,28.9781712627
146,VIAB,2017-08-24,28.65,28.442089985486
147,VIAB,2017-08-23,28.6203,28.412605515239
148,VIAB,2017-08-22,28.46,28.253468795356
149,VIAB,2017-08-21,28.11,27.906008708273
150,VIAB,2017-08-18,28.59,28.382525399129
151,VIAB,2017-08-17,29.21,28.998026124819
152,VIAB,2017-08-16,29.82,29.603599419448
153,VIAB,2017-08-15,30.08,29.861712626996
154,VIAB,2017-08-14,30.23,30.010624092888
155,VIAB,2017-08-11,30.66,30.437503628447
156,VIAB,2017-08-10,30.07,29.851785195936
157,VIAB,2017-08-09,30.17,29.951059506531
158,VIAB,2017-08-08,30.77,30.546705370102
159,VIAB,2017-08-07,30.58,30.358084179971
160,VIAB,2017-08-04,30.22,30.000696661829
161,VIAB,2017-08-03,35.0375,34.783236574746
162,VIAB,2017-08-02,34.09,33.842612481858
163,VIAB,2017-08-01,35.53,35.272162554427
164,VIAB,2017-07-31,34.92,34.666589259797
165,VIAB,2017-07-28,35.66,35.4012191582
166,VIAB,2017-07-27,35.51,35.252307692308
167,VIAB,2017-07-26,34.37,34.120580551524
168,VIAB,2017-07-25,35.01,34.755936139332
169,VIAB,2017-07-24,36.22,35.957155297533
170,VIAB,2017-07-21,36.04,35.778461538462
171,VIAB,2017-07-20,35.89,35.629550072569
172,VIAB,2017-07-19,36.2,35.937300435414
173,VIAB,2017-07-18,35.46,35.20267053701
174,VIAB,2017-07-17,35.32,35.063686502177
175,VIAB,2017-07-14,34.93,34.676516690856
176,VIAB,2017-07-13,34.5,34.249637155298
177,VIAB,2017-07-12,34.5,34.249637155298
178,VIAB,2017-07-11,34.14,33.892249637155
179,VIAB,2017-07-10,34.0,33.753265602322
180,VIAB,2017-07-07,33.2,32.959071117562
181,VIAB,2017-07-06,33.07,32.830014513788
