None,ticker,date,close,adj_close
0,VMC,2018-03-27,114.73,114.73
1,VMC,2018-03-26,116.7,116.7
2,VMC,2018-03-23,115.6,115.6
3,VMC,2018-03-22,113.6,113.6
4,VMC,2018-03-21,114.81,114.81
5,VMC,2018-03-20,114.14,114.14
6,VMC,2018-03-19,114.9,114.9
7,VMC,2018-03-16,117.12,117.12
8,VMC,2018-03-15,117.92,117.92
9,VMC,2018-03-14,120.43,120.43
10,VMC,2018-03-13,121.67,121.67
11,VMC,2018-03-12,120.99,120.99
12,VMC,2018-03-09,121.2,121.2
13,VMC,2018-03-08,119.18,119.18
14,VMC,2018-03-07,119.09,119.09
15,VMC,2018-03-06,119.41,119.41
16,VMC,2018-03-05,117.73,117.73
17,VMC,2018-03-02,117.74,117.74
18,VMC,2018-03-01,117.07,117.07
19,VMC,2018-02-28,117.73,117.73
20,VMC,2018-02-27,118.87,118.87
21,VMC,2018-02-26,121.75,121.75
22,VMC,2018-02-23,121.69,121.69
23,VMC,2018-02-22,122.12,122.12
24,VMC,2018-02-21,122.04,122.04
25,VMC,2018-02-20,124.47,124.47
26,VMC,2018-02-16,126.57,126.57
27,VMC,2018-02-15,133.47,133.47
28,VMC,2018-02-14,129.62,129.62
29,VMC,2018-02-13,129.37,129.37
30,VMC,2018-02-12,127.16,127.16
31,VMC,2018-02-09,125.0,125.0
32,VMC,2018-02-08,121.47,121.47
33,VMC,2018-02-07,128.24,128.24
34,VMC,2018-02-06,126.78,126.78
35,VMC,2018-02-05,125.2,125.2
36,VMC,2018-02-02,131.0,131.0
37,VMC,2018-02-01,134.23,134.23
38,VMC,2018-01-31,135.4,135.4
39,VMC,2018-01-30,139.83,139.83
40,VMC,2018-01-29,138.92,138.92
41,VMC,2018-01-26,141.11,141.11
42,VMC,2018-01-25,138.54,138.54
43,VMC,2018-01-24,135.49,135.49
44,VMC,2018-01-23,134.88,134.88
45,VMC,2018-01-22,133.0,133.0
46,VMC,2018-01-19,135.03,135.03
47,VMC,2018-01-18,135.16,135.16
48,VMC,2018-01-17,134.58,134.58
49,VMC,2018-01-16,133.69,133.69
50,VMC,2018-01-12,133.97,133.97
51,VMC,2018-01-11,135.18,135.18
52,VMC,2018-01-10,132.4,132.4
53,VMC,2018-01-09,134.14,134.14
54,VMC,2018-01-08,133.94,133.94
55,VMC,2018-01-05,131.9,131.9
56,VMC,2018-01-04,133.38,133.38
57,VMC,2018-01-03,134.29,134.29
58,VMC,2018-01-02,131.87,131.87
59,VMC,2017-12-29,128.37,128.37
60,VMC,2017-12-28,127.6,127.6
61,VMC,2017-12-27,127.48,127.48
62,VMC,2017-12-26,126.72,126.72
63,VMC,2017-12-22,124.23,124.23
64,VMC,2017-12-21,122.85,122.85
65,VMC,2017-12-20,118.98,118.98
66,VMC,2017-12-19,119.26,119.26
67,VMC,2017-12-18,122.31,122.31
68,VMC,2017-12-15,120.82,120.82
69,VMC,2017-12-14,120.24,120.24
70,VMC,2017-12-13,123.11,123.11
71,VMC,2017-12-12,121.51,121.51
72,VMC,2017-12-11,122.92,122.92
73,VMC,2017-12-08,125.88,125.88
74,VMC,2017-12-07,124.88,124.88
75,VMC,2017-12-06,121.11,121.11
76,VMC,2017-12-05,122.71,122.71
77,VMC,2017-12-04,125.25,125.25
78,VMC,2017-12-01,121.21,121.21
79,VMC,2017-11-30,125.65,125.65
80,VMC,2017-11-29,124.86,124.86
81,VMC,2017-11-28,121.66,121.66
82,VMC,2017-11-27,119.63,119.63
83,VMC,2017-11-24,122.32,122.32
84,VMC,2017-11-22,122.85,122.85
85,VMC,2017-11-21,122.74,122.74
86,VMC,2017-11-20,123.87,123.61821123669
87,VMC,2017-11-17,123.04,122.78989836572
88,VMC,2017-11-16,123.85,123.5982518904
89,VMC,2017-11-15,121.56,121.31290674039
90,VMC,2017-11-14,123.92,123.66810960241
91,VMC,2017-11-13,123.99,123.73796731442
92,VMC,2017-11-10,124.09,123.83776404586
93,VMC,2017-11-09,124.68,124.42656476136
94,VMC,2017-11-07,122.66,122.41067078624
95,VMC,2017-11-06,124.61,124.35670704935
96,VMC,2017-11-03,126.43,126.17300756159
97,VMC,2017-11-02,124.27,124.01739816245
