None,ticker,date,close,adj_close
0,VNO,2018-03-27,65.96,65.96
1,VNO,2018-03-26,65.16,65.16
2,VNO,2018-03-23,65.15,65.15
3,VNO,2018-03-22,67.16,67.16
4,VNO,2018-03-21,67.64,67.64
5,VNO,2018-03-20,68.08,68.08
6,VNO,2018-03-19,68.43,68.43
7,VNO,2018-03-16,69.51,69.51
8,VNO,2018-03-15,68.62,68.62
9,VNO,2018-03-14,68.22,68.22
10,VNO,2018-03-13,68.22,68.22
11,VNO,2018-03-12,68.36,68.36
12,VNO,2018-03-09,68.21,68.21
13,VNO,2018-03-08,67.62,67.62
14,VNO,2018-03-07,67.64,67.64
15,VNO,2018-03-06,67.6,67.6
16,VNO,2018-03-05,67.22,67.22
17,VNO,2018-03-02,66.39,66.39
18,VNO,2018-03-01,66.3,66.3
19,VNO,2018-02-28,66.47,66.47
20,VNO,2018-02-27,66.4,66.4
21,VNO,2018-02-26,68.1,68.1
22,VNO,2018-02-23,67.67,67.67
23,VNO,2018-02-22,66.53,66.53
24,VNO,2018-02-21,65.19,65.19
25,VNO,2018-02-20,67.29,67.29
26,VNO,2018-02-16,67.66,67.66
27,VNO,2018-02-15,67.15,67.15
28,VNO,2018-02-14,66.08,66.08
29,VNO,2018-02-13,67.46,67.46
30,VNO,2018-02-12,67.6,67.6
31,VNO,2018-02-09,67.69,67.69
32,VNO,2018-02-08,66.18,66.18
33,VNO,2018-02-07,67.3,67.3
34,VNO,2018-02-06,67.79,67.79
35,VNO,2018-02-05,67.58,67.58
36,VNO,2018-02-02,70.33,70.33
37,VNO,2018-02-01,70.49,70.49
38,VNO,2018-01-31,71.68,71.68
39,VNO,2018-01-30,70.2,70.2
40,VNO,2018-01-29,71.15,71.15
41,VNO,2018-01-26,71.57,71.57
42,VNO,2018-01-25,72.23,72.23
43,VNO,2018-01-24,72.74,72.74
44,VNO,2018-01-23,73.49,73.49
45,VNO,2018-01-22,73.12,73.12
46,VNO,2018-01-19,71.79,71.79
47,VNO,2018-01-18,71.34,71.34
48,VNO,2018-01-17,71.3,71.3
49,VNO,2018-01-16,71.21,71.21
50,VNO,2018-01-12,71.92,71.92
51,VNO,2018-01-11,72.88,72.88
52,VNO,2018-01-10,72.66,72.66
53,VNO,2018-01-09,73.73,73.73
54,VNO,2018-01-08,74.58,74.58
55,VNO,2018-01-05,75.44,75.44
56,VNO,2018-01-04,74.8,74.8
57,VNO,2018-01-03,77.1,77.1
58,VNO,2018-01-02,77.32,77.32
59,VNO,2017-12-29,78.18,78.18
60,VNO,2017-12-28,78.07,78.07
61,VNO,2017-12-27,77.76,77.76
62,VNO,2017-12-26,77.57,77.57
63,VNO,2017-12-22,77.2,77.2
64,VNO,2017-12-21,77.13,77.13
65,VNO,2017-12-20,76.82,76.82
66,VNO,2017-12-19,78.18,78.18
67,VNO,2017-12-18,79.44,79.44
68,VNO,2017-12-15,77.84,77.84
69,VNO,2017-12-14,77.48,77.48
70,VNO,2017-12-13,77.42,77.42
71,VNO,2017-12-12,77.71,77.71
72,VNO,2017-12-11,77.01,77.01
73,VNO,2017-12-08,76.99,76.99
74,VNO,2017-12-07,76.06,76.06
75,VNO,2017-12-06,76.42,76.42
76,VNO,2017-12-05,76.91,76.91
77,VNO,2017-12-04,77.32,77.32
78,VNO,2017-12-01,77.92,77.92
79,VNO,2017-11-30,77.62,77.62
80,VNO,2017-11-29,76.93,76.93
81,VNO,2017-11-28,76.72,76.72
82,VNO,2017-11-27,76.29,76.29
83,VNO,2017-11-24,76.15,76.15
84,VNO,2017-11-22,76.75,76.75
85,VNO,2017-11-21,76.64,76.64
86,VNO,2017-11-20,76.26,76.26
87,VNO,2017-11-17,76.6,76.6
88,VNO,2017-11-16,76.82,76.82
89,VNO,2017-11-15,76.63,76.63
90,VNO,2017-11-14,76.14,76.14
91,VNO,2017-11-13,75.97,75.97
92,VNO,2017-11-10,75.61,75.61
93,VNO,2017-11-09,75.26,75.26
94,VNO,2017-11-07,73.97,73.97
95,VNO,2017-11-06,74.25,74.25
96,VNO,2017-11-03,73.25,73.25
97,VNO,2017-11-02,74.03,73.428537576168
98,VNO,2017-11-01,74.6,73.993906567366
99,VNO,2017-10-31,74.86,74.251794177387
100,VNO,2017-10-30,72.38,71.791943127962
101,VNO,2017-10-27,72.92,72.327555856466
102,VNO,2017-10-26,72.98,72.387068381855
103,VNO,2017-10-25,72.82,72.22836831415
104,VNO,2017-10-24,73.64,73.041706161137
105,VNO,2017-10-23,74.57,73.964150304672
106,VNO,2017-10-20,74.5,73.894719025051
107,VNO,2017-10-19,74.85,74.241875423155
108,VNO,2017-10-18,77.0,76.374407582938
109,VNO,2017-10-17,78.28,77.644008124577
110,VNO,2017-10-16,78.93,78.288727149628
111,VNO,2017-10-13,79.89,79.240927555856
112,VNO,2017-10-12,79.57,78.923527420447
