None,ticker,date,close,adj_close
0,VRSK,2018-03-27,101.66,101.66
1,VRSK,2018-03-26,103.59,103.59
2,VRSK,2018-03-23,102.11,102.11
3,VRSK,2018-03-22,103.99,103.99
4,VRSK,2018-03-21,105.05,105.05
5,VRSK,2018-03-20,105.24,105.24
6,VRSK,2018-03-19,103.95,103.95
7,VRSK,2018-03-16,104.77,104.77
8,VRSK,2018-03-15,104.26,104.26
9,VRSK,2018-03-14,104.09,104.09
10,VRSK,2018-03-13,104.48,104.48
11,VRSK,2018-03-12,104.86,104.86
12,VRSK,2018-03-09,105.84,105.84
13,VRSK,2018-03-08,104.38,104.38
14,VRSK,2018-03-07,104.13,104.13
15,VRSK,2018-03-06,104.27,104.27
16,VRSK,2018-03-05,103.09,103.09
17,VRSK,2018-03-02,101.37,101.37
18,VRSK,2018-03-01,101.06,101.06
19,VRSK,2018-02-28,102.19,102.19
20,VRSK,2018-02-27,103.07,103.07
21,VRSK,2018-02-26,103.59,103.59
22,VRSK,2018-02-23,101.54,101.54
23,VRSK,2018-02-22,99.61,99.61
24,VRSK,2018-02-21,99.23,99.23
25,VRSK,2018-02-20,97.04,97.04
26,VRSK,2018-02-16,98.79,98.79
27,VRSK,2018-02-15,98.23,98.23
28,VRSK,2018-02-14,96.63,96.63
29,VRSK,2018-02-13,94.88,94.88
30,VRSK,2018-02-12,94.3,94.3
31,VRSK,2018-02-09,92.87,92.87
32,VRSK,2018-02-08,92.24,92.24
33,VRSK,2018-02-07,94.69,94.69
34,VRSK,2018-02-06,95.01,95.01
35,VRSK,2018-02-05,95.12,95.12
36,VRSK,2018-02-02,98.84,98.84
37,VRSK,2018-02-01,100.3,100.3
38,VRSK,2018-01-31,100.05,100.05
39,VRSK,2018-01-30,99.12,99.12
40,VRSK,2018-01-29,98.25,98.25
41,VRSK,2018-01-26,98.31,98.31
42,VRSK,2018-01-25,98.59,98.59
43,VRSK,2018-01-24,99.02,99.02
44,VRSK,2018-01-23,99.25,99.25
45,VRSK,2018-01-22,99.52,99.52
46,VRSK,2018-01-19,98.9,98.9
47,VRSK,2018-01-18,98.2,98.2
48,VRSK,2018-01-17,98.01,98.01
49,VRSK,2018-01-16,97.215,97.215
50,VRSK,2018-01-12,97.5,97.5
51,VRSK,2018-01-11,96.67,96.67
52,VRSK,2018-01-10,96.325,96.325
53,VRSK,2018-01-09,96.73,96.73
54,VRSK,2018-01-08,97.0,97.0
55,VRSK,2018-01-05,96.88,96.88
56,VRSK,2018-01-04,96.03,96.03
57,VRSK,2018-01-03,95.515,95.515
58,VRSK,2018-01-02,95.83,95.83
59,VRSK,2017-12-29,96.0,96.0
60,VRSK,2017-12-28,96.45,96.45
61,VRSK,2017-12-27,95.77,95.77
62,VRSK,2017-12-26,95.65,95.65
63,VRSK,2017-12-22,95.33,95.33
64,VRSK,2017-12-21,95.58,95.58
65,VRSK,2017-12-20,96.32,96.32
66,VRSK,2017-12-19,96.0,96.0
67,VRSK,2017-12-18,95.94,95.94
68,VRSK,2017-12-15,95.0,95.0
69,VRSK,2017-12-14,94.73,94.73
70,VRSK,2017-12-13,94.41,94.41
71,VRSK,2017-12-12,94.6,94.6
72,VRSK,2017-12-11,94.32,94.32
73,VRSK,2017-12-08,96.16,96.16
74,VRSK,2017-12-07,95.44,95.44
75,VRSK,2017-12-06,95.87,95.87
76,VRSK,2017-12-05,95.94,95.94
77,VRSK,2017-12-04,96.01,96.01
78,VRSK,2017-12-01,95.64,95.64
79,VRSK,2017-11-30,96.42,96.42
80,VRSK,2017-11-29,94.98,94.98
81,VRSK,2017-11-28,95.23,95.23
82,VRSK,2017-11-27,94.22,94.22
83,VRSK,2017-11-24,93.88,93.88
84,VRSK,2017-11-22,93.82,93.82
85,VRSK,2017-11-21,93.58,93.58
86,VRSK,2017-11-20,92.53,92.53
87,VRSK,2017-11-17,91.86,91.86
88,VRSK,2017-11-16,90.82,90.82
89,VRSK,2017-11-15,90.83,90.83
90,VRSK,2017-11-14,91.11,91.11
91,VRSK,2017-11-13,90.12,90.12
92,VRSK,2017-11-10,90.21,90.21
93,VRSK,2017-11-09,90.82,90.82
94,VRSK,2017-11-07,92.29,92.29
95,VRSK,2017-11-06,91.1,91.1
96,VRSK,2017-11-03,91.03,91.03
97,VRSK,2017-11-02,91.02,91.02
98,VRSK,2017-11-01,89.88,89.88
99,VRSK,2017-10-31,85.05,85.05
100,VRSK,2017-10-30,84.7,84.7
101,VRSK,2017-10-27,84.94,84.94
102,VRSK,2017-10-26,84.83,84.83
103,VRSK,2017-10-25,84.2,84.2
104,VRSK,2017-10-24,84.88,84.88
105,VRSK,2017-10-23,84.77,84.77
106,VRSK,2017-10-20,84.85,84.85
107,VRSK,2017-10-19,84.91,84.91
108,VRSK,2017-10-18,84.8,84.8
109,VRSK,2017-10-17,84.31,84.31
110,VRSK,2017-10-16,84.07,84.07
111,VRSK,2017-10-13,84.0,84.0
112,VRSK,2017-10-12,83.82,83.82
113,VRSK,2017-10-11,83.36,83.36
114,VRSK,2017-10-10,83.74,83.74
115,VRSK,2017-10-09,83.33,83.33
116,VRSK,2017-10-06,83.5,83.5
117,VRSK,2017-10-05,83.8,83.8
118,VRSK,2017-10-04,83.87,83.87
119,VRSK,2017-10-03,83.75,83.75
120,VRSK,2017-10-02,83.52,83.52
121,VRSK,2017-09-29,83.19,83.19
122,VRSK,2017-09-28,82.4,82.4
123,VRSK,2017-09-27,81.98,81.98
124,VRSK,2017-09-26,81.9,81.9
125,VRSK,2017-09-25,82.03,82.03
126,VRSK,2017-09-22,82.31,82.31
127,VRSK,2017-09-21,81.95,81.95
128,VRSK,2017-09-20,82.09,82.09
129,VRSK,2017-09-19,81.71,81.71
130,VRSK,2017-09-18,81.77,81.77
131,VRSK,2017-09-15,81.03,81.03
132,VRSK,2017-09-14,80.69,80.69
133,VRSK,2017-09-13,81.45,81.45
134,VRSK,2017-09-12,82.9,82.9
135,VRSK,2017-09-11,82.03,82.03
136,VRSK,2017-09-08,82.48,82.48
137,VRSK,2017-09-07,82.0,82.0
138,VRSK,2017-09-06,81.06,81.06
139,VRSK,2017-09-05,80.62,80.62
140,VRSK,2017-09-01,80.98,80.98
141,VRSK,2017-08-31,81.05,81.05
142,VRSK,2017-08-30,80.16,80.16
143,VRSK,2017-08-29,79.52,79.52
144,VRSK,2017-08-28,79.23,79.23
145,VRSK,2017-08-25,79.67,79.67
146,VRSK,2017-08-24,80.26,80.26
147,VRSK,2017-08-23,81.21,81.21
148,VRSK,2017-08-22,82.05,82.05
149,VRSK,2017-08-21,81.07,81.07
150,VRSK,2017-08-18,80.65,80.65
151,VRSK,2017-08-17,80.9,80.9
152,VRSK,2017-08-16,81.65,81.65
153,VRSK,2017-08-15,81.4,81.4
154,VRSK,2017-08-14,81.44,81.44
155,VRSK,2017-08-11,80.62,80.62
156,VRSK,2017-08-10,80.58,80.58
157,VRSK,2017-08-09,81.53,81.53
158,VRSK,2017-08-08,81.89,81.89
159,VRSK,2017-08-07,82.52,82.52
160,VRSK,2017-08-04,82.88,82.88
161,VRSK,2017-08-03,82.31,82.31
162,VRSK,2017-08-02,83.84,83.84
163,VRSK,2017-08-01,87.17,87.17
164,VRSK,2017-07-31,87.26,87.26
165,VRSK,2017-07-28,87.32,87.32
166,VRSK,2017-07-27,87.15,87.15
167,VRSK,2017-07-26,87.06,87.06
168,VRSK,2017-07-25,86.88,86.88
169,VRSK,2017-07-24,87.11,87.11
170,VRSK,2017-07-21,86.51,86.51
171,VRSK,2017-07-20,86.27,86.27
172,VRSK,2017-07-19,85.99,85.99
173,VRSK,2017-07-18,85.87,85.87
174,VRSK,2017-07-17,85.24,85.24
175,VRSK,2017-07-14,85.44,85.44
176,VRSK,2017-07-13,84.4,84.4
177,VRSK,2017-07-12,84.55,84.55
178,VRSK,2017-07-11,83.48,83.48
179,VRSK,2017-07-10,83.45,83.45
180,VRSK,2017-07-07,83.65,83.65
181,VRSK,2017-07-06,83.485,83.485
182,VRSK,2017-07-05,84.29,84.29
183,VRSK,2017-07-03,84.17,84.17
184,VRSK,2017-06-30,84.37,84.37
185,VRSK,2017-06-29,83.36,83.36
186,VRSK,2017-06-28,83.96,83.96
187,VRSK,2017-06-27,82.82,82.82
188,VRSK,2017-06-26,83.18,83.18
189,VRSK,2017-06-23,82.36,82.36
190,VRSK,2017-06-22,83.03,83.03
191,VRSK,2017-06-21,84.06,84.06
192,VRSK,2017-06-20,83.91,83.91
193,VRSK,2017-06-19,83.78,83.78
194,VRSK,2017-06-16,83.14,83.14
195,VRSK,2017-06-15,83.25,83.25
196,VRSK,2017-06-14,82.97,82.97
197,VRSK,2017-06-13,82.42,82.42
198,VRSK,2017-06-12,81.5,81.5
199,VRSK,2017-06-09,80.07,80.07
200,VRSK,2017-06-08,80.38,80.38
201,VRSK,2017-06-07,80.74,80.74
202,VRSK,2017-06-06,80.67,80.67
203,VRSK,2017-06-05,81.47,81.47
204,VRSK,2017-06-02,81.86,81.86
205,VRSK,2017-06-01,81.17,81.17
206,VRSK,2017-05-31,80.89,80.89
207,VRSK,2017-05-30,81.05,81.05
208,VRSK,2017-05-26,80.55,80.55
209,VRSK,2017-05-25,81.18,81.18
210,VRSK,2017-05-24,80.41,80.41
211,VRSK,2017-05-23,79.52,79.52
212,VRSK,2017-05-22,79.91,79.91
213,VRSK,2017-05-19,79.41,79.41
214,VRSK,2017-05-18,78.52,78.52
215,VRSK,2017-05-17,78.5,78.5
216,VRSK,2017-05-16,78.82,78.82
217,VRSK,2017-05-15,78.97,78.97
218,VRSK,2017-05-12,78.1,78.1
219,VRSK,2017-05-11,78.28,78.28
220,VRSK,2017-05-10,78.7,78.7
221,VRSK,2017-05-09,79.26,79.26
222,VRSK,2017-05-08,79.3,79.3
223,VRSK,2017-05-05,79.76,79.76
224,VRSK,2017-05-04,78.01,78.01
225,VRSK,2017-05-03,76.75,76.75
226,VRSK,2017-05-02,82.1,82.1
227,VRSK,2017-05-01,82.77,82.77
228,VRSK,2017-04-28,82.81,82.81
229,VRSK,2017-04-27,83.17,83.17
230,VRSK,2017-04-26,83.18,83.18
231,VRSK,2017-04-25,82.97,82.97
232,VRSK,2017-04-24,82.66,82.66
233,VRSK,2017-04-21,81.65,81.65
234,VRSK,2017-04-20,81.37,81.37
235,VRSK,2017-04-19,80.77,80.77
236,VRSK,2017-04-18,80.63,80.63
237,VRSK,2017-04-17,80.07,80.07
238,VRSK,2017-04-13,79.11,79.11
239,VRSK,2017-04-12,79.24,79.24
240,VRSK,2017-04-11,79.63,79.63
241,VRSK,2017-04-10,79.47,79.47
242,VRSK,2017-04-07,79.29,79.29
243,VRSK,2017-04-06,79.5,79.5
244,VRSK,2017-04-05,79.45,79.45
245,VRSK,2017-04-04,79.95,79.95
246,VRSK,2017-04-03,79.84,79.84
247,VRSK,2017-03-31,81.14,81.14
248,VRSK,2017-03-30,80.79,80.79
249,VRSK,2017-03-29,80.45,80.45
250,VRSK,2017-03-28,80.06,80.06
251,VRSK,2017-03-27,79.68,79.68
252,VRSK,2017-03-24,79.71,79.71
253,VRSK,2017-03-23,79.96,79.96
254,VRSK,2017-03-22,80.03,80.03
255,VRSK,2017-03-21,79.63,79.63
256,VRSK,2017-03-20,80.95,80.95
257,VRSK,2017-03-17,81.19,81.19
258,VRSK,2017-03-16,80.35,80.35
259,VRSK,2017-03-15,80.07,80.07
260,VRSK,2017-03-14,79.35,79.35
261,VRSK,2017-03-13,79.76,79.76
262,VRSK,2017-03-10,79.94,79.94
263,VRSK,2017-03-09,80.05,80.05
264,VRSK,2017-03-08,80.71,80.71
265,VRSK,2017-03-07,81.84,81.84
266,VRSK,2017-03-06,82.87,82.87
267,VRSK,2017-03-03,83.95,83.95
268,VRSK,2017-03-02,83.67,83.67
269,VRSK,2017-03-01,84.32,84.32
270,VRSK,2017-02-28,82.92,82.92
271,VRSK,2017-02-27,83.79,83.79
272,VRSK,2017-02-24,83.95,83.95
273,VRSK,2017-02-23,82.84,82.84
274,VRSK,2017-02-22,82.23,82.23
275,VRSK,2017-02-21,85.19,85.19
276,VRSK,2017-02-17,84.9,84.9
277,VRSK,2017-02-16,84.27,84.27
278,VRSK,2017-02-15,83.77,83.77
279,VRSK,2017-02-14,85.09,85.09
280,VRSK,2017-02-13,84.96,84.96
281,VRSK,2017-02-10,84.52,84.52
282,VRSK,2017-02-09,84.07,84.07
283,VRSK,2017-02-08,83.61,83.61
284,VRSK,2017-02-07,83.01,83.01
285,VRSK,2017-02-06,83.27,83.27
286,VRSK,2017-02-03,83.52,83.52
287,VRSK,2017-02-02,82.15,82.15
288,VRSK,2017-02-01,81.76,81.76
289,VRSK,2017-01-31,82.64,82.64
290,VRSK,2017-01-30,82.74,82.74
291,VRSK,2017-01-27,82.68,82.68
292,VRSK,2017-01-26,82.53,82.53
293,VRSK,2017-01-25,82.69,82.69
294,VRSK,2017-01-24,82.17,82.17
295,VRSK,2017-01-23,81.18,81.18
296,VRSK,2017-01-20,81.36,81.36
297,VRSK,2017-01-19,80.92,80.92
