None,ticker,date,close,adj_close
0,VRSN,2018-03-27,117.48,117.48
1,VRSN,2018-03-26,121.47,121.47
2,VRSN,2018-03-23,119.48,119.48
3,VRSN,2018-03-22,122.65,122.65
4,VRSN,2018-03-21,124.6,124.6
5,VRSN,2018-03-20,125.2,125.2
6,VRSN,2018-03-19,124.22,124.22
7,VRSN,2018-03-16,125.92,125.92
8,VRSN,2018-03-15,125.31,125.31
9,VRSN,2018-03-14,123.01,123.01
10,VRSN,2018-03-13,120.51,120.51
11,VRSN,2018-03-12,120.24,120.24
12,VRSN,2018-03-09,120.46,120.46
13,VRSN,2018-03-08,118.35,118.35
14,VRSN,2018-03-07,117.93,117.93
15,VRSN,2018-03-06,117.45,117.45
16,VRSN,2018-03-05,117.26,117.26
17,VRSN,2018-03-02,115.78,115.78
18,VRSN,2018-03-01,115.02,115.02
19,VRSN,2018-02-28,116.02,116.02
20,VRSN,2018-02-27,116.41,116.41
21,VRSN,2018-02-26,117.25,117.25
22,VRSN,2018-02-23,117.64,117.64
23,VRSN,2018-02-22,114.92,114.92
24,VRSN,2018-02-21,115.7,115.7
25,VRSN,2018-02-20,116.34,116.34
26,VRSN,2018-02-16,120.55,120.55
27,VRSN,2018-02-15,116.35,116.35
28,VRSN,2018-02-14,113.98,113.98
29,VRSN,2018-02-13,110.57,110.57
30,VRSN,2018-02-12,111.03,111.03
31,VRSN,2018-02-09,109.02,109.02
32,VRSN,2018-02-08,105.64,105.64
33,VRSN,2018-02-07,109.11,109.11
34,VRSN,2018-02-06,109.41,109.41
35,VRSN,2018-02-05,109.19,109.19
36,VRSN,2018-02-02,112.51,112.51
37,VRSN,2018-02-01,114.7,114.7
38,VRSN,2018-01-31,114.92,114.92
39,VRSN,2018-01-30,112.15,112.15
40,VRSN,2018-01-29,112.41,112.41
41,VRSN,2018-01-26,115.31,115.31
42,VRSN,2018-01-25,115.99,115.99
43,VRSN,2018-01-24,115.77,115.77
44,VRSN,2018-01-23,115.77,115.77
45,VRSN,2018-01-22,114.46,114.46
46,VRSN,2018-01-19,114.48,114.48
47,VRSN,2018-01-18,114.54,114.54
48,VRSN,2018-01-17,114.0,114.0
49,VRSN,2018-01-16,112.65,112.65
50,VRSN,2018-01-12,113.62,113.62
51,VRSN,2018-01-11,112.23,112.23
52,VRSN,2018-01-10,111.96,111.96
53,VRSN,2018-01-09,113.02,113.02
54,VRSN,2018-01-08,114.31,114.31
55,VRSN,2018-01-05,113.0,113.0
56,VRSN,2018-01-04,111.47,111.47
57,VRSN,2018-01-03,110.9,110.9
58,VRSN,2018-01-02,109.45,109.45
59,VRSN,2017-12-29,114.44,114.44
60,VRSN,2017-12-28,115.5,115.5
61,VRSN,2017-12-27,114.38,114.38
62,VRSN,2017-12-26,113.91,113.91
63,VRSN,2017-12-22,113.99,113.99
64,VRSN,2017-12-21,114.19,114.19
65,VRSN,2017-12-20,116.01,116.01
66,VRSN,2017-12-19,115.55,115.55
67,VRSN,2017-12-18,116.1,116.1
68,VRSN,2017-12-15,115.03,115.03
69,VRSN,2017-12-14,114.14,114.14
70,VRSN,2017-12-13,113.78,113.78
71,VRSN,2017-12-12,114.37,114.37
72,VRSN,2017-12-11,114.32,114.32
73,VRSN,2017-12-08,112.98,112.98
74,VRSN,2017-12-07,112.82,112.82
75,VRSN,2017-12-06,112.4,112.4
76,VRSN,2017-12-05,112.44,112.44
77,VRSN,2017-12-04,112.56,112.56
78,VRSN,2017-12-01,114.96,114.96
79,VRSN,2017-11-30,115.1,115.1
80,VRSN,2017-11-29,114.74,114.74
81,VRSN,2017-11-28,117.01,117.01
82,VRSN,2017-11-27,117.09,117.09
83,VRSN,2017-11-24,117.24,117.24
84,VRSN,2017-11-22,115.77,115.77
85,VRSN,2017-11-21,116.06,116.06
86,VRSN,2017-11-20,115.18,115.18
87,VRSN,2017-11-17,113.75,113.75
88,VRSN,2017-11-16,112.97,112.97
89,VRSN,2017-11-15,110.42,110.42
90,VRSN,2017-11-14,111.17,111.17
91,VRSN,2017-11-13,111.18,111.18
