None,ticker,date,close,adj_close
0,VRTX,2018-03-27,160.34,160.34
1,VRTX,2018-03-26,166.1,166.1
2,VRTX,2018-03-23,160.93,160.93
3,VRTX,2018-03-22,166.1,166.1
4,VRTX,2018-03-21,170.34,170.34
5,VRTX,2018-03-20,171.47,171.47
6,VRTX,2018-03-19,170.77,170.77
7,VRTX,2018-03-16,175.66,175.66
8,VRTX,2018-03-15,173.97,173.97
9,VRTX,2018-03-14,174.38,174.38
10,VRTX,2018-03-13,174.96,174.96
11,VRTX,2018-03-12,177.13,177.13
12,VRTX,2018-03-09,176.26,176.26
13,VRTX,2018-03-08,171.88,171.88
14,VRTX,2018-03-07,170.17,170.17
15,VRTX,2018-03-06,168.72,168.72
16,VRTX,2018-03-05,173.16,173.16
17,VRTX,2018-03-02,170.06,170.06
18,VRTX,2018-03-01,165.83,165.83
19,VRTX,2018-02-28,166.03,166.03
20,VRTX,2018-02-27,165.88,165.88
21,VRTX,2018-02-26,169.54,169.54
22,VRTX,2018-02-23,165.9,165.9
23,VRTX,2018-02-22,157.55,157.55
24,VRTX,2018-02-21,157.89,157.89
25,VRTX,2018-02-20,160.98,160.98
26,VRTX,2018-02-16,160.72,160.72
27,VRTX,2018-02-15,160.94,160.94
28,VRTX,2018-02-14,157.26,157.26
29,VRTX,2018-02-13,154.14,154.14
30,VRTX,2018-02-12,152.01,152.01
31,VRTX,2018-02-09,152.84,152.84
32,VRTX,2018-02-08,151.77,151.77
33,VRTX,2018-02-07,155.67,155.67
34,VRTX,2018-02-06,159.27,159.27
35,VRTX,2018-02-05,156.31,156.31
36,VRTX,2018-02-02,165.96,165.96
37,VRTX,2018-02-01,172.66,172.66
38,VRTX,2018-01-31,166.71,166.71
39,VRTX,2018-01-30,166.54,166.54
40,VRTX,2018-01-29,167.14,167.14
41,VRTX,2018-01-26,169.21,169.21
42,VRTX,2018-01-25,166.24,166.24
43,VRTX,2018-01-24,167.45,167.45
44,VRTX,2018-01-23,166.58,166.58
45,VRTX,2018-01-22,161.91,161.91
46,VRTX,2018-01-19,157.97,157.97
47,VRTX,2018-01-18,157.19,157.19
48,VRTX,2018-01-17,156.99,156.99
49,VRTX,2018-01-16,155.71,155.71
50,VRTX,2018-01-12,157.93,157.93
51,VRTX,2018-01-11,158.4,158.4
52,VRTX,2018-01-10,157.38,157.38
53,VRTX,2018-01-09,156.01,156.01
54,VRTX,2018-01-08,156.89,156.89
55,VRTX,2018-01-05,155.69,155.69
56,VRTX,2018-01-04,153.07,153.07
57,VRTX,2018-01-03,152.01,152.01
58,VRTX,2018-01-02,152.9,152.9
59,VRTX,2017-12-29,149.86,149.86
60,VRTX,2017-12-28,151.17,151.17
61,VRTX,2017-12-27,151.55,151.55
62,VRTX,2017-12-26,150.6,150.6
63,VRTX,2017-12-22,149.97,149.97
64,VRTX,2017-12-21,148.82,148.82
65,VRTX,2017-12-20,145.12,145.12
66,VRTX,2017-12-19,145.15,145.15
67,VRTX,2017-12-18,145.44,145.44
68,VRTX,2017-12-15,145.86,145.86
69,VRTX,2017-12-14,142.53,142.53
70,VRTX,2017-12-13,144.8,144.8
71,VRTX,2017-12-12,140.91,140.91
72,VRTX,2017-12-11,141.68,141.68
73,VRTX,2017-12-08,143.61,143.61
74,VRTX,2017-12-07,138.78,138.78
75,VRTX,2017-12-06,137.28,137.28
76,VRTX,2017-12-05,138.36,138.36
77,VRTX,2017-12-04,138.79,138.79
78,VRTX,2017-12-01,140.79,140.79
79,VRTX,2017-11-30,144.29,144.29
80,VRTX,2017-11-29,143.75,143.75
81,VRTX,2017-11-28,147.32,147.32
82,VRTX,2017-11-27,148.55,148.55
83,VRTX,2017-11-24,146.55,146.55
84,VRTX,2017-11-22,147.04,147.04
85,VRTX,2017-11-21,145.11,145.11
86,VRTX,2017-11-20,144.64,144.64
87,VRTX,2017-11-17,147.41,147.41
88,VRTX,2017-11-16,147.94,147.94
89,VRTX,2017-11-15,148.66,148.66
90,VRTX,2017-11-14,147.82,147.82
91,VRTX,2017-11-13,148.03,148.03
92,VRTX,2017-11-10,148.74,148.74
93,VRTX,2017-11-09,148.17,148.17
94,VRTX,2017-11-07,151.31,151.31
95,VRTX,2017-11-06,148.98,148.98
96,VRTX,2017-11-03,149.97,149.97
97,VRTX,2017-11-02,144.9,144.9
98,VRTX,2017-11-01,142.63,142.63
99,VRTX,2017-10-31,146.23,146.23
100,VRTX,2017-10-30,149.53,149.53
101,VRTX,2017-10-27,150.11,150.11
102,VRTX,2017-10-26,143.76,143.76
103,VRTX,2017-10-25,146.8,146.8
104,VRTX,2017-10-24,151.11,151.11
105,VRTX,2017-10-23,151.06,151.06
106,VRTX,2017-10-20,154.63,154.63
107,VRTX,2017-10-19,154.6,154.6
108,VRTX,2017-10-18,154.86,154.86
109,VRTX,2017-10-17,155.05,155.05
110,VRTX,2017-10-16,154.7,154.7
111,VRTX,2017-10-13,152.91,152.91
112,VRTX,2017-10-12,153.98,153.98
113,VRTX,2017-10-11,154.02,154.02
114,VRTX,2017-10-10,154.52,154.52
115,VRTX,2017-10-09,155.55,155.55
116,VRTX,2017-10-06,155.1,155.1
117,VRTX,2017-10-05,152.3,152.3
118,VRTX,2017-10-04,152.51,152.51
119,VRTX,2017-10-03,152.51,152.51
120,VRTX,2017-10-02,152.23,152.23
121,VRTX,2017-09-29,152.04,152.04
122,VRTX,2017-09-28,149.62,149.62
123,VRTX,2017-09-27,149.0,149.0
124,VRTX,2017-09-26,148.46,148.46
125,VRTX,2017-09-25,149.1,149.1
126,VRTX,2017-09-22,151.26,151.26
127,VRTX,2017-09-21,152.06,152.06
128,VRTX,2017-09-20,152.72,152.72
129,VRTX,2017-09-19,153.0,153.0
130,VRTX,2017-09-18,153.2,153.2
131,VRTX,2017-09-15,153.61,153.61
132,VRTX,2017-09-14,153.38,153.38
133,VRTX,2017-09-13,156.8,156.8
134,VRTX,2017-09-12,156.82,156.82
135,VRTX,2017-09-11,157.81,157.81
136,VRTX,2017-09-08,158.83,158.83
137,VRTX,2017-09-07,159.41,159.41
138,VRTX,2017-09-06,157.08,157.08
139,VRTX,2017-09-05,159.07,159.07
140,VRTX,2017-09-01,162.24,162.24
141,VRTX,2017-08-31,160.54,160.54
142,VRTX,2017-08-30,156.29,156.29
143,VRTX,2017-08-29,152.89,152.89
144,VRTX,2017-08-28,153.4,153.4
145,VRTX,2017-08-25,153.27,153.27
146,VRTX,2017-08-24,156.08,156.08
147,VRTX,2017-08-23,153.25,153.25
148,VRTX,2017-08-22,155.48,155.48
149,VRTX,2017-08-21,149.01,149.01
150,VRTX,2017-08-18,148.13,148.13
151,VRTX,2017-08-17,148.54,148.54
152,VRTX,2017-08-16,151.37,151.37
153,VRTX,2017-08-15,152.72,152.72
154,VRTX,2017-08-14,154.49,154.49
155,VRTX,2017-08-11,153.78,153.78
156,VRTX,2017-08-10,148.54,148.54
157,VRTX,2017-08-09,152.58,152.58
158,VRTX,2017-08-08,153.26,153.26
159,VRTX,2017-08-07,156.47,156.47
160,VRTX,2017-08-04,154.54,154.54
161,VRTX,2017-08-03,154.03,154.03
162,VRTX,2017-08-02,157.55,157.55
163,VRTX,2017-08-01,153.2,153.2
164,VRTX,2017-07-31,151.82,151.82
165,VRTX,2017-07-28,154.16,154.16
166,VRTX,2017-07-27,156.19,156.19
167,VRTX,2017-07-26,163.42,163.42
168,VRTX,2017-07-25,161.97,161.97
169,VRTX,2017-07-24,166.11,166.11
170,VRTX,2017-07-21,163.17,163.17
171,VRTX,2017-07-20,159.33,159.33
172,VRTX,2017-07-19,159.758,159.758
173,VRTX,2017-07-18,132.16,132.16
174,VRTX,2017-07-17,129.21,129.21
175,VRTX,2017-07-14,130.99,130.99
176,VRTX,2017-07-13,130.92,130.92
177,VRTX,2017-07-12,131.44,131.44
178,VRTX,2017-07-11,132.17,132.17
179,VRTX,2017-07-10,128.66,128.66
180,VRTX,2017-07-07,130.35,130.35
181,VRTX,2017-07-06,128.46,128.46
182,VRTX,2017-07-05,129.0,129.0
183,VRTX,2017-07-03,128.23,128.23
184,VRTX,2017-06-30,128.87,128.87
185,VRTX,2017-06-29,127.24,127.24
186,VRTX,2017-06-28,131.11,131.11
187,VRTX,2017-06-27,129.23,129.23
188,VRTX,2017-06-26,133.41,133.41
189,VRTX,2017-06-23,133.5,133.5
190,VRTX,2017-06-22,135.53,135.53
191,VRTX,2017-06-21,134.83,134.83
192,VRTX,2017-06-20,126.33,126.33
193,VRTX,2017-06-19,125.58,125.58
194,VRTX,2017-06-16,123.11,123.11
195,VRTX,2017-06-15,124.04,124.04
196,VRTX,2017-06-14,124.71,124.71
197,VRTX,2017-06-13,122.49,122.49
198,VRTX,2017-06-12,122.35,122.35
199,VRTX,2017-06-09,122.66,122.66
200,VRTX,2017-06-08,125.91,125.91
201,VRTX,2017-06-07,124.99,124.99
202,VRTX,2017-06-06,127.72,127.72
203,VRTX,2017-06-05,130.17,130.17
204,VRTX,2017-06-02,129.9,129.9
205,VRTX,2017-06-01,127.16,127.16
206,VRTX,2017-05-31,123.6,123.6
207,VRTX,2017-05-30,120.39,120.39
208,VRTX,2017-05-26,119.92,119.92
209,VRTX,2017-05-25,118.6,118.6
210,VRTX,2017-05-24,117.8,117.8
211,VRTX,2017-05-23,116.59,116.59
212,VRTX,2017-05-22,118.94,118.94
213,VRTX,2017-05-19,118.02,118.02
214,VRTX,2017-05-18,117.93,117.93
215,VRTX,2017-05-17,114.38,114.38
216,VRTX,2017-05-16,118.09,118.09
217,VRTX,2017-05-15,116.23,116.23
218,VRTX,2017-05-12,114.6,114.6
219,VRTX,2017-05-11,115.36,115.36
220,VRTX,2017-05-10,115.35,115.35
221,VRTX,2017-05-09,116.63,116.63
222,VRTX,2017-05-08,115.06,115.06
223,VRTX,2017-05-05,114.84,114.84
224,VRTX,2017-05-04,116.39,116.39
225,VRTX,2017-05-03,119.05,119.05
226,VRTX,2017-05-02,118.47,118.47
227,VRTX,2017-05-01,120.62,120.62
228,VRTX,2017-04-28,118.3,118.3
229,VRTX,2017-04-27,117.23,117.23
230,VRTX,2017-04-26,116.34,116.34
231,VRTX,2017-04-25,117.27,117.27
232,VRTX,2017-04-24,117.66,117.66
233,VRTX,2017-04-21,116.7,116.7
234,VRTX,2017-04-20,117.26,117.26
235,VRTX,2017-04-19,114.63,114.63
236,VRTX,2017-04-18,114.65,114.65
237,VRTX,2017-04-17,114.81,114.81
238,VRTX,2017-04-13,113.8,113.8
239,VRTX,2017-04-12,114.86,114.86
240,VRTX,2017-04-11,114.23,114.23
241,VRTX,2017-04-10,114.06,114.06
242,VRTX,2017-04-07,115.88,115.88
