None,ticker,date,close,adj_close
0,VTR,2018-03-27,49.01,49.01
1,VTR,2018-03-26,48.21,48.21
2,VTR,2018-03-23,48.11,48.11
3,VTR,2018-03-22,49.32,49.32
4,VTR,2018-03-21,48.46,48.46
5,VTR,2018-03-20,49.0,49.0
6,VTR,2018-03-19,49.53,49.53
7,VTR,2018-03-16,50.15,50.15
8,VTR,2018-03-15,49.46,49.46
9,VTR,2018-03-14,49.68,49.68
10,VTR,2018-03-13,50.35,50.35
11,VTR,2018-03-12,50.38,50.38
12,VTR,2018-03-09,49.69,49.69
13,VTR,2018-03-08,50.52,50.52
14,VTR,2018-03-07,51.22,51.22
15,VTR,2018-03-06,50.45,50.45
16,VTR,2018-03-05,50.77,50.77
17,VTR,2018-03-02,49.86,49.86
18,VTR,2018-03-01,49.58,49.58
19,VTR,2018-02-28,48.32,48.32
20,VTR,2018-02-27,48.91,48.91
21,VTR,2018-02-26,50.73,50.73
22,VTR,2018-02-23,50.51,50.51
23,VTR,2018-02-22,49.67,49.67
24,VTR,2018-02-21,49.34,49.34
25,VTR,2018-02-20,50.27,50.27
26,VTR,2018-02-16,51.39,51.39
27,VTR,2018-02-15,50.64,50.64
28,VTR,2018-02-14,49.62,49.62
29,VTR,2018-02-13,50.72,50.72
30,VTR,2018-02-12,50.46,50.46
31,VTR,2018-02-09,51.59,51.59
32,VTR,2018-02-08,50.92,50.92
33,VTR,2018-02-07,52.97,52.97
34,VTR,2018-02-06,53.19,53.19
35,VTR,2018-02-05,52.88,52.88
36,VTR,2018-02-02,54.33,54.33
37,VTR,2018-02-01,54.4,54.4
38,VTR,2018-01-31,55.97,55.97
39,VTR,2018-01-30,54.65,54.65
40,VTR,2018-01-29,55.53,55.53
41,VTR,2018-01-26,55.89,55.89
42,VTR,2018-01-25,56.41,56.41
43,VTR,2018-01-24,55.89,55.89
44,VTR,2018-01-23,55.95,55.95
45,VTR,2018-01-22,54.49,54.49
46,VTR,2018-01-19,54.47,54.47
47,VTR,2018-01-18,54.38,54.38
48,VTR,2018-01-17,54.98,54.98
49,VTR,2018-01-16,54.52,54.52
50,VTR,2018-01-12,54.83,54.83
51,VTR,2018-01-11,56.23,56.23
52,VTR,2018-01-10,56.84,56.84
53,VTR,2018-01-09,57.69,57.69
54,VTR,2018-01-08,58.45,58.45
55,VTR,2018-01-05,58.35,58.35
56,VTR,2018-01-04,58.65,58.65
57,VTR,2018-01-03,60.12,60.12
58,VTR,2018-01-02,59.76,59.76
59,VTR,2017-12-29,60.01,60.01
60,VTR,2017-12-28,60.43,60.43
61,VTR,2017-12-27,60.14,60.14
62,VTR,2017-12-26,60.18,60.18
63,VTR,2017-12-22,60.14,60.14
64,VTR,2017-12-21,59.84,59.84
65,VTR,2017-12-20,60.69,60.69
66,VTR,2017-12-19,61.83,61.83
67,VTR,2017-12-18,64.39,64.39
68,VTR,2017-12-15,64.25,64.25
69,VTR,2017-12-14,63.46,63.46
70,VTR,2017-12-13,63.87,63.87
71,VTR,2017-12-12,63.82,63.82
72,VTR,2017-12-11,63.32,63.32
73,VTR,2017-12-08,63.31,63.31
74,VTR,2017-12-07,63.53,63.53
75,VTR,2017-12-06,62.99,62.99
76,VTR,2017-12-05,62.73,62.73
77,VTR,2017-12-04,62.82,62.82
78,VTR,2017-12-01,64.81,64.81
79,VTR,2017-11-30,64.01,64.01
80,VTR,2017-11-29,64.07,64.07
81,VTR,2017-11-28,63.61,63.61
82,VTR,2017-11-27,63.86,63.86
83,VTR,2017-11-24,64.68,64.68
