None,ticker,date,close,adj_close
0,WAT,2018-03-27,200.52,200.52
1,WAT,2018-03-26,204.2,204.2
2,WAT,2018-03-23,199.51,199.51
3,WAT,2018-03-22,204.61,204.61
4,WAT,2018-03-21,211.18,211.18
5,WAT,2018-03-20,214.46,214.46
6,WAT,2018-03-19,212.98,212.98
7,WAT,2018-03-16,213.18,213.18
8,WAT,2018-03-15,212.34,212.34
9,WAT,2018-03-14,211.22,211.22
10,WAT,2018-03-13,212.13,212.13
11,WAT,2018-03-12,212.87,212.87
12,WAT,2018-03-09,212.7,212.7
13,WAT,2018-03-08,208.96,208.96
14,WAT,2018-03-07,207.5,207.5
15,WAT,2018-03-06,205.32,205.32
16,WAT,2018-03-05,201.38,201.38
17,WAT,2018-03-02,200.11,200.11
18,WAT,2018-03-01,198.17,198.17
19,WAT,2018-02-28,204.64,204.64
20,WAT,2018-02-27,206.11,206.11
21,WAT,2018-02-26,208.45,208.45
22,WAT,2018-02-23,208.47,208.47
23,WAT,2018-02-22,204.47,204.47
24,WAT,2018-02-21,204.23,204.23
25,WAT,2018-02-20,203.87,203.87
26,WAT,2018-02-16,206.18,206.18
27,WAT,2018-02-15,206.9,206.9
28,WAT,2018-02-14,204.62,204.62
29,WAT,2018-02-13,200.2,200.2
30,WAT,2018-02-12,198.45,198.45
31,WAT,2018-02-09,193.59,193.59
32,WAT,2018-02-08,191.79,191.79
33,WAT,2018-02-07,201.98,201.98
34,WAT,2018-02-06,202.72,202.72
35,WAT,2018-02-05,203.26,203.26
36,WAT,2018-02-02,212.49,212.49
37,WAT,2018-02-01,217.37,217.37
38,WAT,2018-01-31,215.61,215.61
39,WAT,2018-01-30,214.87,214.87
40,WAT,2018-01-29,218.7,218.7
41,WAT,2018-01-26,218.14,218.14
42,WAT,2018-01-25,217.21,217.21
43,WAT,2018-01-24,214.3,214.3
44,WAT,2018-01-23,210.99,210.99
45,WAT,2018-01-22,214.77,214.77
46,WAT,2018-01-19,210.72,210.72
47,WAT,2018-01-18,207.87,207.87
48,WAT,2018-01-17,209.16,209.16
49,WAT,2018-01-16,208.94,208.94
50,WAT,2018-01-12,209.75,209.75
51,WAT,2018-01-11,207.73,207.73
52,WAT,2018-01-10,207.32,207.32
53,WAT,2018-01-09,208.96,208.96
54,WAT,2018-01-08,204.76,204.76
55,WAT,2018-01-05,202.23,202.23
