None,ticker,date,close,adj_close
0,WBA,2018-03-27,65.96,65.96
1,WBA,2018-03-26,67.47,67.47
2,WBA,2018-03-23,65.43,65.43
3,WBA,2018-03-22,65.83,65.83
4,WBA,2018-03-21,66.27,66.27
5,WBA,2018-03-20,66.05,66.05
6,WBA,2018-03-19,66.62,66.62
7,WBA,2018-03-16,67.57,67.57
8,WBA,2018-03-15,67.38,67.38
9,WBA,2018-03-14,68.55,68.55
10,WBA,2018-03-13,69.86,69.86
11,WBA,2018-03-12,70.15,70.15
12,WBA,2018-03-09,70.6,70.6
13,WBA,2018-03-08,68.97,68.97
14,WBA,2018-03-07,69.5,69.5
15,WBA,2018-03-06,69.79,69.79
16,WBA,2018-03-05,70.55,70.55
17,WBA,2018-03-02,70.58,70.58
18,WBA,2018-03-01,70.2,70.2
19,WBA,2018-02-28,68.89,68.89
20,WBA,2018-02-27,69.14,69.14
21,WBA,2018-02-26,70.6,70.6
22,WBA,2018-02-23,70.36,70.36
23,WBA,2018-02-22,69.67,69.67
24,WBA,2018-02-21,69.63,69.63
25,WBA,2018-02-20,70.91,70.91
26,WBA,2018-02-16,70.92,70.92
27,WBA,2018-02-15,69.78,69.78
28,WBA,2018-02-14,68.49,68.49
29,WBA,2018-02-13,68.29,68.29
30,WBA,2018-02-12,68.46,68.46
31,WBA,2018-02-09,68.39,68.39
32,WBA,2018-02-08,68.2,68.2
33,WBA,2018-02-07,71.53,71.53
34,WBA,2018-02-06,71.79,71.79
35,WBA,2018-02-05,70.84,70.84
36,WBA,2018-02-02,73.56,73.56
37,WBA,2018-02-01,76.085,76.085
38,WBA,2018-01-31,75.24,75.24
39,WBA,2018-01-30,76.13,76.13
40,WBA,2018-01-29,80.27,80.27
41,WBA,2018-01-26,79.15,79.15
42,WBA,2018-01-25,78.27,78.27
43,WBA,2018-01-24,77.33,77.33
44,WBA,2018-01-23,77.02,77.02
45,WBA,2018-01-22,77.4,77.4
46,WBA,2018-01-19,76.47,76.47
47,WBA,2018-01-18,76.0,76.0
48,WBA,2018-01-17,75.78,75.78
49,WBA,2018-01-16,76.03,76.03
50,WBA,2018-01-12,76.07,76.07
51,WBA,2018-01-11,75.33,75.33
52,WBA,2018-01-10,74.08,74.08
53,WBA,2018-01-09,73.42,73.42
54,WBA,2018-01-08,73.85,73.85
55,WBA,2018-01-05,72.92,72.92
56,WBA,2018-01-04,71.6,71.6
57,WBA,2018-01-03,75.51,75.51
58,WBA,2018-01-02,74.95,74.95
59,WBA,2017-12-29,72.62,72.62
60,WBA,2017-12-28,72.94,72.94
61,WBA,2017-12-27,72.86,72.86
62,WBA,2017-12-26,73.3,73.3
63,WBA,2017-12-22,72.71,72.71
64,WBA,2017-12-21,73.25,73.25
65,WBA,2017-12-20,72.72,72.72
66,WBA,2017-12-19,72.19,72.19
67,WBA,2017-12-18,72.55,72.55
68,WBA,2017-12-15,71.94,71.94
69,WBA,2017-12-14,70.36,70.36
70,WBA,2017-12-13,71.72,71.72
71,WBA,2017-12-12,72.01,72.01
72,WBA,2017-12-11,71.88,71.88
73,WBA,2017-12-08,71.55,71.55
74,WBA,2017-12-07,69.61,69.61
75,WBA,2017-12-06,71.05,71.05
76,WBA,2017-12-05,70.18,70.18
77,WBA,2017-12-04,71.57,71.57
78,WBA,2017-12-01,71.45,71.45
79,WBA,2017-11-30,72.76,72.76
80,WBA,2017-11-29,71.92,71.92
81,WBA,2017-11-28,72.24,72.24
82,WBA,2017-11-27,69.39,69.39
83,WBA,2017-11-24,70.28,70.28
84,WBA,2017-11-22,71.33,71.33
85,WBA,2017-11-21,71.16,71.16
86,WBA,2017-11-20,70.78,70.78
87,WBA,2017-11-17,71.25,71.25
88,WBA,2017-11-16,71.3,71.3
89,WBA,2017-11-15,70.2,70.2
90,WBA,2017-11-14,70.59,70.59
91,WBA,2017-11-13,70.37,70.37
92,WBA,2017-11-10,70.99,70.99
93,WBA,2017-11-09,69.54,69.54
94,WBA,2017-11-07,67.92,67.92
95,WBA,2017-11-06,65.94,65.94
96,WBA,2017-11-03,66.87,66.87
97,WBA,2017-11-02,66.78,66.78
98,WBA,2017-11-01,67.01,67.01
99,WBA,2017-10-31,66.27,66.27
100,WBA,2017-10-30,66.26,66.26
101,WBA,2017-10-27,64.48,64.48
102,WBA,2017-10-26,67.11,67.11
103,WBA,2017-10-25,69.36,69.36
104,WBA,2017-10-24,67.29,67.29
105,WBA,2017-10-23,67.51,67.51
106,WBA,2017-10-20,68.06,68.06
107,WBA,2017-10-19,67.2,67.2
108,WBA,2017-10-18,67.74,67.74
109,WBA,2017-10-17,67.4,67.4
110,WBA,2017-10-16,67.31,67.31
111,WBA,2017-10-13,67.56,67.56
