None,ticker,date,close,adj_close
0,WCG,2018-03-27,190.45,190.45
1,WCG,2018-03-26,191.8,191.8
2,WCG,2018-03-23,188.41,188.41
3,WCG,2018-03-22,190.45,190.45
4,WCG,2018-03-21,197.94,197.94
5,WCG,2018-03-20,192.55,192.55
6,WCG,2018-03-19,192.62,192.62
7,WCG,2018-03-16,194.75,194.75
8,WCG,2018-03-15,193.57,193.57
9,WCG,2018-03-14,194.27,194.27
10,WCG,2018-03-13,194.31,194.31
11,WCG,2018-03-12,193.72,193.72
12,WCG,2018-03-09,195.23,195.23
13,WCG,2018-03-08,191.85,191.85
14,WCG,2018-03-07,194.47,194.47
15,WCG,2018-03-06,195.59,195.59
16,WCG,2018-03-05,195.13,195.13
17,WCG,2018-03-02,193.95,193.95
18,WCG,2018-03-01,193.51,193.51
19,WCG,2018-02-28,193.91,193.91
20,WCG,2018-02-27,194.94,194.94
21,WCG,2018-02-26,194.79,194.79
22,WCG,2018-02-23,192.05,192.05
23,WCG,2018-02-22,192.02,192.02
24,WCG,2018-02-21,193.64,193.64
25,WCG,2018-02-20,194.65,194.65
26,WCG,2018-02-16,193.21,193.21
27,WCG,2018-02-15,191.96,191.96
28,WCG,2018-02-14,194.72,194.72
29,WCG,2018-02-13,194.33,194.33
30,WCG,2018-02-12,194.92,194.92
31,WCG,2018-02-09,193.69,193.69
32,WCG,2018-02-08,190.1,190.1
33,WCG,2018-02-07,195.04,195.04
34,WCG,2018-02-06,195.65,195.65
35,WCG,2018-02-05,196.5,196.5
36,WCG,2018-02-02,204.73,204.73
37,WCG,2018-02-01,211.05,211.05
38,WCG,2018-01-31,210.38,210.38
39,WCG,2018-01-30,210.59,210.59
40,WCG,2018-01-29,217.66,217.66
41,WCG,2018-01-26,218.61,218.61
42,WCG,2018-01-25,216.6,216.6
43,WCG,2018-01-24,215.77,215.77
44,WCG,2018-01-23,218.77,218.77
45,WCG,2018-01-22,218.35,218.35
46,WCG,2018-01-19,218.79,218.79
47,WCG,2018-01-18,215.93,215.93
48,WCG,2018-01-17,213.83,213.83
49,WCG,2018-01-16,210.2,210.2
50,WCG,2018-01-12,211.47,211.47
51,WCG,2018-01-11,205.89,205.89
52,WCG,2018-01-10,205.66,205.66
53,WCG,2018-01-09,206.85,206.85
54,WCG,2018-01-08,205.99,205.99
55,WCG,2018-01-05,211.32,211.32
56,WCG,2018-01-04,206.51,206.51
57,WCG,2018-01-03,203.32,203.32
58,WCG,2018-01-02,202.55,202.55
59,WCG,2017-12-29,201.11,201.11
60,WCG,2017-12-28,203.03,203.03
61,WCG,2017-12-27,201.76,201.76
62,WCG,2017-12-26,200.15,200.15
63,WCG,2017-12-22,199.61,199.61
64,WCG,2017-12-21,199.73,199.73
65,WCG,2017-12-20,200.71,200.71
66,WCG,2017-12-19,198.92,198.92
67,WCG,2017-12-18,193.69,193.69
68,WCG,2017-12-15,201.65,201.65
