None,ticker,date,close,adj_close
0,WDC,2018-03-27,92.18,92.18
1,WDC,2018-03-26,94.27,94.27
2,WDC,2018-03-23,92.34,92.34
3,WDC,2018-03-22,100.83,100.83
4,WDC,2018-03-21,102.84,102.84
5,WDC,2018-03-20,103.67,103.67
6,WDC,2018-03-19,103.16,103.16
7,WDC,2018-03-16,106.45,106.45
8,WDC,2018-03-15,102.23,102.23
9,WDC,2018-03-14,103.2,103.2
10,WDC,2018-03-13,102.91,102.91
11,WDC,2018-03-12,102.86,102.86
12,WDC,2018-03-09,99.55,99.55
13,WDC,2018-03-08,97.22,97.22
14,WDC,2018-03-07,95.27,95.27
15,WDC,2018-03-06,93.8,93.8
16,WDC,2018-03-05,89.95,89.95
17,WDC,2018-03-02,88.25,88.25
18,WDC,2018-03-01,87.27,87.27
19,WDC,2018-02-28,87.04,87.04
20,WDC,2018-02-27,87.19,87.19
21,WDC,2018-02-26,89.22,89.22
22,WDC,2018-02-23,89.14,89.14
23,WDC,2018-02-22,85.53,85.53
24,WDC,2018-02-21,85.67,85.67
25,WDC,2018-02-20,86.46,86.46
26,WDC,2018-02-16,84.91,84.91
27,WDC,2018-02-15,84.54,84.54
28,WDC,2018-02-14,83.33,83.33
29,WDC,2018-02-13,82.97,82.97
30,WDC,2018-02-12,82.34,82.34
31,WDC,2018-02-09,80.55,80.55
32,WDC,2018-02-08,80.09,80.09
33,WDC,2018-02-07,83.71,83.71
34,WDC,2018-02-06,84.25,84.25
35,WDC,2018-02-05,81.8,81.8
36,WDC,2018-02-02,85.25,85.25
37,WDC,2018-02-01,87.6,87.6
38,WDC,2018-01-31,88.985,88.985
39,WDC,2018-01-30,87.08,87.08
40,WDC,2018-01-29,87.45,87.45
41,WDC,2018-01-26,89.6,89.6
42,WDC,2018-01-25,87.99,87.99
43,WDC,2018-01-24,86.97,86.97
44,WDC,2018-01-23,87.34,87.34
45,WDC,2018-01-22,86.24,86.24
46,WDC,2018-01-19,85.6,85.6
47,WDC,2018-01-18,86.4,86.4
48,WDC,2018-01-17,85.16,85.16
49,WDC,2018-01-16,83.88,83.88
