None,ticker,date,close,adj_close
0,WEC,2018-03-27,62.3,62.3
1,WEC,2018-03-26,61.15,61.15
2,WEC,2018-03-23,60.5,60.5
3,WEC,2018-03-22,61.42,61.42
4,WEC,2018-03-21,61.29,61.29
5,WEC,2018-03-20,61.54,61.54
6,WEC,2018-03-19,61.77,61.77
7,WEC,2018-03-16,62.45,62.45
8,WEC,2018-03-15,61.97,61.97
9,WEC,2018-03-14,61.3,61.3
10,WEC,2018-03-13,60.8,60.8
11,WEC,2018-03-12,60.89,60.89
12,WEC,2018-03-09,60.55,60.55
13,WEC,2018-03-08,60.28,60.28
14,WEC,2018-03-07,59.66,59.66
15,WEC,2018-03-06,60.08,60.08
16,WEC,2018-03-05,60.91,60.91
17,WEC,2018-03-02,59.47,59.47
18,WEC,2018-03-01,59.63,59.63
19,WEC,2018-02-28,59.92,59.92
20,WEC,2018-02-27,60.57,60.57
21,WEC,2018-02-26,61.62,61.62
22,WEC,2018-02-23,61.85,61.85
23,WEC,2018-02-22,60.34,60.34
24,WEC,2018-02-21,60.12,60.12
25,WEC,2018-02-20,60.9,60.9
26,WEC,2018-02-16,61.92,61.92
27,WEC,2018-02-15,61.32,61.32
28,WEC,2018-02-14,60.14,60.14
29,WEC,2018-02-13,61.11,61.11
30,WEC,2018-02-12,61.28,61.28
31,WEC,2018-02-09,61.1,61.1
32,WEC,2018-02-08,59.5,59.5
33,WEC,2018-02-07,59.86,59.86
34,WEC,2018-02-06,60.19,60.19
35,WEC,2018-02-05,61.17,61.17
36,WEC,2018-02-02,62.01,62.01
37,WEC,2018-02-01,62.6,62.6
38,WEC,2018-01-31,64.3,64.3
39,WEC,2018-01-30,63.32,63.32
40,WEC,2018-01-29,63.02,63.02
41,WEC,2018-01-26,64.01,64.01
42,WEC,2018-01-25,64.14,64.14
43,WEC,2018-01-24,63.24,63.24
44,WEC,2018-01-23,63.58,63.58
45,WEC,2018-01-22,63.01,63.01
46,WEC,2018-01-19,63.11,63.11
47,WEC,2018-01-18,63.27,63.27
48,WEC,2018-01-17,63.57,63.57
49,WEC,2018-01-16,63.15,63.15
50,WEC,2018-01-12,63.63,63.63
51,WEC,2018-01-11,63.58,63.58
52,WEC,2018-01-10,63.67,63.67
53,WEC,2018-01-09,64.91,64.91
54,WEC,2018-01-08,65.43,65.43
55,WEC,2018-01-05,64.87,64.87
56,WEC,2018-01-04,65.31,65.31
57,WEC,2018-01-03,65.54,65.54
58,WEC,2018-01-02,65.77,65.77
59,WEC,2017-12-29,66.43,66.43
60,WEC,2017-12-28,66.43,66.43
61,WEC,2017-12-27,65.88,65.88
62,WEC,2017-12-26,65.36,65.36
63,WEC,2017-12-22,65.72,65.72
64,WEC,2017-12-21,65.62,65.62
65,WEC,2017-12-20,65.94,65.94
66,WEC,2017-12-19,66.13,66.13
67,WEC,2017-12-18,67.47,67.47
68,WEC,2017-12-15,68.17,68.17
69,WEC,2017-12-14,67.7,67.7
70,WEC,2017-12-13,67.91,67.91
71,WEC,2017-12-12,67.66,67.66
72,WEC,2017-12-11,69.17,69.17
73,WEC,2017-12-08,68.96,68.96
74,WEC,2017-12-07,68.72,68.72
