None,ticker,date,close,adj_close
0,WFC,2018-03-27,51.1,51.1
1,WFC,2018-03-26,52.29,52.29
2,WFC,2018-03-23,50.98,50.98
3,WFC,2018-03-22,52.53,52.53
4,WFC,2018-03-21,54.79,54.79
5,WFC,2018-03-20,54.9,54.9
6,WFC,2018-03-19,55.48,55.48
7,WFC,2018-03-16,55.9,55.9
8,WFC,2018-03-15,56.83,56.83
9,WFC,2018-03-14,56.63,56.63
10,WFC,2018-03-13,57.56,57.56
11,WFC,2018-03-12,58.02,58.02
12,WFC,2018-03-09,58.23,58.23
13,WFC,2018-03-08,56.72,56.72
14,WFC,2018-03-07,56.6,56.6
15,WFC,2018-03-06,57.07,57.07
16,WFC,2018-03-05,57.59,57.59
17,WFC,2018-03-02,57.41,57.41
18,WFC,2018-03-01,57.31,57.31
19,WFC,2018-02-28,58.41,58.41
20,WFC,2018-02-27,59.21,59.21
21,WFC,2018-02-26,59.97,59.97
22,WFC,2018-02-23,59.17,59.17
23,WFC,2018-02-22,58.81,58.81
24,WFC,2018-02-21,59.73,59.73
25,WFC,2018-02-20,59.95,59.95
26,WFC,2018-02-16,59.95,59.95
27,WFC,2018-02-15,60.02,60.02
28,WFC,2018-02-14,59.55,59.55
29,WFC,2018-02-13,58.0,58.0
30,WFC,2018-02-12,56.5,56.5
31,WFC,2018-02-09,56.13,56.13
32,WFC,2018-02-08,55.4,55.4
33,WFC,2018-02-07,57.54,57.54
34,WFC,2018-02-06,57.28,57.28
35,WFC,2018-02-05,58.16,58.16
36,WFC,2018-02-02,64.07,64.07
37,WFC,2018-02-01,65.51,65.51
38,WFC,2018-01-31,65.78,65.78
39,WFC,2018-01-30,65.28,65.28
40,WFC,2018-01-29,65.82,65.82
41,WFC,2018-01-26,65.93,65.93
42,WFC,2018-01-25,65.65,65.65
43,WFC,2018-01-24,65.48,65.48
44,WFC,2018-01-23,64.49,64.49
45,WFC,2018-01-22,64.73,64.73
46,WFC,2018-01-19,64.22,64.22
47,WFC,2018-01-18,63.95,63.95
48,WFC,2018-01-17,63.88,63.88
49,WFC,2018-01-16,62.5,62.5
50,WFC,2018-01-12,62.55,62.55
51,WFC,2018-01-11,63.01,63.01
52,WFC,2018-01-10,63.12,63.12
53,WFC,2018-01-09,62.26,62.26
54,WFC,2018-01-08,62.04,62.04
55,WFC,2018-01-05,62.75,62.75
56,WFC,2018-01-04,62.33,62.33
57,WFC,2018-01-03,61.56,61.56
58,WFC,2018-01-02,61.09,61.09
59,WFC,2017-12-29,60.67,60.67
60,WFC,2017-12-28,61.3,61.3
61,WFC,2017-12-27,60.95,60.95
62,WFC,2017-12-26,61.13,61.13
63,WFC,2017-12-22,61.55,61.55
64,WFC,2017-12-21,61.61,61.61
65,WFC,2017-12-20,60.14,60.14
66,WFC,2017-12-19,60.36,60.36
67,WFC,2017-12-18,60.92,60.92
68,WFC,2017-12-15,59.87,59.87
69,WFC,2017-12-14,59.22,59.22
70,WFC,2017-12-13,59.4,59.4
71,WFC,2017-12-12,60.33,60.33
72,WFC,2017-12-11,58.87,58.87
73,WFC,2017-12-08,59.31,59.31
74,WFC,2017-12-07,59.36,59.36
75,WFC,2017-12-06,58.57,58.57
76,WFC,2017-12-05,58.55,58.55
77,WFC,2017-12-04,57.39,57.39
78,WFC,2017-12-01,56.2,56.2
79,WFC,2017-11-30,56.47,56.47
80,WFC,2017-11-29,56.68,56.68
81,WFC,2017-11-28,55.57,55.57
82,WFC,2017-11-27,53.95,53.95
