None,ticker,date,close,adj_close
0,WMB,2018-03-27,25.15,25.15
1,WMB,2018-03-26,25.45,25.45
2,WMB,2018-03-23,25.64,25.64
3,WMB,2018-03-22,26.48,26.48
4,WMB,2018-03-21,27.0,27.0
5,WMB,2018-03-20,26.2,26.2
6,WMB,2018-03-19,26.2,26.2
7,WMB,2018-03-16,27.21,27.21
8,WMB,2018-03-15,26.69,26.69
9,WMB,2018-03-14,28.14,28.14
10,WMB,2018-03-13,28.02,28.02
11,WMB,2018-03-12,28.26,28.26
12,WMB,2018-03-09,28.0,28.0
13,WMB,2018-03-08,27.15,27.15
14,WMB,2018-03-07,27.46,27.46
15,WMB,2018-03-06,27.63,27.63
16,WMB,2018-03-05,27.24,27.24
17,WMB,2018-03-02,27.11,27.11
18,WMB,2018-03-01,27.38,27.38
19,WMB,2018-02-28,27.76,27.76
20,WMB,2018-02-27,28.36,28.36
21,WMB,2018-02-26,28.41,28.41
22,WMB,2018-02-23,28.74,28.74
23,WMB,2018-02-22,28.56,28.56
24,WMB,2018-02-21,28.62,28.62
25,WMB,2018-02-20,29.09,29.09
26,WMB,2018-02-16,28.91,28.91
27,WMB,2018-02-15,29.98,29.98
28,WMB,2018-02-14,29.98,29.98
29,WMB,2018-02-13,29.77,29.77
30,WMB,2018-02-12,29.42,29.42
31,WMB,2018-02-09,28.61,28.61
32,WMB,2018-02-08,28.56,28.56
33,WMB,2018-02-07,30.0,30.0
34,WMB,2018-02-06,30.17,30.17
35,WMB,2018-02-05,29.48,29.48
36,WMB,2018-02-02,30.7,30.7
37,WMB,2018-02-01,31.68,31.68
38,WMB,2018-01-31,31.39,31.39
39,WMB,2018-01-30,31.51,31.51
40,WMB,2018-01-29,31.98,31.98
41,WMB,2018-01-26,32.53,32.53
42,WMB,2018-01-25,32.4,32.4
43,WMB,2018-01-24,33.1,33.1
44,WMB,2018-01-23,33.15,33.15
45,WMB,2018-01-22,32.85,32.85
46,WMB,2018-01-19,32.3,32.3
47,WMB,2018-01-18,32.28,32.28
48,WMB,2018-01-17,32.52,32.52
49,WMB,2018-01-16,32.59,32.59
50,WMB,2018-01-12,33.21,33.21
51,WMB,2018-01-11,33.1,33.1
52,WMB,2018-01-10,32.75,32.75
53,WMB,2018-01-09,32.73,32.73
54,WMB,2018-01-08,32.58,32.58
55,WMB,2018-01-05,32.46,32.46
56,WMB,2018-01-04,32.55,32.55
57,WMB,2018-01-03,32.0,32.0
58,WMB,2018-01-02,31.14,31.14
59,WMB,2017-12-29,30.49,30.49
60,WMB,2017-12-28,30.51,30.51
61,WMB,2017-12-27,30.39,30.39
62,WMB,2017-12-26,30.49,30.49
63,WMB,2017-12-22,30.31,30.31
64,WMB,2017-12-21,30.32,30.32
65,WMB,2017-12-20,30.05,30.05
66,WMB,2017-12-19,30.06,30.06
67,WMB,2017-12-18,30.14,30.14
68,WMB,2017-12-15,29.73,29.73
69,WMB,2017-12-14,29.68,29.68
70,WMB,2017-12-13,29.06,29.06
71,WMB,2017-12-12,29.08,29.08
72,WMB,2017-12-11,28.9,28.9
73,WMB,2017-12-08,28.55,28.55
74,WMB,2017-12-07,28.47,28.47
75,WMB,2017-12-06,28.69,28.69
76,WMB,2017-12-05,29.07,29.07
77,WMB,2017-12-04,29.05,29.05
78,WMB,2017-12-01,29.29,29.29
79,WMB,2017-11-30,29.05,29.05
80,WMB,2017-11-29,28.32,28.32
