None,ticker,date,close,adj_close
0,WU,2018-03-27,18.89,18.89
1,WU,2018-03-26,19.21,19.21
2,WU,2018-03-23,19.0,19.0
3,WU,2018-03-22,19.35,19.35
4,WU,2018-03-21,19.68,19.68
5,WU,2018-03-20,19.75,19.75
6,WU,2018-03-19,19.64,19.64
7,WU,2018-03-16,20.04,20.04
8,WU,2018-03-15,20.02,20.02
9,WU,2018-03-14,20.31,20.31
10,WU,2018-03-13,20.37,20.37
11,WU,2018-03-12,20.13,20.13
12,WU,2018-03-09,20.17,20.17
13,WU,2018-03-08,19.66,19.66
14,WU,2018-03-07,19.96,19.96
15,WU,2018-03-06,19.9,19.9
16,WU,2018-03-05,19.9,19.9
17,WU,2018-03-02,19.87,19.87
18,WU,2018-03-01,19.66,19.66
19,WU,2018-02-28,19.82,19.82
20,WU,2018-02-27,19.99,19.99
21,WU,2018-02-26,20.3,20.3
22,WU,2018-02-23,20.24,20.24
23,WU,2018-02-22,20.09,20.09
24,WU,2018-02-21,20.09,20.09
25,WU,2018-02-20,20.25,20.25
26,WU,2018-02-16,20.26,20.26
27,WU,2018-02-15,20.2,20.2
28,WU,2018-02-14,20.3,20.3
29,WU,2018-02-13,19.75,19.75
30,WU,2018-02-12,19.77,19.77
31,WU,2018-02-09,19.36,19.36
32,WU,2018-02-08,18.81,18.81
33,WU,2018-02-07,19.49,19.49
34,WU,2018-02-06,19.81,19.81
35,WU,2018-02-05,19.54,19.54
36,WU,2018-02-02,20.28,20.28
37,WU,2018-02-01,20.69,20.69
38,WU,2018-01-31,20.79,20.79
39,WU,2018-01-30,20.6,20.6
40,WU,2018-01-29,20.83,20.83
41,WU,2018-01-26,21.16,21.16
42,WU,2018-01-25,20.8,20.8
43,WU,2018-01-24,20.52,20.52
44,WU,2018-01-23,20.73,20.73
45,WU,2018-01-22,20.55,20.55
46,WU,2018-01-19,20.24,20.24
47,WU,2018-01-18,20.19,20.19
48,WU,2018-01-17,20.24,20.24
49,WU,2018-01-16,20.62,20.62
50,WU,2018-01-12,21.12,21.12
51,WU,2018-01-11,21.18,21.18
52,WU,2018-01-10,21.23,21.23
53,WU,2018-01-09,21.04,21.04
54,WU,2018-01-08,21.49,21.49
55,WU,2018-01-05,20.6,20.6
56,WU,2018-01-04,19.45,19.45
57,WU,2018-01-03,19.07,19.07
