None,ticker,date,close,adj_close
0,WY,2018-03-27,34.9,34.9
1,WY,2018-03-26,34.53,34.53
2,WY,2018-03-23,34.05,34.05
3,WY,2018-03-22,35.2,35.2
4,WY,2018-03-21,35.38,35.38
5,WY,2018-03-20,35.39,35.39
6,WY,2018-03-19,35.53,35.53
7,WY,2018-03-16,35.82,35.82
8,WY,2018-03-15,35.62,35.62
9,WY,2018-03-14,35.24,35.24
10,WY,2018-03-13,35.55,35.55
11,WY,2018-03-12,35.12,35.12
12,WY,2018-03-09,34.86,34.86
13,WY,2018-03-08,34.47,34.47
14,WY,2018-03-07,34.28,34.28
15,WY,2018-03-06,34.23,34.23
16,WY,2018-03-05,34.01,34.01
17,WY,2018-03-02,34.65,34.65
18,WY,2018-03-01,34.36,34.36
19,WY,2018-02-28,35.03,35.03
20,WY,2018-02-27,35.26,35.26
21,WY,2018-02-26,35.66,35.66
22,WY,2018-02-23,35.4,35.4
23,WY,2018-02-22,34.86,34.86
24,WY,2018-02-21,34.76,34.76
25,WY,2018-02-20,34.94,34.94
26,WY,2018-02-16,35.18,35.18
27,WY,2018-02-15,34.95,34.95
28,WY,2018-02-14,34.96,34.96
29,WY,2018-02-13,34.21,34.21
30,WY,2018-02-12,34.36,34.36
31,WY,2018-02-09,33.79,33.79
32,WY,2018-02-08,33.6,33.6
33,WY,2018-02-07,34.52,34.52
34,WY,2018-02-06,34.68,34.68
35,WY,2018-02-05,34.79,34.79
36,WY,2018-02-02,35.68,35.68
37,WY,2018-02-01,37.16,37.16
38,WY,2018-01-31,37.54,37.54
39,WY,2018-01-30,36.79,36.79
40,WY,2018-01-29,37.07,37.07
41,WY,2018-01-26,37.85,37.85
42,WY,2018-01-25,37.73,37.73
43,WY,2018-01-24,37.59,37.59
44,WY,2018-01-23,36.61,36.61
45,WY,2018-01-22,35.98,35.98
46,WY,2018-01-19,35.8,35.8
47,WY,2018-01-18,35.3,35.3
48,WY,2018-01-17,35.21,35.21
49,WY,2018-01-16,34.76,34.76
50,WY,2018-01-12,35.26,35.26
51,WY,2018-01-11,34.99,34.99
52,WY,2018-01-10,34.83,34.83
53,WY,2018-01-09,35.26,35.26
54,WY,2018-01-08,35.5,35.5
55,WY,2018-01-05,35.27,35.27
56,WY,2018-01-04,35.32,35.32
57,WY,2018-01-03,35.61,35.61
58,WY,2018-01-02,35.3,35.3
59,WY,2017-12-29,35.26,35.26
60,WY,2017-12-28,35.26,35.26
61,WY,2017-12-27,35.1,35.1
62,WY,2017-12-26,35.06,35.06
63,WY,2017-12-22,34.94,34.94
64,WY,2017-12-21,35.21,35.21
65,WY,2017-12-20,35.42,35.42
66,WY,2017-12-19,35.48,35.48
67,WY,2017-12-18,36.01,36.01
68,WY,2017-12-15,35.84,35.84
69,WY,2017-12-14,35.65,35.65
70,WY,2017-12-13,35.76,35.76
71,WY,2017-12-12,35.63,35.63
72,WY,2017-12-11,35.44,35.44
73,WY,2017-12-08,35.43,35.43
74,WY,2017-12-07,35.62,35.62
75,WY,2017-12-06,35.24,35.24
76,WY,2017-12-05,35.19,35.19
77,WY,2017-12-04,35.13,35.13
78,WY,2017-12-01,35.4,35.4
79,WY,2017-11-30,35.38,35.38
80,WY,2017-11-29,35.37,35.37
81,WY,2017-11-28,35.68,35.68
82,WY,2017-11-27,35.53,35.53
83,WY,2017-11-24,36.17,36.17
84,WY,2017-11-22,36.19,36.19
85,WY,2017-11-21,36.11,36.11
86,WY,2017-11-20,36.11,36.11
87,WY,2017-11-17,36.28,36.28
88,WY,2017-11-16,36.55,36.55
89,WY,2017-11-15,36.55,36.55
90,WY,2017-11-14,36.2,36.2
91,WY,2017-11-13,35.96,35.96
92,WY,2017-11-10,36.14,36.14
