None,ticker,date,close,adj_close
0,WYNN,2018-03-27,177.73,177.73
1,WYNN,2018-03-26,177.0,177.0
2,WYNN,2018-03-23,175.88,175.88
3,WYNN,2018-03-22,175.54,175.54
4,WYNN,2018-03-21,178.92,178.92
5,WYNN,2018-03-20,184.19,184.19
6,WYNN,2018-03-19,181.62,181.62
7,WYNN,2018-03-16,184.76,184.76
8,WYNN,2018-03-15,186.21,186.21
9,WYNN,2018-03-14,185.22,185.22
10,WYNN,2018-03-13,185.41,185.41
11,WYNN,2018-03-12,191.79,191.79
12,WYNN,2018-03-09,188.89,188.89
13,WYNN,2018-03-08,179.11,179.11
14,WYNN,2018-03-07,168.41,168.41
15,WYNN,2018-03-06,166.78,166.78
16,WYNN,2018-03-05,165.06,165.06
17,WYNN,2018-03-02,163.06,163.06
18,WYNN,2018-03-01,163.42,163.42
19,WYNN,2018-02-28,167.5,167.5
20,WYNN,2018-02-27,168.75,168.75
21,WYNN,2018-02-26,169.0,169.0
22,WYNN,2018-02-23,167.13,167.13
23,WYNN,2018-02-22,164.19,164.19
24,WYNN,2018-02-21,166.36,166.36
25,WYNN,2018-02-20,164.92,164.92
26,WYNN,2018-02-16,164.28,164.28
27,WYNN,2018-02-15,164.01,164.01
28,WYNN,2018-02-14,164.16,164.16
29,WYNN,2018-02-13,164.66,164.66
30,WYNN,2018-02-12,162.92,162.92
31,WYNN,2018-02-09,166.05,166.05
32,WYNN,2018-02-08,169.26,169.26
33,WYNN,2018-02-07,177.32,177.32
34,WYNN,2018-02-06,163.22,163.22
35,WYNN,2018-02-05,165.81,165.81
36,WYNN,2018-02-02,166.585,166.585
37,WYNN,2018-02-01,170.43,170.43
38,WYNN,2018-01-31,165.5,165.5
39,WYNN,2018-01-30,171.45,171.45
40,WYNN,2018-01-29,163.48,163.48
41,WYNN,2018-01-26,180.29,180.29
42,WYNN,2018-01-25,200.6,200.6
43,WYNN,2018-01-24,200.58,200.58
44,WYNN,2018-01-23,194.95,194.95
45,WYNN,2018-01-22,195.23,195.23
46,WYNN,2018-01-19,179.64,179.64
47,WYNN,2018-01-18,175.48,175.48
48,WYNN,2018-01-17,173.59,173.59
49,WYNN,2018-01-16,168.73,168.73
50,WYNN,2018-01-12,165.54,165.54
51,WYNN,2018-01-11,162.5,162.5
52,WYNN,2018-01-10,162.0,162.0
53,WYNN,2018-01-09,163.4,163.4
54,WYNN,2018-01-08,162.3,162.3
55,WYNN,2018-01-05,164.49,164.49
56,WYNN,2018-01-04,163.4,163.4
57,WYNN,2018-01-03,162.52,162.52
58,WYNN,2018-01-02,164.27,164.27
59,WYNN,2017-12-29,168.59,168.59
60,WYNN,2017-12-28,168.48,168.48
61,WYNN,2017-12-27,170.21,170.21
62,WYNN,2017-12-26,168.62,168.62
63,WYNN,2017-12-22,167.75,167.75
64,WYNN,2017-12-21,168.51,168.51
65,WYNN,2017-12-20,168.95,168.95
66,WYNN,2017-12-19,166.14,166.14
67,WYNN,2017-12-18,165.13,165.13
68,WYNN,2017-12-15,166.03,166.03
69,WYNN,2017-12-14,165.0,165.0
70,WYNN,2017-12-13,164.85,164.85
71,WYNN,2017-12-12,162.31,162.31
72,WYNN,2017-12-11,164.26,164.26
73,WYNN,2017-12-08,159.54,159.54
74,WYNN,2017-12-07,158.92,158.92
75,WYNN,2017-12-06,157.85,157.85
76,WYNN,2017-12-05,159.45,159.45
77,WYNN,2017-12-04,158.07,158.07
78,WYNN,2017-12-01,159.01,159.01
79,WYNN,2017-11-30,158.08,158.08
80,WYNN,2017-11-29,156.07,156.07
81,WYNN,2017-11-28,157.5,157.5
82,WYNN,2017-11-27,158.49,158.49
83,WYNN,2017-11-24,159.42,159.42
84,WYNN,2017-11-22,158.69,158.69
85,WYNN,2017-11-21,158.57,158.57
86,WYNN,2017-11-20,156.96,156.96
87,WYNN,2017-11-17,152.28,152.28
88,WYNN,2017-11-16,153.2,153.2
89,WYNN,2017-11-15,151.62,151.62
90,WYNN,2017-11-14,153.6,153.09513541941
91,WYNN,2017-11-13,155.24,154.72974493821
92,WYNN,2017-11-10,154.03,153.52372206153
93,WYNN,2017-11-09,153.59,153.08516828819
94,WYNN,2017-11-07,152.19,151.68976991849
95,WYNN,2017-11-06,151.39,150.89239942151
96,WYNN,2017-11-03,150.09,149.59667236392
97,WYNN,2017-11-02,150.05,149.55680383907
98,WYNN,2017-11-01,151.55,151.0518735209
99,WYNN,2017-10-31,147.49,147.00521824875
100,WYNN,2017-10-30,141.21,140.74585984749
101,WYNN,2017-10-27,143.15,142.67948330266
102,WYNN,2017-10-26,145.33,144.85231790692
103,WYNN,2017-10-25,143.51,143.0383000263
104,WYNN,2017-10-24,144.91,144.433698396
105,WYNN,2017-10-23,144.76,144.28419142782
106,WYNN,2017-10-20,144.44,143.96524322903
107,WYNN,2017-10-19,145.53,145.05166053116
108,WYNN,2017-10-18,145.33,144.85231790692
109,WYNN,2017-10-17,146.4,145.91880094662
110,WYNN,2017-10-16,146.81,146.32745332632
111,WYNN,2017-10-13,142.33,141.86217854326
112,WYNN,2017-10-12,140.74,140.27740468052
113,WYNN,2017-10-11,143.27,142.7990888772
114,WYNN,2017-10-10,142.54,142.07148829871
115,WYNN,2017-10-09,143.37,142.89876018932
116,WYNN,2017-10-06,143.94,143.46688666842
117,WYNN,2017-10-05,146.96,146.4769602945
118,WYNN,2017-10-04,146.97,146.48692742572
119,WYNN,2017-10-03,147.09,146.60653300026
120,WYNN,2017-10-02,147.07,146.58659873784
121,WYNN,2017-09-29,148.92,148.4305180121
122,WYNN,2017-09-28,144.38,143.90544044176
123,WYNN,2017-09-27,145.28,144.80248225085
124,WYNN,2017-09-26,144.62,144.14465159085
125,WYNN,2017-09-25,141.13,140.66612279779
126,WYNN,2017-09-22,144.91,144.433698396
127,WYNN,2017-09-21,145.4,144.9220878254
128,WYNN,2017-09-20,145.69,145.21113463055
129,WYNN,2017-09-19,147.01,146.52679595057
130,WYNN,2017-09-18,143.84,143.3672153563
131,WYNN,2017-09-15,143.22,142.74925322114
132,WYNN,2017-09-14,144.1,143.62636076781
133,WYNN,2017-09-13,145.47,144.99185774389
134,WYNN,2017-09-12,145.92,145.44037864844
135,WYNN,2017-09-11,145.9,145.42044438601
136,WYNN,2017-09-08,144.43,143.95527609782
137,WYNN,2017-09-07,145.75,145.27093741783
