None,ticker,date,close,adj_close
0,XLNX,2018-03-27,72.08,72.08
1,XLNX,2018-03-26,74.2,74.2
2,XLNX,2018-03-23,71.87,71.87
3,XLNX,2018-03-22,73.94,73.94
4,XLNX,2018-03-21,75.67,75.67
5,XLNX,2018-03-20,76.19,76.19
6,XLNX,2018-03-19,74.99,74.99
7,XLNX,2018-03-16,76.03,76.03
8,XLNX,2018-03-15,75.83,75.83
9,XLNX,2018-03-14,76.01,76.01
10,XLNX,2018-03-13,76.14,76.14
11,XLNX,2018-03-12,77.07,77.07
12,XLNX,2018-03-09,76.2,76.2
13,XLNX,2018-03-08,75.69,75.69
14,XLNX,2018-03-07,73.94,73.94
15,XLNX,2018-03-06,73.98,73.98
16,XLNX,2018-03-05,72.8,72.8
17,XLNX,2018-03-02,72.23,72.23
18,XLNX,2018-03-01,70.8,70.8
19,XLNX,2018-02-28,71.25,71.25
20,XLNX,2018-02-27,71.44,71.44
21,XLNX,2018-02-26,71.49,71.49
22,XLNX,2018-02-23,70.035,70.035
23,XLNX,2018-02-22,68.93,68.93
24,XLNX,2018-02-21,68.46,68.46
25,XLNX,2018-02-20,69.19,69.19
26,XLNX,2018-02-16,67.09,67.09
27,XLNX,2018-02-15,67.22,67.22
28,XLNX,2018-02-14,66.86,66.86
29,XLNX,2018-02-13,65.29,65.29
30,XLNX,2018-02-12,65.12,65.12
31,XLNX,2018-02-09,65.35,65.35
32,XLNX,2018-02-08,62.83,62.83
33,XLNX,2018-02-07,66.97,66.97
34,XLNX,2018-02-06,68.99,68.99
35,XLNX,2018-02-05,67.35,67.35
36,XLNX,2018-02-02,70.64,70.64
37,XLNX,2018-02-01,72.49,72.49
38,XLNX,2018-01-31,73.02,73.02
39,XLNX,2018-01-30,72.13,72.13
40,XLNX,2018-01-29,72.18,72.18
41,XLNX,2018-01-26,71.94,71.94
42,XLNX,2018-01-25,69.74,69.74
43,XLNX,2018-01-24,73.48,73.48
44,XLNX,2018-01-23,75.54,75.54
45,XLNX,2018-01-22,75.44,75.44
46,XLNX,2018-01-19,75.71,75.71
47,XLNX,2018-01-18,76.3,76.3
48,XLNX,2018-01-17,75.86,75.86
49,XLNX,2018-01-16,73.77,73.77
50,XLNX,2018-01-12,74.66,74.66
51,XLNX,2018-01-11,74.34,74.34
52,XLNX,2018-01-10,74.1,74.1
53,XLNX,2018-01-09,74.84,74.84
54,XLNX,2018-01-08,74.64,74.64
55,XLNX,2018-01-05,74.15,74.15
56,XLNX,2018-01-04,70.49,70.49
57,XLNX,2018-01-03,69.24,69.24
58,XLNX,2018-01-02,67.88,67.88
59,XLNX,2017-12-29,67.42,67.42
60,XLNX,2017-12-28,68.5,68.5
61,XLNX,2017-12-27,67.91,67.91
62,XLNX,2017-12-26,67.6,67.6
63,XLNX,2017-12-22,67.92,67.92
64,XLNX,2017-12-21,68.37,68.37
65,XLNX,2017-12-20,68.99,68.99
66,XLNX,2017-12-19,69.8,69.8
67,XLNX,2017-12-18,69.54,69.54
68,XLNX,2017-12-15,67.98,67.98
69,XLNX,2017-12-14,68.07,68.07
70,XLNX,2017-12-13,68.03,68.03
71,XLNX,2017-12-12,67.68,67.68
72,XLNX,2017-12-11,68.38,68.38
73,XLNX,2017-12-08,68.54,68.54
74,XLNX,2017-12-07,69.0,69.0
75,XLNX,2017-12-06,68.39,68.39
76,XLNX,2017-12-05,68.42,68.42
77,XLNX,2017-12-04,68.16,68.16
78,XLNX,2017-12-01,68.2301,68.2301
79,XLNX,2017-11-30,69.51,69.51
80,XLNX,2017-11-29,69.38,69.38
81,XLNX,2017-11-28,72.17,72.17
82,XLNX,2017-11-27,72.49,72.49
83,XLNX,2017-11-24,72.88,72.88
84,XLNX,2017-11-22,72.24,72.24
85,XLNX,2017-11-21,73.21,73.21
86,XLNX,2017-11-20,72.64,72.64
87,XLNX,2017-11-17,71.81,71.81
88,XLNX,2017-11-16,72.67,72.67
89,XLNX,2017-11-15,70.94,70.94
90,XLNX,2017-11-14,72.05,72.05
91,XLNX,2017-11-13,72.33,72.33
92,XLNX,2017-11-10,71.87,71.87
93,XLNX,2017-11-09,70.76,70.76
94,XLNX,2017-11-07,73.91,73.91
95,XLNX,2017-11-06,74.5,74.5
96,XLNX,2017-11-03,72.8,72.8
97,XLNX,2017-11-02,72.48,72.48
98,XLNX,2017-11-01,73.04,73.04
99,XLNX,2017-10-31,73.69,73.69
100,XLNX,2017-10-30,73.05,73.05
101,XLNX,2017-10-27,72.76,72.76
102,XLNX,2017-10-26,70.63,70.63
103,XLNX,2017-10-25,70.72,70.72
104,XLNX,2017-10-24,71.61,71.61
105,XLNX,2017-10-23,71.68,71.68
106,XLNX,2017-10-20,72.17,72.17
107,XLNX,2017-10-19,72.42,72.42
108,XLNX,2017-10-18,72.07,72.07
109,XLNX,2017-10-17,72.37,72.37
110,XLNX,2017-10-16,72.66,72.66
111,XLNX,2017-10-13,72.81,72.81
112,XLNX,2017-10-12,72.47,72.47
113,XLNX,2017-10-11,72.76,72.76
114,XLNX,2017-10-10,72.48,72.48
115,XLNX,2017-10-09,72.58,72.58
116,XLNX,2017-10-06,72.01,72.01
117,XLNX,2017-10-05,71.53,71.53
118,XLNX,2017-10-04,71.13,71.13
119,XLNX,2017-10-03,71.15,71.15
120,XLNX,2017-10-02,70.47,70.47
121,XLNX,2017-09-29,70.83,70.83
122,XLNX,2017-09-28,70.19,70.19
123,XLNX,2017-09-27,70.43,70.43
124,XLNX,2017-09-26,69.52,69.52
125,XLNX,2017-09-25,69.45,69.45
126,XLNX,2017-09-22,69.33,69.33
127,XLNX,2017-09-21,68.91,68.91
128,XLNX,2017-09-20,69.49,69.49
129,XLNX,2017-09-19,69.82,69.82
130,XLNX,2017-09-18,69.7,69.7
131,XLNX,2017-09-15,68.33,68.33
132,XLNX,2017-09-14,67.84,67.84
133,XLNX,2017-09-13,66.97,66.97
134,XLNX,2017-09-12,65.0,65.0
135,XLNX,2017-09-11,64.72,64.72
136,XLNX,2017-09-08,63.67,63.67
137,XLNX,2017-09-07,64.32,64.32
138,XLNX,2017-09-06,64.11,64.11
139,XLNX,2017-09-05,64.51,64.51
140,XLNX,2017-09-01,65.99,65.99
141,XLNX,2017-08-31,66.06,66.06
142,XLNX,2017-08-30,66.09,66.09
143,XLNX,2017-08-29,65.76,65.76
144,XLNX,2017-08-28,65.18,65.18
145,XLNX,2017-08-25,64.75,64.75
146,XLNX,2017-08-24,64.23,64.23
147,XLNX,2017-08-23,64.01,64.01
148,XLNX,2017-08-22,61.34,61.34
149,XLNX,2017-08-21,61.13,61.13
150,XLNX,2017-08-18,61.02,61.02
151,XLNX,2017-08-17,61.32,61.32
152,XLNX,2017-08-16,62.71,62.71
153,XLNX,2017-08-15,62.64,62.64
154,XLNX,2017-08-14,63.17,63.17
155,XLNX,2017-08-11,62.42,62.42
156,XLNX,2017-08-10,61.77,61.77
157,XLNX,2017-08-09,62.74,62.74
158,XLNX,2017-08-08,63.16,63.16
159,XLNX,2017-08-07,63.83,63.478236498189
160,XLNX,2017-08-04,63.28,62.931267516926
161,XLNX,2017-08-03,62.9,62.553361675327
162,XLNX,2017-08-02,62.25,61.90694378838
163,XLNX,2017-08-01,63.56,63.209724452842
164,XLNX,2017-07-31,63.26,62.91137773579
165,XLNX,2017-07-28,63.67,63.319118249095
166,XLNX,2017-07-27,63.84,63.488181388758
167,XLNX,2017-07-26,65.32,64.960025192883
168,XLNX,2017-07-25,64.46,64.104764603999
169,XLNX,2017-07-24,64.26,63.905866792631
170,XLNX,2017-07-21,64.88,64.522450007873
171,XLNX,2017-07-20,65.81,65.447324830735
172,XLNX,2017-07-19,65.59,65.22853723823
173,XLNX,2017-07-18,65.63,65.268316800504
174,XLNX,2017-07-17,65.86,65.497049283577
175,XLNX,2017-07-14,66.25,65.884900015746
176,XLNX,2017-07-13,67.85,67.476082506692
177,XLNX,2017-07-12,68.28,67.903712801134
178,XLNX,2017-07-11,67.54,67.167790899071
179,XLNX,2017-07-10,67.18,66.809774838608
180,XLNX,2017-07-07,65.35,64.989859864588
181,XLNX,2017-07-06,64.45,64.094819713431
182,XLNX,2017-07-05,64.71,64.35338686821
183,XLNX,2017-07-03,63.26,62.91137773579
184,XLNX,2017-06-30,64.32,63.965536136042
185,XLNX,2017-06-29,64.18,63.826307668084
186,XLNX,2017-06-28,66.01,65.646222642104
187,XLNX,2017-06-27,65.1,64.741237600378
188,XLNX,2017-06-26,67.36,66.98878286884
189,XLNX,2017-06-23,67.53,67.157846008503
190,XLNX,2017-06-22,66.58,66.213081404503
191,XLNX,2017-06-21,66.12,65.755616438356
192,XLNX,2017-06-20,65.26,64.900355849473
