None,ticker,date,close,adj_close
0,XOM,2018-03-27,73.7,73.7
1,XOM,2018-03-26,74.0,74.0
2,XOM,2018-03-23,72.89,72.89
3,XOM,2018-03-22,73.5,73.5
4,XOM,2018-03-21,75.04,75.04
5,XOM,2018-03-20,73.99,73.99
6,XOM,2018-03-19,74.15,74.15
7,XOM,2018-03-16,75.12,75.12
8,XOM,2018-03-15,74.42,74.42
9,XOM,2018-03-14,73.6,73.6
10,XOM,2018-03-13,74.53,74.53
11,XOM,2018-03-12,75.24,75.24
12,XOM,2018-03-09,74.56,74.56
13,XOM,2018-03-08,74.12,74.12
14,XOM,2018-03-07,74.26,74.26
15,XOM,2018-03-06,76.18,76.18
16,XOM,2018-03-05,76.27,76.27
17,XOM,2018-03-02,75.55,75.55
18,XOM,2018-03-01,75.2,75.2
19,XOM,2018-02-28,75.74,75.74
20,XOM,2018-02-27,77.5,77.5
21,XOM,2018-02-26,78.84,78.84
22,XOM,2018-02-23,77.53,77.53
23,XOM,2018-02-22,75.86,75.86
24,XOM,2018-02-21,74.89,74.89
25,XOM,2018-02-20,75.75,75.75
26,XOM,2018-02-16,76.54,76.54
27,XOM,2018-02-15,76.21,76.21
28,XOM,2018-02-14,76.46,76.46
29,XOM,2018-02-13,76.3,76.3
30,XOM,2018-02-12,76.42,76.42
31,XOM,2018-02-09,75.78,75.78
32,XOM,2018-02-08,76.07,76.07
33,XOM,2018-02-07,76.94,76.94
34,XOM,2018-02-06,78.35,78.35
35,XOM,2018-02-05,79.72,79.72
36,XOM,2018-02-02,84.53,84.53
37,XOM,2018-02-01,89.07,89.07
38,XOM,2018-01-31,87.3,87.3
39,XOM,2018-01-30,86.78,86.78
40,XOM,2018-01-29,88.01,88.01
41,XOM,2018-01-26,89.0,89.0
42,XOM,2018-01-25,88.37,88.37
43,XOM,2018-01-24,88.53,88.53
44,XOM,2018-01-23,88.3,88.3
45,XOM,2018-01-22,88.25,88.25
46,XOM,2018-01-19,87.15,87.15
47,XOM,2018-01-18,87.43,87.43
48,XOM,2018-01-17,88.0,88.0
49,XOM,2018-01-16,86.97,86.97
50,XOM,2018-01-12,87.52,87.52
51,XOM,2018-01-11,86.93,86.93
52,XOM,2018-01-10,86.08,86.08
53,XOM,2018-01-09,86.77,86.77
54,XOM,2018-01-08,87.14,87.14
55,XOM,2018-01-05,86.75,86.75
56,XOM,2018-01-04,86.82,86.82
57,XOM,2018-01-03,86.7,86.7
58,XOM,2018-01-02,85.03,85.03
59,XOM,2017-12-29,83.64,83.64
60,XOM,2017-12-28,84.02,84.02
61,XOM,2017-12-27,83.9,83.9
62,XOM,2017-12-26,83.98,83.98
63,XOM,2017-12-22,83.97,83.97
64,XOM,2017-12-21,83.85,83.85
65,XOM,2017-12-20,82.87,82.87
66,XOM,2017-12-19,82.44,82.44
67,XOM,2017-12-18,82.94,82.94
68,XOM,2017-12-15,83.03,83.03
69,XOM,2017-12-14,82.9,82.9
70,XOM,2017-12-13,83.12,83.12
71,XOM,2017-12-12,82.76,82.76
72,XOM,2017-12-11,83.03,83.03
73,XOM,2017-12-08,82.66,82.66
74,XOM,2017-12-07,82.55,82.55
75,XOM,2017-12-06,82.28,82.28
76,XOM,2017-12-05,82.89,82.89
77,XOM,2017-12-04,83.57,83.57
78,XOM,2017-12-01,83.46,83.46
79,XOM,2017-11-30,83.29,83.29
80,XOM,2017-11-29,82.27,82.27
81,XOM,2017-11-28,81.67,81.67
82,XOM,2017-11-27,81.11,81.11
83,XOM,2017-11-24,81.42,81.42
84,XOM,2017-11-22,81.1,81.1
85,XOM,2017-11-21,80.87,80.87
86,XOM,2017-11-20,80.55,80.55
87,XOM,2017-11-17,80.24,80.24
88,XOM,2017-11-16,80.56,80.56
89,XOM,2017-11-15,81.21,81.21
90,XOM,2017-11-14,82.24,82.24
91,XOM,2017-11-13,82.89,82.89
92,XOM,2017-11-10,82.94,82.94
93,XOM,2017-11-09,83.97,83.97
94,XOM,2017-11-07,83.58,83.58
95,XOM,2017-11-06,83.75,83.75
96,XOM,2017-11-03,83.18,83.18
97,XOM,2017-11-02,83.53,83.53
98,XOM,2017-11-01,83.87,83.87
99,XOM,2017-10-31,83.35,83.35
100,XOM,2017-10-30,83.54,83.54
101,XOM,2017-10-27,83.71,83.71
102,XOM,2017-10-26,83.47,83.47
103,XOM,2017-10-25,83.2,83.2
104,XOM,2017-10-24,83.47,83.47
105,XOM,2017-10-23,83.24,83.24
106,XOM,2017-10-20,83.11,83.11
107,XOM,2017-10-19,82.74,82.74
108,XOM,2017-10-18,82.76,82.76
109,XOM,2017-10-17,82.96,82.96
110,XOM,2017-10-16,82.81,82.81
111,XOM,2017-10-13,82.41,82.41
112,XOM,2017-10-12,82.43,82.43
113,XOM,2017-10-11,82.6,82.6
114,XOM,2017-10-10,82.26,82.26
115,XOM,2017-10-09,82.03,82.03
116,XOM,2017-10-06,81.71,81.71
117,XOM,2017-10-05,82.02,82.02
118,XOM,2017-10-04,81.79,81.79
119,XOM,2017-10-03,81.76,81.76
120,XOM,2017-10-02,81.63,81.63
121,XOM,2017-09-29,81.98,81.98
122,XOM,2017-09-28,82.19,82.19
123,XOM,2017-09-27,81.43,81.43
124,XOM,2017-09-26,80.89,80.89
125,XOM,2017-09-25,80.98,80.98
126,XOM,2017-09-22,79.92,79.92
127,XOM,2017-09-21,79.89,79.89
128,XOM,2017-09-20,80.55,80.55
129,XOM,2017-09-19,80.22,80.22
130,XOM,2017-09-18,80.09,80.09
131,XOM,2017-09-15,80.07,80.07
132,XOM,2017-09-14,80.09,80.09
133,XOM,2017-09-13,79.77,79.77
134,XOM,2017-09-12,79.5,79.5
135,XOM,2017-09-11,79.25,79.25
136,XOM,2017-09-08,78.82,78.82
137,XOM,2017-09-07,79.03,79.03
138,XOM,2017-09-06,78.78,78.78
139,XOM,2017-09-05,77.18,77.18
140,XOM,2017-09-01,76.57,76.57
141,XOM,2017-08-31,76.33,76.33
142,XOM,2017-08-30,76.1,76.1
143,XOM,2017-08-29,76.45,76.45
144,XOM,2017-08-28,76.47,76.47
145,XOM,2017-08-25,76.72,76.72
146,XOM,2017-08-24,76.33,76.33
147,XOM,2017-08-23,76.61,76.61
148,XOM,2017-08-22,76.74,76.74
149,XOM,2017-08-21,76.38,76.38
150,XOM,2017-08-18,76.64,76.64
151,XOM,2017-08-17,76.26,76.26
152,XOM,2017-08-16,77.47,77.47
153,XOM,2017-08-15,78.04,78.04
154,XOM,2017-08-14,78.23,78.23
155,XOM,2017-08-11,78.21,78.21
156,XOM,2017-08-10,78.97,78.97
157,XOM,2017-08-09,80.21,79.435461499875
158,XOM,2017-08-08,79.96,79.187875595686
159,XOM,2017-08-07,80.16,79.385944319037
160,XOM,2017-08-04,80.21,79.435461499875
161,XOM,2017-08-03,80.49,79.712757712566
162,XOM,2017-08-02,80.6,79.821695510409
163,XOM,2017-08-01,80.17,79.395847755204
164,XOM,2017-07-31,80.04,79.267103085026
165,XOM,2017-07-28,79.6,78.831351893654
166,XOM,2017-07-27,80.83,80.049474542262
167,XOM,2017-07-26,80.37,79.593916478555
168,XOM,2017-07-25,80.27,79.49488211688
169,XOM,2017-07-24,79.87,79.098744670178
170,XOM,2017-07-21,80.12,79.346330574367
171,XOM,2017-07-20,80.86,80.079184850765
172,XOM,2017-07-19,80.85,80.069281414597
173,XOM,2017-07-18,80.6,79.821695510409
174,XOM,2017-07-17,80.86,80.079184850765
175,XOM,2017-07-14,81.28,80.495129169802
176,XOM,2017-07-13,80.97,80.188122648608
177,XOM,2017-07-12,80.96,80.17821921244
178,XOM,2017-07-11,80.6,79.821695510409
179,XOM,2017-07-10,80.16,79.385944319037
180,XOM,2017-07-07,80.22,79.445364936042
181,XOM,2017-07-06,80.12,79.346330574367
182,XOM,2017-07-05,80.85,80.069281414597
183,XOM,2017-07-03,82.1,81.307210935541
184,XOM,2017-06-30,80.73,79.950440180587
185,XOM,2017-06-29,80.7,79.920729872084
186,XOM,2017-06-28,81.53,80.74271507399
187,XOM,2017-06-27,81.11,80.326770754954
188,XOM,2017-06-26,81.24,80.455515425132
189,XOM,2017-06-23,81.61,80.821942563331
190,XOM,2017-06-22,81.08,80.297060446451
191,XOM,2017-06-21,81.44,80.653584148483
192,XOM,2017-06-20,82.31,81.515183095059
193,XOM,2017-06-19,82.76,81.960837722598
194,XOM,2017-06-16,83.49,82.683788562829
195,XOM,2017-06-15,82.26,81.465665914221
196,XOM,2017-06-14,82.07,81.277500627038
197,XOM,2017-06-13,82.96,82.158906445949
198,XOM,2017-06-12,82.93,82.129196137447
199,XOM,2017-06-09,82.13,81.336921244043
200,XOM,2017-06-08,80.62,79.841502382744
201,XOM,2017-06-07,80.91,80.128702031603
202,XOM,2017-06-06,81.21,80.425805116629
203,XOM,2017-06-05,80.12,79.346330574367
204,XOM,2017-06-02,79.5,78.732317531979
205,XOM,2017-06-01,80.7,79.920729872084
206,XOM,2017-05-31,80.5,79.722661148733
207,XOM,2017-05-30,81.1,80.316867318786
208,XOM,2017-05-26,81.55,80.762521946326
209,XOM,2017-05-25,81.75,80.960590669676
210,XOM,2017-05-24,82.29,81.495376222724
211,XOM,2017-05-23,82.58,81.782575871583
212,XOM,2017-05-22,82.29,81.495376222724
213,XOM,2017-05-19,81.93,81.138852520692
214,XOM,2017-05-18,81.75,80.960590669676
215,XOM,2017-05-17,81.99,81.198273137698
216,XOM,2017-05-16,82.55,81.75286556308
217,XOM,2017-05-15,82.8,82.000451467269
218,XOM,2017-05-12,82.55,81.75286556308
219,XOM,2017-05-11,82.61,81.812286180085
220,XOM,2017-05-10,81.91,81.119045648357
221,XOM,2017-05-09,82.31,80.756031051237
222,XOM,2017-05-08,82.89,81.325080960236
223,XOM,2017-05-05,82.02,80.471506096737
224,XOM,2017-05-04,81.64,80.09868029429
225,XOM,2017-05-03,82.7,81.138668059012
226,XOM,2017-05-02,82.05,80.50093971272
227,XOM,2017-05-01,82.06,80.510750918048
228,XOM,2017-04-28,81.65,80.108491499617
229,XOM,2017-04-27,81.26,79.725854491842
230,XOM,2017-04-26,81.4,79.863211366428
231,XOM,2017-04-25,81.73,80.186981142238
