None,ticker,date,close,adj_close
0,XRX,2018-03-27,29.0,29.0
1,XRX,2018-03-26,29.4,29.4
2,XRX,2018-03-23,28.8,28.8
3,XRX,2018-03-22,29.8,29.8
4,XRX,2018-03-21,30.86,30.86
5,XRX,2018-03-20,30.82,30.82
6,XRX,2018-03-19,30.19,30.19
7,XRX,2018-03-16,31.1,31.1
8,XRX,2018-03-15,31.05,31.05
9,XRX,2018-03-14,30.75,30.75
10,XRX,2018-03-13,31.34,31.34
11,XRX,2018-03-12,29.69,29.69
12,XRX,2018-03-09,29.92,29.92
13,XRX,2018-03-08,29.83,29.83
14,XRX,2018-03-07,29.83,29.83
15,XRX,2018-03-06,30.04,30.04
16,XRX,2018-03-05,30.29,30.29
17,XRX,2018-03-02,30.06,30.06
18,XRX,2018-03-01,30.55,30.55
19,XRX,2018-02-28,30.32,30.32
20,XRX,2018-02-27,30.25,30.25
21,XRX,2018-02-26,31.12,31.12
22,XRX,2018-02-23,30.87,30.87
23,XRX,2018-02-22,30.23,30.23
24,XRX,2018-02-21,30.38,30.38
25,XRX,2018-02-20,31.03,31.03
26,XRX,2018-02-16,30.55,30.55
27,XRX,2018-02-15,30.5,30.5
28,XRX,2018-02-14,29.79,29.79
29,XRX,2018-02-13,29.17,29.17
30,XRX,2018-02-12,29.95,29.95
31,XRX,2018-02-09,29.61,29.61
32,XRX,2018-02-08,29.8,29.8
33,XRX,2018-02-07,31.18,31.18
34,XRX,2018-02-06,30.85,30.85
35,XRX,2018-02-05,31.38,31.38
36,XRX,2018-02-02,31.63,31.63
37,XRX,2018-02-01,32.75,32.75
38,XRX,2018-01-31,34.13,34.13
39,XRX,2018-01-30,32.68,32.68
40,XRX,2018-01-29,32.84,32.84
41,XRX,2018-01-26,32.83,32.83
42,XRX,2018-01-25,32.38,32.38
43,XRX,2018-01-24,32.36,32.36
44,XRX,2018-01-23,32.58,32.58
45,XRX,2018-01-22,32.64,32.64
46,XRX,2018-01-19,31.8,31.8
47,XRX,2018-01-18,31.37,31.37
48,XRX,2018-01-17,31.92,31.92
49,XRX,2018-01-16,32.35,32.35
50,XRX,2018-01-12,32.77,32.77
51,XRX,2018-01-11,31.86,31.86
52,XRX,2018-01-10,30.35,30.35
53,XRX,2018-01-09,30.19,30.19
54,XRX,2018-01-08,30.26,30.26
55,XRX,2018-01-05,29.91,29.91
56,XRX,2018-01-04,29.69,29.69
57,XRX,2018-01-03,29.33,29.33
58,XRX,2018-01-02,29.37,29.37
59,XRX,2017-12-29,29.15,29.15
60,XRX,2017-12-28,29.45,29.45
61,XRX,2017-12-27,29.48,29.48
62,XRX,2017-12-26,29.41,29.41
63,XRX,2017-12-22,29.58,29.58
64,XRX,2017-12-21,29.71,29.71
65,XRX,2017-12-20,29.99,29.99
66,XRX,2017-12-19,30.01,30.01
67,XRX,2017-12-18,30.3,30.3
68,XRX,2017-12-15,29.65,29.65
69,XRX,2017-12-14,29.31,29.31
70,XRX,2017-12-13,29.42,29.42
71,XRX,2017-12-12,29.74,29.74
72,XRX,2017-12-11,29.59,29.59
73,XRX,2017-12-08,29.59,29.59
74,XRX,2017-12-07,29.59,29.59
75,XRX,2017-12-06,29.64,29.64
76,XRX,2017-12-05,29.44,29.44
77,XRX,2017-12-04,29.37,29.37
78,XRX,2017-12-01,29.72,29.72
79,XRX,2017-11-30,29.66,29.66
80,XRX,2017-11-29,29.3,29.3
81,XRX,2017-11-28,29.0,29.0
82,XRX,2017-11-27,28.23,28.23
83,XRX,2017-11-24,28.49,28.49
84,XRX,2017-11-22,28.29,28.29
85,XRX,2017-11-21,28.43,28.43
86,XRX,2017-11-20,28.5,28.5
87,XRX,2017-11-17,28.36,28.36
88,XRX,2017-11-16,28.26,28.26
89,XRX,2017-11-15,28.17,28.17
90,XRX,2017-11-14,28.08,28.08
91,XRX,2017-11-13,28.17,28.17
92,XRX,2017-11-10,29.17,29.17
93,XRX,2017-11-09,29.27,29.27
94,XRX,2017-11-07,28.59,28.59
95,XRX,2017-11-06,29.08,29.08
96,XRX,2017-11-03,29.06,29.06
97,XRX,2017-11-02,29.48,29.48
98,XRX,2017-11-01,30.29,30.29
99,XRX,2017-10-31,30.31,30.31
100,XRX,2017-10-30,30.23,30.23
101,XRX,2017-10-27,30.48,30.48
102,XRX,2017-10-26,30.65,30.65
103,XRX,2017-10-25,33.09,33.09
104,XRX,2017-10-24,33.45,33.45
105,XRX,2017-10-23,33.28,33.28
106,XRX,2017-10-20,33.38,33.38
107,XRX,2017-10-19,33.1,33.1
108,XRX,2017-10-18,32.84,32.84
109,XRX,2017-10-17,32.75,32.75
110,XRX,2017-10-16,33.09,33.09
111,XRX,2017-10-13,33.01,33.01
112,XRX,2017-10-12,32.71,32.71
113,XRX,2017-10-11,32.74,32.74
114,XRX,2017-10-10,32.71,32.71
115,XRX,2017-10-09,32.61,32.61
116,XRX,2017-10-06,32.92,32.92
117,XRX,2017-10-05,33.03,33.03
118,XRX,2017-10-04,32.86,32.86
119,XRX,2017-10-03,33.1,33.1
120,XRX,2017-10-02,33.46,33.46
121,XRX,2017-09-29,33.29,33.29
122,XRX,2017-09-28,33.86,33.86
123,XRX,2017-09-27,33.95,33.701172676634
124,XRX,2017-09-26,33.71,33.462931691586
125,XRX,2017-09-25,33.25,33.00630313691
126,XRX,2017-09-22,33.13,32.887182644386
127,XRX,2017-09-21,32.93,32.688648490179
128,XRX,2017-09-20,32.88,32.639014951627
129,XRX,2017-09-19,32.44,32.202239812372
130,XRX,2017-09-18,32.29,32.053339196717
131,XRX,2017-09-15,32.64,32.400773966579
132,XRX,2017-09-14,32.81,32.569527997655
133,XRX,2017-09-13,32.72,32.480187628262
134,XRX,2017-09-12,32.8,32.559601289944
135,XRX,2017-09-11,32.06,31.825024919378
136,XRX,2017-09-08,31.56,31.328689533861
137,XRX,2017-09-07,31.88,31.646344180592
138,XRX,2017-09-06,32.15,31.914365288772
139,XRX,2017-09-05,32.12,31.884585165641
140,XRX,2017-09-01,32.56,32.321360304896
141,XRX,2017-08-31,32.27,32.033485781296
142,XRX,2017-08-30,32.3,32.063265904427
143,XRX,2017-08-29,32.24,32.003705658165
144,XRX,2017-08-28,32.31,32.073192612137
145,XRX,2017-08-25,32.26,32.023559073585
146,XRX,2017-08-24,32.05,31.815098211668
147,XRX,2017-08-23,31.84,31.606637349751
148,XRX,2017-08-22,31.5,31.269129287599
149,XRX,2017-08-21,31.23,31.00110817942
150,XRX,2017-08-18,31.45,31.219495749047
151,XRX,2017-08-17,31.85,31.616564057461
152,XRX,2017-08-16,32.41,32.172459689241
153,XRX,2017-08-15,32.28,32.043412489006
154,XRX,2017-08-14,32.13,31.894511873351
155,XRX,2017-08-11,31.66,31.427956610965
156,XRX,2017-08-10,31.44,31.209569041337
157,XRX,2017-08-09,32.3,32.063265904427
158,XRX,2017-08-08,32.31,32.073192612137
159,XRX,2017-08-07,32.51,32.271726766344
160,XRX,2017-08-04,32.22,31.983852242744
161,XRX,2017-08-03,32.1,31.86473175022
162,XRX,2017-08-02,32.55,32.311433597186
163,XRX,2017-08-01,32.46,32.222093227792
164,XRX,2017-07-31,30.67,30.44521254764
165,XRX,2017-07-28,30.43,30.206971562592
166,XRX,2017-07-27,30.58,30.355872178247
167,XRX,2017-07-26,30.49,30.266531808854
168,XRX,2017-07-25,31.03,30.802574025213
169,XRX,2017-07-24,30.56,30.336018762826
170,XRX,2017-07-21,29.45,29.234154206977
171,XRX,2017-07-20,29.41,29.194447376136
172,XRX,2017-07-19,29.38,29.164667253005
173,XRX,2017-07-18,29.3,29.085253591322
174,XRX,2017-07-17,29.35,29.134887129874
175,XRX,2017-07-14,29.42,29.204374083846
