None,ticker,date,close,adj_close
0,XYL,2018-03-27,76.32,76.32
1,XYL,2018-03-26,77.88,77.88
2,XYL,2018-03-23,75.69,75.69
3,XYL,2018-03-22,77.38,77.38
4,XYL,2018-03-21,79.34,79.34
5,XYL,2018-03-20,79.02,79.02
6,XYL,2018-03-19,78.17,78.17
7,XYL,2018-03-16,78.45,78.45
8,XYL,2018-03-15,77.64,77.64
9,XYL,2018-03-14,77.11,77.11
10,XYL,2018-03-13,77.98,77.98
11,XYL,2018-03-12,78.09,78.09
12,XYL,2018-03-09,79.48,79.48
13,XYL,2018-03-08,77.19,77.19
14,XYL,2018-03-07,76.38,76.38
15,XYL,2018-03-06,75.28,75.28
16,XYL,2018-03-05,73.86,73.86
17,XYL,2018-03-02,73.51,73.51
18,XYL,2018-03-01,73.27,73.27
19,XYL,2018-02-28,74.58,74.58
20,XYL,2018-02-27,75.75,75.75
21,XYL,2018-02-26,76.26,76.26
22,XYL,2018-02-23,75.93,75.93
23,XYL,2018-02-22,75.05,75.05
24,XYL,2018-02-21,75.18,75.18
25,XYL,2018-02-20,74.73,74.73
26,XYL,2018-02-16,75.23,75.23
27,XYL,2018-02-15,74.73,74.73
28,XYL,2018-02-14,73.31,73.31
29,XYL,2018-02-13,72.77,72.77
30,XYL,2018-02-12,71.93,71.93
31,XYL,2018-02-09,70.82,70.82
32,XYL,2018-02-08,70.24,70.24
33,XYL,2018-02-07,71.79,71.79
34,XYL,2018-02-06,71.33,71.33
35,XYL,2018-02-05,72.66,72.66
36,XYL,2018-02-02,75.66,75.66
37,XYL,2018-02-01,74.84,74.84
38,XYL,2018-01-31,72.26,72.26
39,XYL,2018-01-30,73.07,73.07
40,XYL,2018-01-29,73.41,73.41
41,XYL,2018-01-26,74.41,74.41
42,XYL,2018-01-25,73.24,73.24
43,XYL,2018-01-24,72.57,72.57
44,XYL,2018-01-23,72.61,72.61
45,XYL,2018-01-22,72.65,72.65
46,XYL,2018-01-19,71.91,71.91
47,XYL,2018-01-18,71.11,71.11
48,XYL,2018-01-17,71.02,71.02
49,XYL,2018-01-16,70.54,70.54
50,XYL,2018-01-12,70.46,70.46
51,XYL,2018-01-11,69.97,69.97
52,XYL,2018-01-10,69.0,69.0
53,XYL,2018-01-09,69.5,69.5
54,XYL,2018-01-08,69.48,69.48
55,XYL,2018-01-05,69.23,69.23
56,XYL,2018-01-04,69.36,69.36
57,XYL,2018-01-03,68.9,68.9
58,XYL,2018-01-02,68.07,68.07
59,XYL,2017-12-29,68.2,68.2
60,XYL,2017-12-28,68.25,68.25
61,XYL,2017-12-27,68.23,68.23
62,XYL,2017-12-26,67.5,67.5
63,XYL,2017-12-22,67.58,67.58
64,XYL,2017-12-21,67.75,67.75
65,XYL,2017-12-20,67.82,67.82
66,XYL,2017-12-19,67.86,67.86
67,XYL,2017-12-18,67.9,67.9
68,XYL,2017-12-15,67.57,67.57
69,XYL,2017-12-14,66.7,66.7
70,XYL,2017-12-13,67.49,67.49
71,XYL,2017-12-12,67.54,67.54
72,XYL,2017-12-11,67.28,67.28
73,XYL,2017-12-08,68.19,68.19
74,XYL,2017-12-07,68.38,68.38
75,XYL,2017-12-06,67.98,67.98
76,XYL,2017-12-05,67.84,67.84
77,XYL,2017-12-04,68.77,68.77
78,XYL,2017-12-01,69.01,69.01
79,XYL,2017-11-30,69.34,69.34
80,XYL,2017-11-29,68.2,68.2
81,XYL,2017-11-28,68.52,68.52
82,XYL,2017-11-27,67.64,67.64
83,XYL,2017-11-24,67.69,67.69
84,XYL,2017-11-22,67.35,67.35
85,XYL,2017-11-21,67.41,67.41
86,XYL,2017-11-20,66.99,66.99
87,XYL,2017-11-17,66.42,66.42
88,XYL,2017-11-16,66.48,66.48
89,XYL,2017-11-15,65.9,65.9
90,XYL,2017-11-14,66.34,66.34
91,XYL,2017-11-13,66.03,66.03
92,XYL,2017-11-10,66.25,66.25
93,XYL,2017-11-09,66.28,66.28
94,XYL,2017-11-07,66.61,66.61
95,XYL,2017-11-06,66.54,66.54
96,XYL,2017-11-03,66.57,66.57
97,XYL,2017-11-02,67.06,67.06
98,XYL,2017-11-01,66.15,66.15
99,XYL,2017-10-31,66.53,66.349457259159
100,XYL,2017-10-30,64.64,64.464586160109
101,XYL,2017-10-27,64.86,64.683989145183
102,XYL,2017-10-26,64.81,64.634124830393
103,XYL,2017-10-25,64.525,64.349898236092
104,XYL,2017-10-24,64.83,64.654070556309
105,XYL,2017-10-23,63.68,63.507191316147
106,XYL,2017-10-20,64.23,64.055698778833
107,XYL,2017-10-19,63.89,63.716621438263
108,XYL,2017-10-18,63.68,63.507191316147
109,XYL,2017-10-17,63.23,63.058412483039
110,XYL,2017-10-16,65.96,65.781004070556
111,XYL,2017-10-13,64.71,64.534396200814
112,XYL,2017-10-12,64.88,64.703934871099
113,XYL,2017-10-11,64.31,64.135481682497
114,XYL,2017-10-10,64.63,64.454613297151
115,XYL,2017-10-09,64.65,64.474559023066
116,XYL,2017-10-06,64.56,64.384803256445
117,XYL,2017-10-05,64.47,64.295047489824
118,XYL,2017-10-04,64.52,64.344911804613
119,XYL,2017-10-03,63.93,63.756512890095
120,XYL,2017-10-02,63.32,63.148168249661
121,XYL,2017-09-29,62.63,62.460040705563
122,XYL,2017-09-28,62.45,62.28052917232
123,XYL,2017-09-27,63.0,62.829036635007
124,XYL,2017-09-26,63.34,63.168113975577
125,XYL,2017-09-25,64.46,64.285074626866
126,XYL,2017-09-22,64.75,64.574287652646
