date _1;date;GOOGL
03.01.2017;42738;808.01
04.01.2017;42739;807.77
05.01.2017;42740;813.02
06.01.2017;42741;825.21
09.01.2017;42744;827.18
10.01.2017;42745;826.01
11.01.2017;42746;829.86
12.01.2017;42747;829.53
13.01.2017;42748;830.94
17.01.2017;42752;827.46
18.01.2017;42753;829.02
19.01.2017;42754;824.37
20.01.2017;42755;828.17
23.01.2017;42758;844.43
24.01.2017;42759;849.53
25.01.2017;42760;858.45
26.01.2017;42761;856.98
27.01.2017;42762;845.03
30.01.2017;42765;823.83
31.01.2017;42766;820.19
01.02.2017;42767;815.24
02.02.2017;42768;818.26
03.02.2017;42769;820.13
06.02.2017;42772;821.62
07.02.2017;42773;829.23
08.02.2017;42774;829.88
09.02.2017;42775;830.06
10.02.2017;42776;834.85
13.02.2017;42779;838.96
14.02.2017;42780;840.03
15.02.2017;42781;837.32
16.02.2017;42782;842.17
17.02.2017;42783;846.55
21.02.2017;42787;849.27
22.02.2017;42788;851.36
23.02.2017;42789;851
24.02.2017;42790;847.81
27.02.2017;42793;849.67
28.02.2017;42794;844.93
01.03.2017;42795;856.75
02.03.2017;42796;849.85
03.03.2017;42797;849.08
06.03.2017;42800;847.27
07.03.2017;42801;851.15
08.03.2017;42802;853.64
09.03.2017;42803;857.84
10.03.2017;42804;861.41
13.03.2017;42807;864.58
14.03.2017;42808;865.91
15.03.2017;42809;868.39
16.03.2017;42810;870
17.03.2017;42811;872.37
20.03.2017;42814;867.91
21.03.2017;42815;850.14
22.03.2017;42816;849.8
23.03.2017;42817;839.65
24.03.2017;42818;835.14
27.03.2017;42821;838.51
28.03.2017;42822;840.63
29.03.2017;42823;849.87
30.03.2017;42824;849.48
31.03.2017;42825;847.8
03.04.2017;42828;856.75
04.04.2017;42829;852.57
05.04.2017;42830;848.91
06.04.2017;42831;845.1
07.04.2017;42832;842.1
10.04.2017;42835;841.7
11.04.2017;42836;839.88
12.04.2017;42837;841.46
13.04.2017;42838;840.18
14.04.2017;42839;
17.04.2017;42842;855.13
18.04.2017;42843;853.99
19.04.2017;42844;856.51
20.04.2017;42845;860.08
21.04.2017;42846;858.95
24.04.2017;42849;878.93
25.04.2017;42850;888.84
26.04.2017;42851;889.14
27.04.2017;42852;891.44
28.04.2017;42853;924.52
01.05.2017;42856;932.82
02.05.2017;42857;937.09
03.05.2017;42858;948.45
04.05.2017;42859;954.72
05.05.2017;42860;950.28
08.05.2017;42863;958.69
09.05.2017;42864;956.71
10.05.2017;42865;954.84
11.05.2017;42866;955.89
12.05.2017;42867;955.14
15.05.2017;42870;959.22
16.05.2017;42871;964.61
17.05.2017;42872;942.17
18.05.2017;42873;950.5
19.05.2017;42874;954.65
22.05.2017;42877;964.07
23.05.2017;42878;970.55
24.05.2017;42879;977.61
25.05.2017;42880;991.86
26.05.2017;42881;993.27
30.05.2017;42885;996.17
31.05.2017;42886;987.09
01.06.2017;42887;988.29
02.06.2017;42888;996.12
05.06.2017;42891;1003.88
06.06.2017;42892;996.68
07.06.2017;42893;1001.59
08.06.2017;42894;1004.28
09.06.2017;42895;970.12
12.06.2017;42898;961.81
13.06.2017;42899;970.5
14.06.2017;42900;967.93
15.06.2017;42901;960.18
16.06.2017;42902;958.62
19.06.2017;42905;975.22
20.06.2017;42906;968.99
21.06.2017;42907;978.59
22.06.2017;42908;976.62
23.06.2017;42909;986.09
26.06.2017;42912;972.09
27.06.2017;42913;948.09
28.06.2017;42914;961.01
29.06.2017;42915;937.82
30.06.2017;42916;929.68
03.07.2017;42919;919.46
05.07.2017;42921;932.26
